author	year	category	condemned	eligible
1 Corinthians	55	Canonical Scriptures		no
1 Peter	65	Canonical Scriptures		no
1 Timothy	64	Canonical Scriptures		no
2 Corinthians	56	Canonical Scriptures		no
2 Peter	68	Canonical Scriptures		no
Abba Poemen	450	Eastern & Byzantine Theology		yes
Abercius	167	Early Fathers (Pre-Nicaea)		yes
Abraham of Nathpar	600	Syriac & Oriental Theology		yes
Acacius of Beroea	437	Eastern & Byzantine Theology		yes
Acacius of Caesarea	366	Eastern & Byzantine Theology		yes
Acts	62	Canonical Scriptures		no
Acts of Peter	200	Apocrypha, Pseudepigrapha & Early Documents		yes
Acts of Peter and Paul	500	Apocrypha, Pseudepigrapha & Early Documents		yes
Adamantius	400	Eastern & Byzantine Theology		yes
Adamnán of Iona	704	Western & Medieval Theology		yes
Agapius of Hierapolis	942	Syriac & Oriental Theology		no
Alcuin of York	804	Western & Medieval Theology		no
Alexander of Alexandria	328	Early Fathers (Pre-Nicaea)		yes
Alexander of Jerusalem	251	Early Fathers (Pre-Nicaea)		yes
Ambrose of Milan	397	Western & Medieval Theology		yes
Ambrosian Hymn Writer	500	Liturgies & Hymns		yes
Ambrosiaster	384	Western & Medieval Theology		yes
Ammon of Hadrianopolis	355	Eastern & Byzantine Theology		yes
Ammonas of Egypt	396	Eastern & Byzantine Theology		yes
Ammonius of Alexandria	300	Early Fathers (Pre-Nicaea)		yes
Amphilochius of Iconium	403	Eastern & Byzantine Theology		yes
Anastasius of Sinai	700	Eastern & Byzantine Theology		yes
Ancient Greek Expositor	1274	Eastern & Byzantine Theology		no
Andreas of Caesarea	614	Eastern & Byzantine Theology		yes
Andrew of Crete	740	Eastern & Byzantine Theology		yes
Anselm of Canterbury	1109	Western & Medieval Theology		no
Anselm of Laon	1117	Western & Medieval Theology		no
Anthony the Great	356	Eastern & Byzantine Theology		yes
Aphrahat the Persian Sage	345	Syriac & Oriental Theology		yes
Apollinaris of Laodicea	382	Eastern & Byzantine Theology	yes	no
Aponius	500	Western & Medieval Theology		yes
Apostolic Constitutions	380	Apocrypha, Pseudepigrapha & Early Documents		yes
Apringius of Beja	600	Western & Medieval Theology		yes
Arator	544	Western & Medieval Theology		yes
Archelaus of Carrhae	278	Early Fathers (Pre-Nicaea)		yes
Arethas of Caesarea	900	Eastern & Byzantine Theology		no
Arius	336	Eastern & Byzantine Theology	yes	no
Arnobius of Sicca	330	Early Fathers (Pre-Nicaea)		yes
Arnobius the Younger	460	Western & Medieval Theology		yes
Asterius of Cappadocia	341	Eastern & Byzantine Theology		yes
Athanasius of Alexandria	373	Eastern & Byzantine Theology		yes
Athenagoras of Athens	190	Early Fathers (Pre-Nicaea)		yes
Augustine of Hippo	430	Western & Medieval Theology		yes
Basil of Caesarea	379	Eastern & Byzantine Theology		yes
Basil of Seleucia	468	Eastern & Byzantine Theology		yes
Bede	735	Western & Medieval Theology		yes
Benedict of Nursia	548	Western & Medieval Theology		yes
Berengaudus	892	Western & Medieval Theology		no
Bernard of Clairvaux	1153	Western & Medieval Theology		no
Besa The Copt	474	Syriac & Oriental Theology		yes
Bonaventure	1257	Western & Medieval Theology		no
Book of Biblical Antiquities	100	Apocrypha, Pseudepigrapha & Early Documents		yes
Book of Enoch	-300	Apocrypha, Pseudepigrapha & Early Documents		yes
Book of Jubilees	-100	Apocrypha, Pseudepigrapha & Early Documents		yes
Book of Steps	400	Apocrypha, Pseudepigrapha & Early Documents		yes
Braulio of Zaragoza	651	Western & Medieval Theology		yes
CS Lewis	1963	Reformation & Modern		no
Caesarius of Arles	542	Western & Medieval Theology		yes
Caius Presbyter of Rome	200	Early Fathers (Pre-Nicaea)		yes
Callistus I of Rome	223	Early Fathers (Pre-Nicaea)		yes
Cassiodorus	585	Western & Medieval Theology		yes
Cerealis of Castellum Ripense	485	Western & Medieval Theology		yes
Chromatius of Aquileia	406	Western & Medieval Theology		yes
Clement of Alexandria	215	Early Fathers (Pre-Nicaea)		yes
Clement of Rome	99	Early Fathers (Pre-Nicaea)		yes
Codex Veronensis	500	Western & Medieval Theology		yes
Commodian	250	Early Fathers (Pre-Nicaea)		yes
Cornelius a Lapide	1637	Reformation & Modern		no
Cosmas Indicopleustes	550	Eastern & Byzantine Theology		yes
Cosmas of Maiuma	773	Eastern & Byzantine Theology		yes
Council of Ancyra of 314	314	Councils & Canons		yes
Council of Carthage of 411	411	Councils & Canons		yes
Council of Carthage of 419	419	Councils & Canons		yes
Council of Constantinople of 381	381	Councils & Canons		yes
Council of Ephesus	431	Councils & Canons		yes
Council of Neocaesarea of 315	315	Councils & Canons		yes
Council of Nicaea of 325	325	Councils & Canons		yes
Cyprian	258	Early Fathers (Pre-Nicaea)		yes
Cyril of Alexandria	444	Eastern & Byzantine Theology		yes
Cyril of Jerusalem	386	Eastern & Byzantine Theology		yes
Desert Fathers	500	Eastern & Byzantine Theology		yes
Dhuoda of Septimania	844	Western & Medieval Theology		no
Diadochos of Photiki	486	Eastern & Byzantine Theology		yes
Didache	100	Apocrypha, Pseudepigrapha & Early Documents		yes
Didascalia Apostolorum	230	Apocrypha, Pseudepigrapha & Early Documents		yes
Didymus the Blind	398	Eastern & Byzantine Theology		yes
Diodorus of Tarsus	390	Eastern & Byzantine Theology		yes
Dionysius bar Salibi	1171	Syriac & Oriental Theology		no
Dionysius of Alexandria	264	Early Fathers (Pre-Nicaea)		yes
Dionysius of Corinth	171	Early Fathers (Pre-Nicaea)		yes
Dorotheos of Gaza	565	Eastern & Byzantine Theology		yes
Douglas Wilson	2020	Reformation & Modern		no
Ephesians	62	Canonical Scriptures		no
Ephrem the Syrian	373	Syriac & Oriental Theology		yes
Epiphanius Scholasticus	510	Western & Medieval Theology		yes
Epiphanius of Salamis	403	Eastern & Byzantine Theology		yes
Epistle of Barnabas	132	Apocrypha, Pseudepigrapha & Early Documents		yes
Epistle to Diognetus	150	Early Fathers (Pre-Nicaea)		yes
Erasmus of Rotterdam	1536	Reformation & Modern		no
Eucherius of Lyon	449	Western & Medieval Theology		yes
Eugippius	535	Western & Medieval Theology		yes
Eusebius of Caesarea	339	Eastern & Byzantine Theology		yes
Eusebius of Emesa	360	Eastern & Byzantine Theology		yes
Eusebius of Gaul	500	Western & Medieval Theology		yes
Eusebius of Vercelli	371	Western & Medieval Theology		yes
Eustathius of Antioch	360	Eastern & Byzantine Theology		yes
Evagrius Ponticus	399	Eastern & Byzantine Theology		yes
Eznik of Kolb	449	Syriac & Oriental Theology		yes
Fabian of Rome	250	Early Fathers (Pre-Nicaea)		yes
Facundus of Hermiane	544	Western & Medieval Theology		yes
Fastidius	420	Western & Medieval Theology		yes
Faustinus of Lyon	254	Early Fathers (Pre-Nicaea)		yes
Faustus of Riez	490	Western & Medieval Theology		yes
Fructuosus of Braga	665	Western & Medieval Theology		yes
Fulgentius of Ruspe	533	Western & Medieval Theology		yes
GK Chesterton	1936	Reformation & Modern		no
Gaius Marius Victorinus	370	Western & Medieval Theology		yes
Galatians	50	Canonical Scriptures		no
Gaudentius of Brescia	410	Western & Medieval Theology		yes
Gaudentius of Rimini	360	Western & Medieval Theology		yes
Gennadius of Constantinople	471	Eastern & Byzantine Theology		yes
Gennadius of Massilia	496	Western & Medieval Theology		yes
Glossa Ordinaria	1274	Western & Medieval Theology		no
Gospel of the Hebrews	150	Apocrypha, Pseudepigrapha & Early Documents		yes
Gregory Palamas	1359	Eastern & Byzantine Theology		no
Gregory of Elvira	392	Western & Medieval Theology		yes
Gregory of Nazianzus	390	Eastern & Byzantine Theology		yes
Gregory of Neocaesarea	270	Early Fathers (Pre-Nicaea)		yes
Gregory of Nyssa	395	Eastern & Byzantine Theology		yes
Gregory the Dialogist	604	Western & Medieval Theology		yes
Haimo of Auxerre	865	Western & Medieval Theology		no
Haymo of Halberstadt	853	Western & Medieval Theology		no
Hebrews	69	Canonical Scriptures		no
Hegemonius	400	Eastern & Byzantine Theology		yes
Hegesippus	180	Early Fathers (Pre-Nicaea)		yes
Heracleon	175	Early Fathers (Pre-Nicaea)	yes	no
Hermias Sozomen	450	Eastern & Byzantine Theology		yes
Hesychius of Jerusalem	450	Eastern & Byzantine Theology		yes
Hilary of Arles	449	Western & Medieval Theology		yes
Hilary of Poitiers	367	Western & Medieval Theology		yes
Hippolytus of Rome	235	Early Fathers (Pre-Nicaea)		yes
Hugh of Saint-Cher	1263	Western & Medieval Theology		no
Ignatius of Antioch	108	Early Fathers (Pre-Nicaea)		yes
Ildefonsus of Toledo	667	Western & Medieval Theology		yes
Irenaeus	202	Early Fathers (Pre-Nicaea)		yes
Isaac of Nineveh	700	Syriac & Oriental Theology		yes
Isaiah the Solitary	491	Eastern & Byzantine Theology		yes
Ishodad of Merv	850	Syriac & Oriental Theology		no
Isidore of Pelusium	450	Eastern & Byzantine Theology		yes
Isidore of Seville	636	Western & Medieval Theology		yes
JB Lightfoot	1889	Reformation & Modern		no
JRR Tolkien	1973	Reformation & Modern		no
Jacob of Edessa	708	Syriac & Oriental Theology		yes
Jacob of Serugh	521	Syriac & Oriental Theology		yes
James	49	Canonical Scriptures		no
Jerome	420	Western & Medieval Theology		yes
John	90	Canonical Scriptures		no
John Calvin	1564	Reformation & Modern		no
John Cassian	435	Western & Medieval Theology		yes
John Chrysostom	407	Eastern & Byzantine Theology		yes
John Damascene	749	Eastern & Byzantine Theology		yes
John I of Antioch	441	Eastern & Byzantine Theology		yes
John Wesley	1791	Reformation & Modern		no
John of Cressy	1313	Western & Medieval Theology		no
John of Dalyatha	780	Syriac & Oriental Theology		yes
John of Karpathos	800	Eastern & Byzantine Theology		yes
John of the Cross	1591	Reformation & Modern		no
John the Solitary	450	Syriac & Oriental Theology		yes
Josephus	100	Second Temple Judaism		no
Jude	70	Canonical Scriptures		no
Julian of Eclanum	455	Western & Medieval Theology	yes	no
Julian of Toledo	690	Western & Medieval Theology		yes
Julianus Pomerius	505	Western & Medieval Theology		yes
Julius Africanus	240	Early Fathers (Pre-Nicaea)		yes
Julius Firmicus Maternus	350	Western & Medieval Theology		yes
Justin Martyr	165	Early Fathers (Pre-Nicaea)		yes
Lanfranc of Canterbury	1089	Western & Medieval Theology		no
Lateran Council of 649	649	Councils & Canons		yes
Leander of Seville	601	Western & Medieval Theology		yes
Leo the Great	461	Western & Medieval Theology		yes
Liturgy of Addai and Mari	200	Liturgies & Hymns		yes
Liturgy of Saint James	400	Liturgies & Hymns		yes
Liturgy of Saint Mark	300	Liturgies & Hymns		yes
Lucifer of Cagliari	370	Western & Medieval Theology		yes
Lucius Caecilius Firmianus Lactantius	325	Early Fathers (Pre-Nicaea)		yes
Luke	61	Canonical Scriptures		no
Macarius of Egypt	391	Eastern & Byzantine Theology		yes
Macrina the Younger	379	Eastern & Byzantine Theology		yes
Magnus Felix Ennodius	521	Western & Medieval Theology		yes
Malchion	272	Early Fathers (Pre-Nicaea)		yes
Marcus Eremita	430	Eastern & Byzantine Theology		yes
Marcus Minucius Felix	250	Early Fathers (Pre-Nicaea)		yes
Mark	60	Canonical Scriptures		no
Martin Luther	1546	Reformation & Modern		no
Martin of Braga	580	Western & Medieval Theology		yes
Martyrdom Of Polycarp	200	Early Fathers (Pre-Nicaea)		yes
Martyrdom of Colluthus	304	Early Fathers (Pre-Nicaea)		yes
Matthew	60	Canonical Scriptures		no
Maximus of Turin	465	Western & Medieval Theology		yes
Maximus the Confessor	662	Eastern & Byzantine Theology		yes
Melito of Sardis	180	Early Fathers (Pre-Nicaea)		yes
