chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Παῦλος	Paulos	G3972G	N-NSM-P	Παῦλος	Paul	Paul	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	κλητὸς	klētos	G2822	A-NSM	κλητός	called	a called	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	ἀπόστολος	apostolos	G0652	N-NSM	ἀπόστολος	apostle	apostle	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	of Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	Jesus	NA28+NA27+Tyn«2+SBL+WH«2+Treg+TR+Byz«2	
1	1	6	NKO	διὰ	dia	G1223	PREP	διά	through/because of	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	θελήματος	thelēmatos	G2307	N-GSN	θέλημα	will/desire	[the] will	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	θεοῦ	theou	G2316	N-GSM-T	θεός	God	of God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	Σωσθένης	Sōsthenēs	G4988	N-NSM-P	Σωσθένης	Sosthenes	Sosthenes	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	ἀδελφὸς	adelphos	G0080	N-NSM	ἀδελφός	brother	brother	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	τῇ	tēa	G3588	T-DSF	ὁ	the/this/who	To the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	ἐκκλησίᾳ	ekklēsia	G1577	N-DSF	ἐκκλησία	assembly	church	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	θεοῦ	theou	G2316	N-GSM-T	θεός	God	of God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	τῇ	tēa	G3588	T-DSF	ὁ	the/this/who	which	NA28+NA27+Tyn+SBL»7+WH+Treg»7+TR+Byz	
1	2	6	NKO	οὔσῃ	ousē	G1510	V-PAP-DSF	εἰμί	to be	is being	NA28+NA27+Tyn+SBL»6+WH+Treg»6+TR+Byz	
1	2	7	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL»5+WH+Treg»5+TR+Byz	
1	2	8	NKO	Κορίνθῳ,	Korinthō	G2882	N-DSF-L	Κόρινθος	Corinth	Corinth,	NA28+NA27+Tyn+SBL»4+WH+Treg»4+TR+Byz	
1	2	9	NKO	ἡγιασμένοις	hēgiasmenois	G0037	V-RPP-DPM	ἁγιάζω	to sanctify	sanctified	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	10	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	Χριστῷ	Christō	G5547	N-DSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
