chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Παῦλος	Paulos	G3972G	N-NSM-P	Παῦλος	Paul	Paul	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	Σιλουανὸς	Silouanos	G4610	N-NSM-P	Σιλουανός	Silas/Silvanus	Silvanus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	Τιμόθεος	Timotheos	G5095	N-NSM-P	Τιμόθεος	Timothy	Timothy	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	τῇ	tēa	G3588	T-DSF	ὁ	the/this/who	To the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	ἐκκλησίᾳ	ekklēsia	G1577	N-DSF	ἐκκλησία	assembly	church	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	Θεσσαλονικέων	Thessalonikeōn	G2331	N-GPM-LG	Θεσσαλονικεύς	Thessalonian	of the Thessalonians	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	θεῷ	theō	G2316	N-DSM-T	θεός	God	God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	πατρὶ	patri	G3962	N-DSM-T	πατήρ	father	[the] Father	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	13	NKO	κυρίῳ	kuriō	G2962G	N-DSM-T	κύριος	lord	in [the] Lord	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	Ἰησοῦ	Iēsou	G2424G	N-DSM-P	Ἰησοῦς	Jesus/Joshua	Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	Χριστῷ·	Christō	G5547	N-DSM-T	Χριστός	Christ	Christ:	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	16	NKO	χάρις	charis	G5485	N-NSF	χάρις	grace	Grace	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	17	NKO	ὑμῖν	humin	G4771	P-2DP	σύ	you	to you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	18	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	19	NKO	εἰρήνη	eirēnē	G1515	N-NSF	εἰρήνη	peace	peace	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	20	K	ἀπὸ	apo	G0575	PREP	ἀπό	away from	from	TR+Byz	
1	1	21	K	θεοῦ	theou	G2316	N-GSM-T	θεός	God	of God	TR+Byz	
1	1	22	K	πατρὸς	patros	G3962	N-GSM-T	πατήρ	father	Father	TR+Byz	
1	1	23	K	ἡμῶν	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us	TR+Byz	
1	1	24	K	καὶ	kai	G2532	CONJ	καί	and	and	TR+Byz	
1	1	25	K	κυρίου	kuriou	G2962G	N-GSM-T	κύριος	lord	Lord	TR+Byz	
1	1	26	K	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	Jesus	TR+Byz	
1	1	27	K	Χριστοῦ.¶	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ.	TR+Byz	
1	2	1	NKO	Εὐχαριστοῦμεν	Eucharistoumen	G2168	V-PAI-1P	εὐχαριστέω	to thank	We give thanks	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	θεῷ	theō	G2316	N-DSM-T	θεός	God	to God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	πάντοτε	pantote	G3842	ADV	πάντοτε	always	always	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	περὶ	peri	G4012	PREP	περί	about	concerning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	πάντων	pantōn	G3956	A-GPM	πᾶς	all	all	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	ὑμῶν	humōn	G4771	P-2GP	σύ	you	of you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	8	NKO	μνείαν	mneian	G3417	N-ASF	μνεία	remembrance	mention	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	k	ὑμῶν	humōn	G4771	P-2GP	σύ	you	of you	TR+Byz	
1	2	10	NKO	ποιούμενοι	poioumenoi	G4160G	V-PMP-NPM	ποιέω	to do/make	making	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	ἐπὶ	epi	G1909	PREP	ἐπί	upon/to/against	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	12	NKO	τῶν	tōn	G3588	T-GPF	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	13	NKO	προσευχῶν	proseuchōn	G4335	N-GPF	προσευχή	prayer	prayers	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	14	NKO	ἡμῶν,	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	15	NKO	ἀδιαλείπτως	adialeiptōs	G0089	ADV	ἀδιαλείπτως	unceasingly	[3] unceasingly	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	1.2[1.3]
1	3	1	NKO	μνημονεύοντες	mnēmoneuontes	G3421	V-PAP-NPM	μνημονεύω	to remember	remembering	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	ὑμῶν	humōn	G4771	P-2GP	σύ	you	your	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	3	NKO	τοῦ	tou	G3588	T-GSN	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	4	NKO	ἔργου	ergou	G2041	N-GSN	ἔργον	work	work	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	5	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	6	NKO	πίστεως	pisteōs	G4102G	N-GSF	πίστις	faith	of faith	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	7	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	8	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	9	NKO	κόπου	kopou	G2873	N-GSM	κόπος	labor	labor	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	10	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	11	NKO	ἀγάπης	agapēs	G0026	N-GSF	ἀγάπη	love	of love	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
