chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NK(o)	Συμεὼν	Sumeōn	G4826K	N-NSM-P	Συμεών	Simeon	Simon	NA28+NA27+Tyn+SBL+Treg+TR+Byz	
1	1	2	NKO	Πέτρος	Petros	G4074G	N-NSM-P	Πέτρος	Peter	Peter	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	δοῦλος	doulos	G1401	N-NSM	δοῦλος	slave	a servant	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	ἀπόστολος	apostolos	G0652	N-NSM	ἀπόστολος	apostle	apostle	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	τοῖς	tois	G3588	T-DPM	ὁ	the/this/who	To those	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	ἰσότιμον	isotimon	G2472	A-ASF	ἰσότιμος	equally valuable	equally precious	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	ἡμῖν	hēmin	G3165	P-1DP	ἐγώ	I/we	with ours	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	λαχοῦσιν	lachousin	G2975	V-2AAP-DPM	λαγχάνω	to choose by lot	having obtained	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	πίστιν	pistin	G4102G	N-ASF	πίστις	faith	a faith	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	13	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	δικαιοσύνῃ	dikaiosunē	G1343	N-DSF	δικαιοσύνη	righteousness	[the] righteousness	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	16	NKO	θεοῦ	theou	G2316	N-GSM-T	θεός	God	God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	17	NKO	ἡμῶν	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	18	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	19	NKO	σωτῆρος	sōtēros	G4990	N-GSM	σωτήρ	savior	Savior	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	20	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	21	NKO	Χριστοῦ.¶	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	Χάρις	Charis	G5485	N-NSF	χάρις	grace	Grace	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	ὑμῖν	humin	G4771	P-2DP	σύ	you	to you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	εἰρήνη	eirēnē	G1515	N-NSF	εἰρήνη	peace	peace	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	πληθυνθείη	plēthuntheiē	G4129	V-APO-3S	πληθύνω	to multiply	would be multiplied	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	ἐπιγνώσει	epignōsei	G1922	N-DSF	ἐπίγνωσις	knowledge	[the] knowledge	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	8	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	NKO	θεοῦ	theou	G2316	N-GSM-T	θεός	God	of God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	10	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	12	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	13	NKO	κυρίου	kuriou	G2962G	N-GSM-T	κύριος	lord	Lord	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	14	NKO	ἡμῶν.	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	1	NKO	ὡς	hōs	G5613	PRT	ὡς	which/how	Accordingly	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	πάντα	panta	G3956	A-APN	πᾶς	all	all things	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	3	NKO	ἡμῖν	hēmin	G3165	P-1DP	ἐγώ	I/we	to us	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	4	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	by the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	5	NKO	θείας	theias	G2304	A-GSF	θεῖος	divine	divine	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	6	NKO	δυνάμεως	dunameōs	G1411	N-GSF	δύναμις	power	power	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	7	NKO	αὐτοῦ	autou	G0846	P-GSM	αὐτός	he/she/it/self	of Him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	8	NKO	τὰ	ta	G3588	T-APN	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	9	NKO	πρὸς	pros	G4314	PREP	πρός	to/with	toward	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	10	NKO	ζωὴν	zōēn	G2222	N-ASF	ζωή	life	life	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	11	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	12	NKO	εὐσέβειαν	eusebeian	G2150	N-ASF	εὐσέβεια	piety	godliness	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	13	NKO	δεδωρημένης	dedōrēmenēs	G1433	V-RMP-GSF	δωρέω	to give	having himself given	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	14	NKO	διὰ	dia	G1223	PREP	διά	through/because of	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	15	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	16	NKO	ἐπιγνώσεως	epignōseōs	G1922	N-GSF	ἐπίγνωσις	knowledge	knowledge	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	17	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	of the [One who]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	18	NKO	καλέσαντος	kalesantos	G2564G	V-AAP-GSM	καλέω	to call	having called	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	19	NKO	ἡμᾶς	hēmas	G3165	P-1AP	ἐγώ	I/we	us	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	20	N(K)O	ἰδίᾳ	idia	G2398	A-DSF	ἴδιος	one's own/private	[by His] own	NA28+NA27+Tyn+SBL+Treg	
1	3	21	N(k)O	δόξῃ	doxē	G1391	N-DSF	δόξα	glory	glory	NA28+NA27+Tyn+SBL+Treg	
1	3	22	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	23	N(k)O	ἀρετῇ,	aretēa	G0703	N-DSF	ἀρετή	virtue	excellence,	NA28+NA27+Tyn+SBL+Treg	
1	4	1	NKO	δι᾽	di᾽	G1223	PREP	διά	through/because of	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	4	2	NKO	ὧν	hōn	G3739	R-GPN	ὅς, ἥ	which	which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	4	3	NKO	τὰ	ta	G3588	T-APN	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	4	4	NKO	τίμια	timia	G5093	A-NPN	τίμιος	precious	precious	NA28+NA27+Tyn+SBL+WH+Treg»2+TR»2+Byz	
