chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Ὁ	Ho	G3588	T-NSM	ὁ	the/this/who	The	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	πρεσβύτερος	presbuteros	G4245G	N-NSM	πρεσβύτερος	elder	elder	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	Γαΐῳ	Gaiō	G1050J	N-DSM-P	Γάϊος	Gaius	To Gaius	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	ἀγαπητῷ	agapētō	G0027	A-DSM	ἀγαπητός	beloved	beloved	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	ὃν	hon	G3739	R-ASM	ὅς, ἥ	which	whom	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	ἐγὼ	egō	G1473	P-1NS	ἐγώ	I/we	I myself	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	ἀγαπῶ	agapō	G0025	V-PAI-1S	ἀγαπάω	to love	love	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	ἀληθείᾳ.	alētheia	G0225	N-DSF	ἀλήθεια	truth	truth.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	ἀγαπητέ,	agapēte	G0027	A-VSM	ἀγαπητός	beloved	Beloved,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	περὶ	peri	G4012	PREP	περί	about	concerning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	πάντων	pantōn	G3956	A-GPN	πᾶς	all	all things	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	εὔχομαί	euchomai	G2172	V-PNI-1S	εὔχομαι	to pray/wish for	I pray	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	σε	se	G4771	P-2AS	σύ	you	you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	εὐοδοῦσθαι	euodousthai	G2137	V-PPN	εὐοδόω	to get along well	to do well	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	8	NKO	ὑγιαίνειν	hugiainein	G5198	V-PAN	ὑγιαίνω	be healthy	to be in good health	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	NKO	καθὼς	kathōs	G2531	CONJ	καθώς	as/just as	even as	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	10	NKO	εὐοδοῦταί	euodoutai	G2137	V-PPI-3S	εὐοδόω	to get along well	does well	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	σου	sou	G4771	P-2GS	σύ	you	your	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	12	NKO	ἡ	hē	G3588	T-NSF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	13	NKO	ψυχή.	psuchē	G5590I	N-NSF	ψυχή	soul	soul.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	1	NKO	ἐχάρην	echarēn	G5463	V-2AOI-1S	χαίρω	to rejoice	I rejoiced	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	γὰρ	gar	G1063	CONJ	γάρ	for	for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
