chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Τὸν	Ton	G3588	T-ASM	ὁ	the/this/who	The	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	μὲν	men	G3303	PRT	μέν	on one hand	indeed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	πρῶτον	prōton	G4413G	A-ASM	πρῶτος	first	first	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	λόγον	logon	G3056	N-ASM	λόγος	word	account	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	ἐποιησάμην	epoiēsamēn	G4160G	V-AMI-1S	ποιέω	to do/make	I composed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	περὶ	peri	G4012	PREP	περί	about	concerning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	πάντων,	pantōn	G3956	A-GPN	πᾶς	all	all the things,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	ὦ	ō	G5599	INJ	ὦ	oh!	O	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	Θεόφιλε,	Theophile	G2321	N-VSM-P	Θεόφιλος	Theophilus	Theophilus,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	ὧν	hōn	G3739	R-GPN	ὅς, ἥ	which	of which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	ἤρξατο	ērxato	G0757	V-ADI-3S	ἄρχω	be first	began	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+TR+Byz	
1	1	13	NKO	Ἰησοῦς	Iēsous	G2424G	N-NSM-P	Ἰησοῦς	Jesus/Joshua	Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	ποιεῖν	poiein	G4160G	V-PAN	ποιέω	to do/make	to do	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	τε	te	G5037	CONJ	τε	and/both	both	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	16	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	17	NKO	διδάσκειν	didaskein	G1321	V-PAN	διδάσκω	to teach	to teach	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	ἄχρι	achri	G0891	PREP	ἄχρι	until	until	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	ἧς	hēs	G3739	R-GSF	ὅς, ἥ	which	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	ἡμέρας	hēmeras	G2250	N-GSF	ἡμέρα	day	day	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	ἐντειλάμενος	enteilamenos	G1781	V-ANP-NSM	ἐντέλλω	to order	having given orders	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	τοῖς	tois	G3588	T-DPM	ὁ	the/this/who	to the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	ἀποστόλοις	apostolois	G0652	N-DPM	ἀπόστολος	apostle	apostles	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	διὰ	dia	G1223	PREP	διά	through/because of	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	8	NKO	πνεύματος	pneumatos	G4151G	N-GSN	πνεῦμα	spirit/breath	[the] Spirit	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	NKO	ἁγίου	hagiou	G0040G	A-GSN	ἅγιος	holy	Holy	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	10	NKO	οὓς	hous	G3739	R-APM	ὅς, ἥ	which	whom	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	ἐξελέξατο	exelexato	G1586	V-AMI-3S	ἐκλέγω	to select	He had chosen	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
