chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Πολυμερῶς	Polumerōs	G4181	ADV	πολυμερῶς	little by little	In many portions	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	πολυτρόπως	polutropōs	G4187	ADV	πολυτρόπως	in many ways	in many ways	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	πάλαι	palai	G3819	ADV	πάλαι	of old	long ago	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	θεὸς	theos	G2316	N-NSM-T	θεός	God	God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	λαλήσας	lalēsas	G2980	V-AAP-NSM	λαλέω	to speak	having spoken	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	τοῖς	tois	G3588	T-DPM	ὁ	the/this/who	to the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	πατράσιν	patrasin	G3962	N-DPM	πατήρ	father	fathers	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	τοῖς	tois	G3588	T-DPM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	προφήταις	prophētais	G4396	N-DPM	προφήτης	prophet	prophets	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	ἐπ᾽	ep᾽	G1909	PREP	ἐπί	upon/to/against	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	N(k)O	ἐσχάτου	eschatou	G2078	A-GSN	ἔσχατος	last/least	[this] last	NA28+NA27+Tyn+SBL+WH+Treg+Byz	
1	2	3	NKO	τῶν	tōn	G3588	T-GPF	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	ἡμερῶν	hēmerōn	G2250	N-GPF	ἡμέρα	day	days	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	τούτων	toutōn	G3778	D-GPF	οὗτος	this/he/she/it	these	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	ἐλάλησεν	elalēsen	G2980	V-AAI-3S	λαλέω	to speak	has spoken	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	ἡμῖν	hēmin	G3165	P-1DP	ἐγώ	I/we	to us	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	8	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	NKO	υἱῷ	huiō	G5207	N-DSM	υἱός	son	[His] Son	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	10	NKO	ὃν	hon	G3739	R-ASM	ὅς, ἥ	which	whom	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	ἔθηκεν	ethēken	G5087	V-AAI-3S	τίθημι	to place	He appointed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	12	NKO	κληρονόμον	klēronomon	G2818	N-ASM	κληρονόμος	heir	heir	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	13	NKO	πάντων,	pantōn	G3956	A-GPN	πᾶς	all	of all things,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	14	NKO	δι᾽	di᾽	G1223	PREP	διά	through/because of	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	15	NKO	οὗ	hou	G3739	R-GSM	ὅς, ἥ	which	whom	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	16	NKO	καὶ	kai	G2532	CONJ	καί	and	also	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	17	NKO	ἐποίησεν	epoiēsen	G4160G	V-AAI-3S	ποιέω	to do/make	He made	NA28+NA27+Tyn+SBL+WH+Treg+TR»2+Byz»2	
1	2	18	NKO	τοὺς	tous	G3588	T-APM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	19	NKO	αἰῶνας,	aiōnas	G0165G	N-APM	αἰών	an age	ages	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	1	NKO	ὃς	hos	G3739	R-NSM	ὅς, ἥ	which	who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	ὢν	ōn	G1510	V-PAP-NSM	εἰμί	to be	being	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	3	NKO	ἀπαύγασμα	apaugasma	G0541	N-NSN	ἀπαύγασμα	radiance	[the] radiance	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	4	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	5	NKO	δόξης	doxēs	G1391	N-GSF	δόξα	glory	of [His] glory	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	6	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	7	NKO	χαρακτὴρ	charaktēr	G5481	N-NSM	χαρακτήρ	reproduction	[the] exact expression	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	8	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	9	NKO	ὑποστάσεως	hupostaseōs	G5287	N-GSF	ὑπόστασις	confidence/essence	substance	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	10	NKO	αὐτοῦ,	autou	G0846	P-GSM	αὐτός	he/she/it/self	of Him,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	11	NKO	φέρων	pherōn	G5342	V-PAP-NSM	φέρω	to bear/lead	upholding	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	12	NKO	τε	te	G5037	CONJ	τε	and/both	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	13	NKO	τὰ	ta	G3588	T-APN	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	14	NKO	πάντα	panta	G3956	A-APN	πᾶς	all	all things	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	15	NKO	τῷ	tō	G3588	T-DSN	ὁ	the/this/who	by the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	16	NKO	ῥήματι	rhēmati	G4487	N-DSN	ῥῆμα	declaration	declaration	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	17	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	18	NKO	δυνάμεως	dunameōs	G1411	N-GSF	δύναμις	power	power	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	19	NKO	αὐτοῦ	autou	G0846	P-GSM	αὐτός	he/she/it/self	of Him	NA28+NA27+Tyn+WH+Treg+TR+Byz	
1	3	20	KO	δι᾽	di᾽	G1223	PREP	διά	through/because of	through	SBL+TR+Byz	
1	3	21	KO	ἑαυτοῦ,	he'autou	G1438	F-3GSM	ἑαυτοῦ	my/your/him-self	himself	SBL+TR+Byz	
1	3	22	NKO	καθαρισμὸν	katharismon	G2512	N-ASM	καθαρισμός	cleansing	[the] purification	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	23	NKO	τῶν	tōn	G3588	T-GPF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	24	NKO	ἁμαρτιῶν	hamartiōn	G0266	N-GPF	ἁμαρτία	sin	of sins	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	25	NKO	ποιησάμενος	poiēsamenos	G4160G	V-AMP-NSM	ποιέω	to do/make	having made	NA28+NA27+Tyn+SBL+WH+Treg+TR«3+Byz«3	
1	3	26	K	ἡμῶν	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us	TR+Byz	
1	3	27	NKO	ἐκάθισεν	ekathisen	G2523	V-AAI-3S	καθίζω	to seat	sat down	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	28	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	at	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	29	NKO	δεξιᾷ	dexia	G1188	A-DSF	δεξιός	right	[the] right hand	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	30	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	31	NKO	μεγαλωσύνης	megalōsunēs	G3172	N-GSF	μεγαλωσύνη	majesty	Majesty	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	32	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	on	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	33	NKO	ὑψηλοῖς	hupsēlois	G5308	A-DPM	ὑψηλός	high	high	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	4	1	NKO	τοσούτῳ	tosoutō	G5118	K-DSN	τοσοῦτος	so great	By so much	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	4	2	NKO	κρείττων	kreittōn	G2908	A-NSM-C	κρείσσων	greater	superior	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
