chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Ἰάκωβος	Iakōbos	G2385I	N-NSM-P	Ἰάκωβος	James	James	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	θεοῦ	theou	G2316	N-GSM-T	θεός	God	of God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	κυρίου	kuriou	G2962G	N-GSM-T	κύριος	lord	of [the] Lord	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	δοῦλος	doulos	G1401	N-NSM	δοῦλος	slave	a servant	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	ταῖς	tais	G3588	T-DPF	ὁ	the/this/who	To the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	δώδεκα	dōdeka	G1427	A-NUI	δώδεκα	twelve	twelve	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	φυλαῖς	phulais	G5443	N-DPF	φυλή	tribe	tribes	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	ταῖς	tais	G3588	T-DPF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	13	NKO	τῇ	tēa	G3588	T-DSF	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	διασπορᾷ	diaspora	G1290	N-DSF	διασπορά	dispersion	Dispersion	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	χαίρειν.¶	chairein	G5463	V-PAN	χαίρω	to rejoice	Greeting.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
