chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Ἐν	En	G1722	PREP	ἐν	in/on/among	In [the]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	ἀρχῇ	archēa	G0746	N-DSF	ἀρχή	beginning	beginning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	ἦν	ēn	G1510	V-IAI-3S	εἰμί	to be	was	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	λόγος,	logos	G3056	N-NSM	λόγος	word	Word,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	λόγος	logos	G3056	N-NSM	λόγος	word	Word	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	ἦν	ēn	G1510	V-IAI-3S	εἰμί	to be	was	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	πρὸς	pros	G4314	PREP	πρός	to/with	with	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	θεόν,	theon	G2316	N-ASM-T	θεός	God	God,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	13	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	θεὸς	theos	G2316	N-NSM-T	θεός	God	God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	ἦν	ēn	G1510	V-IAI-3S	εἰμί	to be	was	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	16	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	17	NKO	λόγος.	logos	G3056	N-NSM	λόγος	word	Word.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	οὗτος	houtos	G3778	D-NSM	οὗτος	this/he/she/it	He	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	ἦν	ēn	G1510	V-IAI-3S	εἰμί	to be	was	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in [the]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	ἀρχῇ	archēa	G0746	N-DSF	ἀρχή	beginning	beginning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	πρὸς	pros	G4314	PREP	πρός	to/with	with	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	θεόν.	theon	G2316	N-ASM-T	θεός	God	God.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	1	NKO	πάντα	panta	G3956	A-NPN	πᾶς	all	All things	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	δι᾽	di᾽	G1223	PREP	διά	through/because of	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	3	NKO	αὐτοῦ	autou	G0846	P-GSM	αὐτός	he/she/it/self	Him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	4	NKO	ἐγένετο,	egeneto	G1096	V-2ADI-3S	γίνομαι	to be	came into being,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	5	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	6	NKO	χωρὶς	chōris	G5565	PREP	χωρίς	without	without	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	7	NKO	αὐτοῦ	autou	G0846	P-GSM	αὐτός	he/she/it/self	Him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	8	NKO	ἐγένετο	egeneto	G1096	V-2ADI-3S	γίνομαι	to be	came into being	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	9	NKO	οὐδὲ	oude	G3761	CONJ-N	οὐδέ	and not	not even	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	10	NKO	ἓν	hen	G1520	A-NSN	εἷς	one	one [thing]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
