chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Ἰούδας	Ioudas	G2455I	N-NSM-P	Ἰούδας	Judah/Judas/Jude	Jude	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	δοῦλος,	doulos	G1401	N-NSM	δοῦλος	slave	servant,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	ἀδελφὸς	adelphos	G0080	N-NSM	ἀδελφός	brother	brother	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	δὲ	de	G1161	CONJ	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	Ἰακώβου,	Iakōbou	G2385I	N-GSM-P	Ἰάκωβος	James	of James,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	τοῖς	tois	G3588	T-DPM	ὁ	the/this/who	To those	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	θεῷ	theō	G2316	N-DSM-T	θεός	God	God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	πατρὶ	patri	G3962	N-DSM-T	πατήρ	father	[the] Father	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	N(K)O	ἠγαπημένοις	ēgapēmenois	G0025	V-RPP-DPM	ἀγαπάω	to love	loved	NA28+NA27+Tyn+SBL+WH+Treg	
1	1	13	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	Ἰησοῦ	Iēsou	G2424G	N-DSM-P	Ἰησοῦς	Jesus/Joshua	in Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	Χριστῷ	Christō	G5547	N-DSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	16	NKO	τετηρημένοις	tetērēmenois	G5083I	V-RPP-DPM	τηρέω	to keep	kept	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	17	NKO	κλητοῖς·	klētois	G2822	A-DPM	κλητός	called	called;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	ἔλεος	eleos	G1656	N-NSN	ἔλεος	mercy	Mercy	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	ὑμῖν	humin	G4771	P-2DP	σύ	you	to you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	εἰρήνη	eirēnē	G1515	N-NSF	εἰρήνη	peace	peace	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	ἀγάπη	agapē	G0026	N-NSF	ἀγάπη	love	love	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	πληθυνθείη.¶	plēthuntheiē	G4129	V-APO-3S	πληθύνω	to multiply	would be multiplied.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	1	NKO	Ἀγαπητοί,	Agapētoi	G0027	A-VPM	ἀγαπητός	beloved	Beloved,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	πᾶσαν	pasan	G3956	A-ASF	πᾶς	all	all	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	3	NKO	σπουδὴν	spoudēn	G4710	N-ASF	σπουδή	diligence	diligence	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	4	NKO	ποιούμενος	poioumenos	G4160G	V-PMP-NSM	ποιέω	to do/make	using	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	5	NKO	γράφειν	graphein	G1125	V-PAN	γράφω	to write	to write	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	6	NKO	ὑμῖν	humin	G4771	P-2DP	σύ	you	to you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	7	NKO	περὶ	peri	G4012	PREP	περί	about	concerning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	8	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	9	NKO	κοινῆς	koinēs	G2839H	A-GSF	κοινός	common	shared	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	10	NO	ἡμῶν	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us	NA28+NA27+Tyn+SBL+WH+Treg	
1	3	11	NKO	σωτηρίας,	sōtērias	G4991	N-GSF	σωτηρία	salvation	salvation,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	12	NKO	ἀνάγκην	anagkēn	G0318	N-ASF	ἀνάγκη	necessity	necessity	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	13	NKO	ἔσχον	eschon	G2192	V-2AAI-1S	ἔχω	to have/be	I had	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	14	NKO	γράψαι	grapsai	G1125	V-AAN	γράφω	to write	to write	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	15	NKO	ὑμῖν	humin	G4771	P-2DP	σύ	you	to you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
