chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Ἐπειδήπερ	Epeidēper	G1895	CONJ	ἐπειδήπερ	since	Inasmuch as	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	πολλοὶ	polloi	G4183	A-NPM	πολύς	much	many	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	ἐπεχείρησαν	epecheirēsan	G2021	V-AAI-3P	ἐπιχειρέω	to attempt	undertook	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	ἀνατάξασθαι	anataxasthai	G0392	V-ADN	ἀνατάσσω	to compile	to draw up	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	διήγησιν	diēgēsin	G1335	N-ASF	διήγησις	narrative	a narration	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	περὶ	peri	G4012	PREP	περί	about	concerning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	τῶν	tōn	G3588	T-GPN	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	πεπληροφορημένων	peplērophorēmenōn	G4135	V-RPP-GPN	πληροφορέω	to fulfill	accomplished	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	among	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	ἡμῖν	hēmin	G3165	P-1DP	ἐγώ	I/we	us	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	πραγμάτων,	pragmatōn	G4229	N-GPN	πρᾶγμα	thing	things,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	καθὼς	kathōs	G2531	CONJ	καθώς	as/just as	even as	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	παρέδοσαν	paredosan	G3860	V-2AAI-3P	παραδίδωμι	to deliver	delivered [them]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	ἡμῖν	hēmin	G3165	P-1DP	ἐγώ	I/we	to us	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	οἱ	hoi	G3588	T-NPM	ὁ	the/this/who	those	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	ἀπ᾽	ap᾽	G0575	PREP	ἀπό	away from	from	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	ἀρχῆς	archēs	G0746	N-GSF	ἀρχή	beginning	[the] beginning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	αὐτόπται	autoptai	G0845	N-NPM	αὐτόπτης	eyewitness	eyewitnesses	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	8	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	NKO	ὑπηρέται	hupēretai	G5257	N-NPM	ὑπηρέτης	servant	servants	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	10	NKO	γενόμενοι	genomenoi	G1096	V-2ADP-NPM	γίνομαι	to be	having been	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	12	NKO	λόγου,	logou	G3056	N-GSM	λόγος	word	word,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	1	NKO	ἔδοξεν	edoxen	G1380	V-AAI-3S	δοκέω	to think	it seemed good	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	κἀμοὶ	kamoi	G1473	P-1DS + G2532=CONJ	κἀγώ	and I	also to me	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	3	NKO	παρηκολουθηκότι	parēkolouthēkoti	G3877	V-RAP-DSM	παρακολουθέω	to follow	having been acquainted	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	4	NKO	ἄνωθεν	anōthen	G0509	ADV	ἄνωθεν	from above/again	from the first	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	5	NKO	πᾶσιν	pasin	G3956	A-DPN	πᾶς	all	with all things	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	6	NKO	ἀκριβῶς	akribōs	G0199	ADV	ἀκριβῶς	exactly	carefully	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	7	NKO	καθεξῆς	kathexēs	G2517	ADV	καθεξῆς	in order	with method	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	8	NKO	σοι	soi	G4771	P-2DS	σύ	you	to you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
