chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Βίβλος	Biblos	G0976	N-NSF	βίβλος	book	[The] book	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	γενέσεως	geneseōs	G1078	N-GSF	γένεσις	origin	of [the] genealogy	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	υἱοῦ	huiou	G5207	N-GSM	υἱός	son	son	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	Δαυὶδ	Dauid	G1138	N-GSM-P	Δαυείδ, Δαυίδ, Δαβίδ	David	of David	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	υἱοῦ	huiou	G5207	N-GSM	υἱός	son	son	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	Ἀβραάμ.	Abraam	G0011	N-GSM-P	Ἀβραάμ	Abraham	of Abraham.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	Ἀβραὰμ	Abraam	G0011	N-NSM-P	Ἀβραάμ	Abraham	Abraham	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	ἐγέννησεν	egennēsen	G1080	V-AAI-3S	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	Ἰσαάκ·	Isaak	G2464	N-ASM-P	Ἰσαάκ	Isaac	Isaac;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	Ἰσαὰκ	Isaak	G2464	N-NSM-P	Ἰσαάκ	Isaac	Isaac	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	δὲ	de	G1161	CONJ	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	ἐγέννησεν	egennēsen	G1080	V-AAI-3S	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	8	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	NKO	Ἰακώβ·	Iakōb	G2384H	N-ASM-P	Ἰακώβ	Jacob	Jacob;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	10	NKO	Ἰακὼβ	Iakōb	G2384H	N-NSM-P	Ἰακώβ	Jacob	Jacob	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	δὲ	de	G1161	CONJ	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	12	NKO	ἐγέννησεν	egennēsen	G1080	V-AAI-3S	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	13	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	14	NKO	Ἰούδαν	Ioudan	G2455N	N-ASM-P	Ἰούδας	Judah/Judas/Jude	Judah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	15	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	16	NKO	τοὺς	tous	G3588	T-APM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	17	NKO	ἀδελφοὺς	adelphous	G0080	N-APM	ἀδελφός	brother	brothers	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	18	NKO	αὐτοῦ·	autou	G0846	P-GSM	αὐτός	he/she/it/self	of him;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	1	NKO	Ἰούδας	Ioudas	G2455N	N-NSM-P	Ἰούδας	Judah/Judas/Jude	Judah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	δὲ	de	G1161	CONJ	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	3	NKO	ἐγέννησεν	egennēsen	G1080	V-AAI-3S	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	4	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	5	NKO	Φάρες	Phares	G5329	N-ASM-P	Φάρες	Perez	Perez	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	6	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	7	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
