chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Ἀρχὴ	Archē	G0746	N-NSF	ἀρχή	beginning	[The] beginning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	τοῦ	tou	G3588	T-GSN	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	εὐαγγελίου	euangeliou	G2098	N-GSN	εὐαγγέλιον	gospel	gospel	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	υἱοῦ	huiou	G5207	N-GSM	υἱός	son	Son	NA28+NA27+Tyn+Treg+TR+Byz	
1	1	7	ko	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	<the>	NA28+TR+Byz	
1	1	8	NKO	θεοῦ·	theou	G2316	N-GSM-T	θεός	God	of God;	NA28+NA27+Tyn+Treg+TR+Byz	
1	2	1	N(k)O	καθὼς	kathōs	G2531	CONJ	καθώς	as/just as	Even as	NA28+NA27+Tyn+SBL+WH+Treg	
1	2	2	NKO	γέγραπται	gegraptai	G1125	V-RPI-3S	γράφω	to write	it has been written	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg	
1	2	5	NO	Ἠσαΐᾳ	Ēsaia	G2268	N-DSM-P	Ἡσαΐας	Isaiah	Isaiah	NA28+NA27+Tyn+SBL+WH+Treg	
1	2	6	N(k)O	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	in the	NA28+NA27+Tyn+SBL+WH+Treg	
1	2	7	N(K)O	προφήτῃ·	prophētē	G4396	N-DSM	προφήτης	prophet	prophet:	NA28+NA27+Tyn+SBL+WH+Treg	
1	2	8	NKO	ἰδοὺ	idou	G2400	INJ	ἰδού	look!	Behold	NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	KO	ἐγὼ	egō	G1473	P-1NS	ἐγώ	I/we	I myself	NA28+TR+Byz	
1	2	10	NKO	ἀποστέλλω	apostellō	G0649	V-PAI-1S	ἀποστέλλω	to send	send	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	12	NKO	ἄγγελόν	angelon	G0032H	N-ASM	ἄγγελος	angel	messenger	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	13	NKO	μου	mou	G3165	P-1GS	ἐγώ	I/we	of Mine	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	14	NKO	πρὸ	pro	G4253	PREP	πρό	before	before	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	15	NKO	προσώπου	prosōpou	G4383	N-GSN	πρόσωπον	face	face	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	16	NKO	σου,	sou	G4771	P-2GS	σύ	you	of You,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	17	NKO	ὃς	hos	G3739	R-NSM	ὅς, ἥ	which	who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	18	NKO	κατασκευάσει	kataskeuasei	G2680	V-FAI-3S	κατασκευάζω	to prepare	will prepare	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
