chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Παῦλος	Paulos	G3972G	N-NSM-P	Παῦλος	Paul	Paul	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	δέσμιος	desmios	G1198	N-NSM	δέσμιος	prisoner	a prisoner	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	of Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	Τιμόθεος	Timotheos	G5095	N-NSM-P	Τιμόθεος	Timothy	Timothy	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	ἀδελφὸς	adelphos	G0080	N-NSM	ἀδελφός	brother	[our] brother	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	Φιλήμονι	Philēmoni	G5371	N-DSM-P	Φιλήμων	Philemon	To Philemon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	ἀγαπητῷ	agapētō	G0027	A-DSM	ἀγαπητός	beloved	beloved	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	13	NKO	συνεργῷ	sunergō	G4904	A-DSM	συνεργός	co-worker	fellow worker	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	ἡμῶν	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	Ἀπφίᾳ	Apphia	G0682	N-DSF-P	Ἀπφία	Apphia	to Apphia	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	τῇ	tēa	G3588	T-DSF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	N(K)O	ἀδελφῇ	adelphēa	G0079	N-DSF	ἀδελφή	sister	our sister	NA28+NA27+Tyn+SBL+WH+Treg	
1	2	5	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
