chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Ἀποκάλυψις	Apokalupsis	G0602	N-NSF	ἀποκάλυψις	revelation	[The] revelation	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	ἣν	hēn	G3739	R-ASF	ὅς, ἥ	which	which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	ἔδωκεν	edōken	G1325	V-AAI-3S	δίδωμι	to give	gave	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	αὐτῷ	autō	G0846	P-DSM	αὐτός	he/she/it/self	to him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	θεὸς	theos	G2316	N-NSM-T	θεός	God	God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	δεῖξαι	deixai	G1166	V-AAN	δεικνύω	to show	to show	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	τοῖς	tois	G3588	T-DPM	ὁ	the/this/who	to the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	δούλοις	doulois	G1401	N-DPM	δοῦλος	slave	bond-servants	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	αὐτοῦ	autou	G0846	P-GSM	αὐτός	he/she/it/self	of Him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	13	NKO	ἃ	ha	G3739	R-APN	ὅς, ἥ	which	what things	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	δεῖ	dei	G1163	V-PAI-3S	δεῖ	be necessary	it behooves	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	γενέσθαι	genesthai	G1096	V-2ADN	γίνομαι	to be	to take place	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	16	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	with	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	17	NKO	τάχει	tachei	G5034	N-DSN	τάχος	quickness	speed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	18	NKO	καὶ	kai	G2532	CONJ	καί	and	And	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	19	NKO	ἐσήμανεν	esēmanen	G4591	V-AAI-3S	σημαίνω	to signify	He signified [it]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	20	NKO	ἀποστείλας	aposteilas	G0649	V-AAP-NSM	ἀποστέλλω	to send	having sent	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	21	NKO	διὰ	dia	G1223	PREP	διά	through/because of	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	22	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	23	NKO	ἀγγέλου	angelou	G0032G	N-GSM	ἄγγελος	angel	angel	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	24	NKO	αὐτοῦ	autou	G0846	P-GSM	αὐτός	he/she/it/self	of Him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	25	NKO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	to the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	26	NKO	δούλῳ	doulō	G1401	N-DSM	δοῦλος	slave	servant	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	27	NKO	αὐτοῦ	autou	G0846	P-GSM	αὐτός	he/she/it/self	of Him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	28	NKO	Ἰωάννῃ,	Iōannē	G2491H	N-DSM-P	Ἰωάννης	John	John,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	ὃς	hos	G3739	R-NSM	ὅς, ἥ	which	who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	ἐμαρτύρησεν	emarturēsen	G3140	V-AAI-3S	μαρτυρέω	to testify	testified	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	to the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	λόγον	logon	G3056	N-ASM	λόγος	word	word	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	θεοῦ	theou	G2316	N-GSM-T	θεός	God	of God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	7	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	8	NKO	τὴν	tēn	G3588	T-ASF	ὁ	the/this/who	to the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	9	NKO	μαρτυρίαν	marturian	G3141	N-ASF	μαρτυρία	testimony	testimony	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	10	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	11	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	12	NKO	ὅσα	hosa	G3745	K-APN	ὅσος	just as/how much	as much as	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	13	k	τε	te	G5037	CONJ	τε	and/both	then	TR	
1	2	14	NKO	εἶδεν.	eiden	G1492H	V-2AAI-3S	εἴδω	to perceive	he saw.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	1	NKO	μακάριος	makarios	G3107	A-NSM	μακάριος	blessed	blessed [is]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	2	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	the [one]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	3	NKO	ἀναγινώσκων	anaginōskōn	G0314	V-PAP-NSM	ἀναγινώσκω	to read	reading	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	4	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	5	NKO	οἱ	hoi	G3588	T-NPM	ὁ	the/this/who	those	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	6	NKO	ἀκούοντες	akouontes	G0191	V-PAP-NPM	ἀκούω	to hear	hearing	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	7	NKO	τοὺς	tous	G3588	T-APM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	8	NKO	λόγους	logous	G3056	N-APM	λόγος	word	words	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	9	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	10	NKO	προφητείας	prophēteias	G4394	N-GSF	προφητεία	prophecy	prophecy	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	11	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	12	NKO	τηροῦντες	tērountes	G5083G	V-PAP-NPM	τηρέω	to keep	keeping	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	13	NKO	τὰ	ta	G3588	T-APN	ὁ	the/this/who	the [things]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	14	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	3	15	NKO	αὐτῇ	autēa	G0846	P-DSF	αὐτός	he/she/it/self	it	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
