chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Παῦλος	Paulos	G3972G	N-NSM-P	Παῦλος	Paul	Paul	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	δοῦλος	doulos	G1401	N-NSM	δοῦλος	slave	a servant	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	of Christ	NA28+NA27+Tyn»1+SBL+WH»1+Treg+TR»1+Byz»1	
1	1	4	NKO	Ἰησοῦ,	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	κλητὸς	klētos	G2822	A-NSM	κλητός	called	a called	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	ἀπόστολος	apostolos	G0652	N-NSM	ἀπόστολος	apostle	apostle	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	ἀφωρισμένος	aphōrismenos	G0873	V-RPP-NSM	ἀφορίζω	to separate	set apart	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	εἰς	eis	G1519	PREP	εἰς	toward	for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	εὐαγγέλιον	euangelion	G2098	N-ASN	εὐαγγέλιον	gospel	[the] gospel	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	θεοῦ,	theou	G2316	N-GSM-T	θεός	God	of God,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	1	NKO	ὃ	ho	G3739	R-ASN	ὅς, ἥ	which	which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	2	NKO	προεπηγγείλατο	proepēngeilato	G4279	V-ADI-3S	προεπαγγέλλω	to promise	He promised beforehand	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	3	NKO	διὰ	dia	G1223	PREP	διά	through/because of	through	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	4	NKO	τῶν	tōn	G3588	T-GPM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	5	NKO	προφητῶν	prophētōn	G4396	N-GPM	προφήτης	prophet	prophets	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	2	6	NKO	αὐτοῦ	autou	G0846	P-GSM	αὐτός	he/she/it/self	of Him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
