chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Παῦλος	Paulos	G3972G	N-NSM-P	Παῦλος	Paul	Paul	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	δοῦλος	doulos	G1401	N-NSM	δοῦλος	slave	a servant	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	θεοῦ	theou	G2316	N-GSM-T	θεός	God	of God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	ἀπόστολος	apostolos	G0652	N-NSM	ἀπόστολος	apostle	an apostle	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	δὲ	de	G1161	CONJ	δέ	but/and	now	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	Ἰησοῦ	Iēsou	G2424G	N-GSM-P	Ἰησοῦς	Jesus/Joshua	of Jesus	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	Χριστοῦ	Christou	G5547	N-GSM-T	Χριστός	Christ	Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	κατὰ	kata	G2596	PREP	κατά	according to	according to	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	πίστιν	pistin	G4102G	N-ASF	πίστις	faith	[the] faith	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	ἐκλεκτῶν	eklektōn	G1588	A-GPM	ἐκλεκτός	select	of [the] elect	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	θεοῦ	theou	G2316	N-GSM-T	θεός	God	of God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	13	NKO	ἐπίγνωσιν	epignōsin	G1922	N-ASF	ἐπίγνωσις	knowledge	knowledge	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	ἀληθείας	alētheias	G0225	N-GSF	ἀλήθεια	truth	of [the] truth	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	τῆς	tēs	G3588	T-GSF	ὁ	the/this/who	which [is]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	16	NKO	κατ᾽	kat᾽	G2596	PREP	κατά	according to	according to	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	17	NKO	εὐσέβειαν	eusebeian	G2150	N-ASF	εὐσέβεια	piety	godliness	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
