chapter	verse	word	type	surface	lemma	morph	id
1	1	1		אָדָ֥ם	121	HNp	13xeN
1	1	2		שֵׁ֖ת	8352	HNp	13Nvk
1	1	3		אֱנֽוֹשׁ	583	HNp	13TyA
1	2	1		קֵינָ֥ן	7018	HNp	13vuQ
1	2	2		מַהֲלַלְאֵ֖ל	4111	HNp	13TSc
1	2	3		יָֽרֶד	3382	HNp	13k5P
1	3	1		חֲנ֥וֹךְ	2585	HNp	13nPh
1	3	2		מְתוּשֶׁ֖לַח	4968	HNp	13LN3
1	3	3		לָֽמֶךְ	3929	HNp	13Qzf
1	4	1		נֹ֥חַ	5146	HNp	13aPd
1	4	2		שֵׁ֖ם	8035	HNp	13eYX
1	4	3		חָ֥ם	2526	HNp	13C5U
1	4	4		וָ/יָֽפֶת	c/3315	HC/Np	13qNN
1	5	1		בְּנֵ֣י	1121 a	HNcmpc	13EVS
1	5	2		יֶ֔פֶת	3315	HNp	13PB6
1	5	3		גֹּ֣מֶר	1586	HNp	1337c
1	5	4		וּ/מָג֔וֹג	c/4031	HC/Np	13x9c
1	5	5		וּ/מָדַ֖י	c/4074	HC/Np	13yNB
1	5	6		וְ/יָוָ֣ן	c/3120	HC/Np	1329t
1	5	7		וְ/תֻבָ֑ל	c/8422	HC/Np	13KZG
1	5	8		וּ/מֶ֖שֶׁךְ	c/4902	HC/Np	13TZE
1	5	9		וְ/תִירָֽס	c/8494	HC/Np	13thY
1	6	1		וּ/בְנֵ֖י	c/1121 a	HC/Ncmpc	13JM7
1	6	2		גֹּ֑מֶר	1586	HNp	13fpo
1	6	3		אַשְׁכֲּנַ֥ז	813	HNp	13W26
1	6	4		וְ/דִיפַ֖ת	c/7384 a	HC/Np	13yw4
1	6	5		וְ/תוֹגַרְמָֽה	c/8425	HC/Np	13jbg
1	7	1		וּ/בְנֵ֥י	c/1121 a	HC/Ncmpc	13USR
1	7	2		יָוָ֖ן	3120	HNp	13v6U
1	7	3		אֱלִישָׁ֣ה	473	HNp	135SS
1	7	4		וְ/תַרְשִׁ֑ישָׁ/ה	c/8659	HC/Np/Sh	13GzE
1	7	5		כִּתִּ֖ים	3794	HNp	13qCU
1	7	6		וְ/רוֹדָנִֽים	c/1721	HC/Np	13g2y
1	8	1		בְּנֵ֖י	1121 a	HNcmpc	13jQb
1	8	2		חָ֑ם	2526	HNp	13794
1	8	3		כּ֥וּשׁ	3568 a	HNp	13CsU
1	8	4		וּ/מִצְרַ֖יִם	c/4714	HC/Np	13XR4
1	8	5		פּ֥וּט	6316	HNp	13KvS
1	8	6		וּ/כְנָֽעַן	c/3667 a	HC/Np	13dBc
1	9	1		וּ/בְנֵ֣י	c/1121 a	HC/Ncmpc	13nAB
1	9	2		כ֔וּשׁ	3568 a	HNp	13kfX
1	9	3		סְבָא֙	5434	HNp	13Wkf
1	9	4		וַ/חֲוִילָ֔ה	c/2341	HC/Np	13wrL
1	9	5		וְ/סַבְתָּ֥א	c/5454	HC/Np	133TL
1	9	6		וְ/רַעְמָ֖א	c/7484	HC/Np	13LeN
1	9	7		וְ/סַבְתְּכָ֑א	c/5455	HC/Np	13sMn
1	9	8		וּ/בְנֵ֥י	c/1121 a	HC/Ncmpc	13Y3z
1	9	9		רַעְמָ֖א	7484	HNp	13NQN
1	9	10		שְׁבָ֥א	7614	HNp	13uLf
1	9	11		וּ/דְדָֽן	c/1719 a	HC/Np	13kA7
1	10	1		וְ/כ֖וּשׁ	c/3568 a	HC/Np	133TS
1	10	2		יָלַ֣ד	3205	HVqp3ms	13NFp
1	10	3		אֶת	853	HTo	137am
1	10	4		נִמְר֑וֹד	5248	HNp	13hh7
1	10	5		ה֣וּא	1931	HPp3ms	13BsK
1	10	6		הֵחֵ֔ל	2490 c	HVhp3ms	13fsu
1	10	7		לִ/הְי֥וֹת	l/1961	HR/Vqc	138M6
1	10	8		גִּבּ֖וֹר	1368	HAamsa	13wM5
1	10	9		בָּ/אָֽרֶץ	b/776	HRd/Ncbsa	13qty
1	11	1		וּ/מִצְרַ֡יִם	c/4714	HC/Np	135gQ
1	11	2		יָלַ֞ד	3205	HVqp3ms	13Xw6
1	11	3		אֶת	853	HTo	13eHJ
1	11	4	x-ketiv	לודיים	3866	HNp	13H6L
1	11	5		לוּדִ֧ים	3866	HNp	13bmv
1	11	6		וְ/אֶת	c/853	HC/To	13FV9
1	11	7		עֲנָמִ֛ים	6047	HNp	13Xm1
1	11	8		וְ/אֶת	c/853	HC/To	13UE6
1	11	9		לְהָבִ֖ים	3853	HNp	13goK
1	11	10		וְ/אֶת	c/853	HC/To	13CyH
1	11	11		נַפְתֻּחִֽים	5320	HNp	13A4a
1	12	1		וְֽ/אֶת	c/853	HC/To	135Pr
1	12	2		פַּתְרֻסִ֞ים	6625	HNp	13L4k
1	12	3		וְ/אֶת	c/853	HC/To	13Mnv
1	12	4		כַּסְלֻחִ֗ים	3695	HNp	13mwU
1	12	5		אֲשֶׁ֨ר	834 a	HTr	13tKT
1	12	6		יָצְא֥וּ	3318	HVqp3cp	13NRT
1	12	7		מִ/שָּׁ֛ם	m/8033	HR/D	13sRU
1	12	8		פְּלִשְׁתִּ֖ים	6430	HNgmpa	13Wxq
1	12	9		וְ/אֶת	c/853	HC/To	139qY
1	12	10		כַּפְתֹּרִֽים	3732	HNgmpa	13n5f
1	13	1		וּ/כְנַ֗עַן	c/3667 a	HC/Np	13YUq
1	13	2		יָלַ֛ד	3205	HVqp3ms	13fQr
1	13	3		אֶת	853	HTo	13L7t
1	13	4		צִיד֥וֹן	6721	HNp	13A74
1	13	5		בְּכֹר֖/וֹ	1060	HNcmsc/Sp3ms	13dNE
1	13	6		וְ/אֶת	c/853	HC/To	13xdF
1	13	7		חֵֽת	2845	HNp	13AYg
1	14	1		וְ/אֶת	c/853	HC/To	13Ls9
1	14	2		הַ/יְבוּסִי֙	d/2983	HTd/Ngmsa	13Snp
1	14	3		וְ/אֶת	c/853	HC/To	1387B
1	14	4		הָ֣/אֱמֹרִ֔י	d/567	HTd/Ngmsa	13nLp
1	14	5		וְ/אֵ֖ת	c/853	HC/To	13PzC
1	14	6		הַ/גִּרְגָּשִֽׁי	d/1622	HTd/Ngmsa	13NPq
1	15	1		וְ/אֶת	c/853	HC/To	13d5m
1	15	2		הַ/חִוִּ֥י	d/2340	HTd/Ngmsa	13BYa
1	15	3		וְ/אֶת	c/853	HC/To	13LJh
1	15	4		הַֽ/עַרְקִ֖י	d/6208	HTd/Ngmsa	13tRR
1	15	5		וְ/אֶת	c/853	HC/To	13Q7E
1	15	6		הַ/סִּינִֽי	d/5513	HTd/Ngmsa	13dv1
1	16	1		וְ/אֶת	c/853	HC/To	13QwM
1	16	2		הָ/אַרְוָדִ֥י	d/721	HTd/Ngmsa	13a62
1	16	3		וְ/אֶת	c/853	HC/To	13KvD
1	16	4		הַ/צְּמָרִ֖י	d/6786	HTd/Ngmsa	13GLz
1	16	5		וְ/אֶת	c/853	HC/To	13BU7
1	16	6		הַֽ/חֲמָתִֽי	d/2577	HTd/Ngmsa	13iy2
1	17	1		בְּנֵ֣י	1121 a	HNcmpc	13zQ2
1	17	2		שֵׁ֔ם	8035	HNp	13Wxx
1	17	3		עֵילָ֣ם	5867 a	HNp	13jQ8
1	17	4		וְ/אַשּׁ֔וּר	c/804	HC/Np	13Haa
1	17	5		וְ/אַרְפַּכְשַׁ֖ד	c/775	HC/Np	13fJN
1	17	6		וְ/ל֣וּד	c/3865	HC/Np	139KV
1	17	7		וַ/אֲרָ֑ם	c/758	HC/Np	13F1s
1	17	8		וְ/ע֥וּץ	c/5780	HC/Np	13dns
1	17	9		וְ/ח֖וּל	c/2343	HC/Np	13GK3
1	17	10		וְ/גֶ֥תֶר	c/1666	HC/Np	13nRZ
1	17	11		וָ/מֶֽשֶׁךְ	c/4902	HC/Np	13cpb
1	18	1		וְ/אַרְפַּכְשַׁ֖ד	c/775	HC/Np	13zio
1	18	2		יָלַ֣ד	3205	HVqp3ms	13Qsh
1	18	3		אֶת	853	HTo	13zTj
1	18	4		שָׁ֑לַח	7974	HNp	13fPi
1	18	5		וְ/שֶׁ֖לַח	c/7974	HC/Np	13GYe
1	18	6		יָלַ֥ד	3205	HVqp3ms	13Bbz
1	18	7		אֶת	853	HTo	13VA9
1	18	8		עֵֽבֶר	5677	HNp	13fV3
1	19	1		וּ/לְ/עֵ֥בֶר	c/l/5677	HC/R/Np	13Sov
1	19	2		יֻלַּ֖ד	3205	HVPp3ms	13V27
1	19	3		שְׁנֵ֣י	8147	HAcmdc	13ifp
1	19	4		בָנִ֑ים	1121 a	HNcmpa	137ZG
1	19	5		שֵׁ֣ם	8034	HNcmsc	13B2d
1	19	6		הָ/אֶחָ֞ד	d/259	HTd/Acmsa	13ewe
1	19	7		פֶּ֗לֶג	6389	HNp	13SV6
1	19	8		כִּ֤י	3588 a	HC	13G83
1	19	9		בְ/יָמָי/ו֙	b/3117	HR/Ncmpc/Sp3ms	13vzS
1	19	10		נִפְלְגָ֣ה	6385	HVNp3fs	13Gq9
1	19	11		הָ/אָ֔רֶץ	d/776	HTd/Ncbsa	133y8
1	19	12		וְ/שֵׁ֥ם	c/8034	HC/Ncmsc	13TXw
1	19	13		אָחִ֖י/ו	251	HNcmsc/Sp3ms	13Y4K
1	19	14		יָקְטָֽן	3355	HNp	13C32
1	20	1		וְ/יָקְטָ֣ן	c/3355	HC/Np	13aMT
1	20	2		יָלַ֔ד	3205	HVqp3ms	13Cof
1	20	3		אֶת	853	HTo	13YWU
1	20	4		אַלְמוֹדָ֖ד	486	HNp	13rAQ
1	20	5		וְ/אֶת	c/853	HC/To	13fLi
1	20	6		שָׁ֑לֶף	8026	HNp	13Ptj
1	20	7		וְ/אֶת	c/853	HC/To	13AJj
1	20	8		חֲצַרְמָ֖וֶת	2700	HNp	139Hv
1	20	9		וְ/אֶת	c/853	HC/To	13j1i
1	20	10		יָֽרַח	3392	HNp	13J9J
1	21	1		וְ/אֶת	c/853	HC/To	13U4n
1	21	2		הֲדוֹרָ֥ם	1913 a	HNp	132Kt
1	21	3		וְ/אֶת	c/853	HC/To	13RmH
1	21	4		אוּזָ֖ל	187	HNp	13SWL
1	21	5		וְ/אֶת	c/853	HC/To	1375P
1	21	6		דִּקְלָֽה	1853	HNp	133Lj
1	22	1		וְ/אֶת	c/853	HC/To	13Qa3
1	22	2		עֵיבָ֥ל	5858 a	HNp	13WTe
1	22	3		וְ/אֶת	c/853	HC/To	136VM
1	22	4		אֲבִימָאֵ֖ל	39	HNp	13sKn
1	22	5		וְ/אֶת	c/853	HC/To	13oAj
1	22	6		שְׁבָֽא	7614	HNp	13AxB
1	23	1		וְ/אֶת	c/853	HC/To	13Ap3
