chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וְ/הַ/מֶּ֤לֶךְ	c/d/4428	HC/Td/Ncmsa	11xeN
1	1	2		דָּוִד֙	1732	HNp	11Nvk
1	1	3		זָקֵ֔ן	2204	HVqp3ms	11TyA
1	1	4		בָּ֖א	935	HVqp3ms	11vuQ
1	1	5		בַּ/יָּמִ֑ים	b/3117	HRd/Ncmpa	11TSc
1	1	6		וַ/יְכַסֻּ֨/הוּ֙	c/3680	HC/Vpw3mp/Sp3ms	11k5P
1	1	7		בַּ/בְּגָדִ֔ים	b/899 b	HRd/Ncmpa	11nPh
1	1	8		וְ/לֹ֥א	c/3808	HC/Tn	11LN3
1	1	9		יִחַ֖ם	3179	HVqi3ms	11Qzf
1	1	10		לֽ/וֹ	l	HR/Sp3ms	11aPd
1	2	1		וַ/יֹּ֧אמְרוּ	c/559	HC/Vqw3mp	11eYX
1	2	2		ל֣/וֹ	l	HR/Sp3ms	11C5U
1	2	3		עֲבָדָ֗י/ו	5650	HNcmpc/Sp3ms	11qNN
1	2	4		יְבַקְשׁ֞וּ	1245	HVpi3mp	11EVS
1	2	5		לַ/אדֹנִ֤/י	l/113	HR/Ncmsc/Sp1cs	11PB6
1	2	6		הַ/מֶּ֨לֶךְ֙	d/4428	HTd/Ncmsa	1137c
1	2	7		נַעֲרָ֣ה	5291	HNcfsa	11x9c
1	2	8		בְתוּלָ֔ה	1330	HNcfsa	11yNB
1	2	9		וְ/עָֽמְדָה֙	c/5975	HC/Vqq3fs	1129t
1	2	10		לִ/פְנֵ֣י	l/6440	HR/Ncbpc	11KZG
1	2	11		הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa	11TZE
1	2	12		וּ/תְהִי	c/1961	HC/Vqj3fs	11thY
1	2	13		ל֖/וֹ	l	HR/Sp3ms	11JM7
1	2	14		סֹכֶ֑נֶת	5532	HVqrfsa	11fpo
1	2	15		וְ/שָׁכְבָ֣ה	c/7901	HC/Vqq3fs	11W26
1	2	16		בְ/חֵיקֶ֔/ךָ	b/2436	HR/Ncmsc/Sp2ms	11yw4
1	2	17		וְ/חַ֖ם	c/2552	HC/Vqq3ms	11jbg
1	2	18		לַ/אדֹנִ֥/י	l/113	HR/Ncmsc/Sp1cs	11USR
1	2	19		הַ/מֶּֽלֶךְ	d/4428	HTd/Ncmsa	11v6U
1	3	1		וַ/יְבַקְשׁוּ֙	c/1245	HC/Vpw3mp	115SS
1	3	2		נַעֲרָ֣ה	5291	HNcfsa	11GzE
1	3	3		יָפָ֔ה	3303	HAafsa	11qCU
1	3	4		בְּ/כֹ֖ל	b/3605	HR/Ncmsc	11g2y
1	3	5		גְּב֣וּל	1366	HNcmsc	11jQb
1	3	6		יִשְׂרָאֵ֑ל	3478	HNp	11794
1	3	7		וַֽ/יִּמְצְא֗וּ	c/4672	HC/Vqw3mp	11CsU
1	3	8		אֶת	853	HTo	11XR4
1	3	9		אֲבִישַׁג֙	49	HNp	11KvS
1	3	10		הַ/שּׁ֣וּנַמִּ֔ית	d/7767	HTd/Ngfsa	11dBc
1	3	11		וַ/יָּבִ֥אוּ	c/935	HC/Vhw3mp	11nAB
1	3	12		אֹתָ֖/הּ	853	HTo/Sp3fs	11kfX
1	3	13		לַ/מֶּֽלֶךְ	l/4428	HRd/Ncmsa	11Wkf
1	4	1		וְ/הַֽ/נַּעֲרָ֖ה	c/d/5291	HC/Td/Ncfsa	11wrL
1	4	2		יָפָ֣ה	3303	HAafsa	113TL
1	4	3		עַד	5704	HR	11LeN
1	4	4		מְאֹ֑ד	3966	HD	11sMn
1	4	5		וַ/תְּהִ֨י	c/1961	HC/Vqw3fs	11Y3z
1	4	6		לַ/מֶּ֤לֶךְ	l/4428	HRd/Ncmsa	11NQN
1	4	7		סֹכֶ֨נֶת֙	5532	HVqrfsa	11uLf
1	4	8		וַ/תְּשָׁ֣רְתֵ֔/הוּ	c/8334	HC/Vpw3fs/Sp3ms	11kA7
1	4	9		וְ/הַ/מֶּ֖לֶךְ	c/d/4428	HC/Td/Ncmsa	113TS
1	4	10		לֹ֥א	3808	HTn	11NFp
1	4	11		יְדָעָֽ/הּ	3045	HVqp3ms/Sp3fs	117am
1	5	1		וַ/אֲדֹנִיָּ֧ה	c/138	HC/Np	11hh7
1	5	2		בֶן	1121 a	HNcmsc	11BsK
1	5	3		חַגִּ֛ית	2294	HNp	11fsu
1	5	4		מִתְנַשֵּׂ֥א	4984	HVtrmsa	118M6
1	5	5		לֵ/אמֹ֖ר	l/559	HR/Vqc	11wM5
1	5	6		אֲנִ֣י	589	HPp1cs	11qty
1	5	7		אֶמְלֹ֑ךְ	4427 a	HVqi1cs	115gQ
1	5	8		וַ/יַּ֣עַשׂ	c/6213 a	HC/Vqw3ms	11Xw6
1	5	9		ל֗/וֹ	l	HR/Sp3ms	11eHJ
1	5	10		רֶ֚כֶב	7393	HNcmsa	11H6L
1	5	11		וּ/פָ֣רָשִׁ֔ים	c/6571 b	HC/Ncmpa	11bmv
1	5	12		וַ/חֲמִשִּׁ֥ים	c/2572	HC/Acbpa	11FV9
1	5	13		אִ֖ישׁ	376	HNcmsa	11Xm1
1	5	14		רָצִ֥ים	7323	HVqrmpa	11UE6
1	5	15		לְ/פָנָֽי/ו	l/6440	HR/Ncbpc/Sp3ms	11goK
1	6	1		וְ/לֹֽא	c/3808	HC/Tn	11CyH
1	6	2		עֲצָב֨/וֹ	6087 a	HVqp3ms/Sp3ms	11A4a
1	6	3		אָבִ֤י/ו	1	HNcmsc/Sp3ms	115Pr
1	6	4		מִ/יָּמָי/ו֙	m/3117	HR/Ncmpc/Sp3ms	11L4k
1	6	5		לֵ/אמֹ֔ר	l/559	HR/Vqc	11Mnv
1	6	6		מַדּ֖וּעַ	4069	HTi	11mwU
1	6	7		כָּ֣כָה	3602	HD	11tKT
1	6	8		עָשִׂ֑יתָ	6213 a	HVqp2ms	11NRT
1	6	9		וְ/גַם	c/1571	HC/Ta	11sRU
1	6	10		ה֤וּא	1931	HPp3ms	11Wxq
1	6	11		טֽוֹב	2896 a	HAamsc	119qY
1	6	12		תֹּ֨אַר֙	8389	HNcmsa	11n5f
1	6	13		מְאֹ֔ד	3966	HD	11YUq
1	6	14		וְ/אֹת֥/וֹ	c/853	HC/To/Sp3ms	11fQr
1	6	15		יָלְדָ֖ה	3205	HVqp3fs	11L7t
1	6	16		אַחֲרֵ֥י	310 a	HR	11A74
1	6	17		אַבְשָׁלֽוֹם	53	HNp	11dNE
1	7	1		וַ/יִּהְי֣וּ	c/1961	HC/Vqw3mp	11xdF
1	7	2		דְבָרָ֔י/ו	1697	HNcmpc/Sp3ms	11AYg
1	7	3		עִ֚ם	5973 a	HR	11Ls9
1	7	4		יוֹאָ֣ב	3097	HNp	11Snp
1	7	5		בֶּן	1121 a	HNcmsc	1187B
1	7	6		צְרוּיָ֔ה	6870	HNp	11nLp
1	7	7		וְ/עִ֖ם	c/5973 a	HC/R	11PzC
1	7	8		אֶבְיָתָ֣ר	54	HNp	11NPq
1	7	9		הַ/כֹּהֵ֑ן	d/3548	HTd/Ncmsa	11d5m
1	7	10		וַֽ/יַּעְזְר֔וּ	c/5826	HC/Vqw3mp	11BYa
