chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַ/יְהִ֗י	c/1961	HC/Vqw3ms	10xeN
1	1	2		אַֽחֲרֵי֙	310 a	HR	10Nvk
1	1	3		מ֣וֹת	4194	HNcmsc	10TyA
1	1	4		שָׁא֔וּל	7586	HNp	10vuQ
1	1	5		וְ/דָוִ֣ד	c/1732	HC/Np	10TSc
1	1	6		שָׁ֔ב	7725	HVqp3ms	10k5P
1	1	7		מֵ/הַכּ֖וֹת	m/5221	HR/Vhc	10nPh
1	1	8		אֶת	853	HTo	10LN3
1	1	9		הָ/עֲמָלֵ֑ק	d/6002	HTd/Np	10Qzf
1	1	10		וַ/יֵּ֧שֶׁב	c/3427	HC/Vqw3ms	10aPd
1	1	11		דָּוִ֛ד	1732	HNp	10eYX
1	1	12		בְּ/צִקְלָ֖ג	b/6860	HR/Np	10C5U
1	1	13		יָמִ֥ים	3117	HNcmpa	10qNN
1	1	14		שְׁנָֽיִם	8147	HAcmda	10EVS
1	2	1		וַ/יְהִ֣י	c/1961	HC/Vqw3ms	10PB6
1	2	2		בַּ/יּ֣וֹם	b/3117	HRd/Ncmsa	1037c
1	2	3		הַ/שְּׁלִישִׁ֗י	d/7992	HTd/Aomsa	10x9c
1	2	4		וְ/הִנֵּה֩	c/2009	HC/Tm	10yNB
1	2	5		אִ֨ישׁ	376	HNcmsa	1029t
1	2	6		בָּ֤א	935	HVqp3ms	10KZG
1	2	7		מִן	4480 a	HR	10TZE
1	2	8		הַֽ/מַּחֲנֶה֙	d/4264	HTd/Ncbsa	10thY
1	2	9		מֵ/עִ֣ם	m/5973 b	HR/R	10JM7
1	2	10		שָׁא֔וּל	7586	HNp	10fpo
1	2	11		וּ/בְגָדָ֣י/ו	c/899 b	HC/Ncmpc/Sp3ms	10W26
1	2	12		קְרֻעִ֔ים	7167	HVqsmpa	10yw4
1	2	13		וַ/אֲדָמָ֖ה	c/127	HC/Ncfsa	10jbg
1	2	14		עַל	5921 a	HR	10USR
1	2	15		רֹאשׁ֑/וֹ	7218 a	HNcmsc/Sp3ms	10v6U
1	2	16		וַ/יְהִי֙	c/1961	HC/Vqw3ms	105SS
1	2	17		בְּ/בֹא֣/וֹ	b/935	HR/Vqc/Sp3ms	10GzE
1	2	18		אֶל	413	HR	10qCU
1	2	19		דָּוִ֔ד	1732	HNp	10g2y
1	2	20		וַ/יִּפֹּ֥ל	c/5307	HC/Vqw3ms	10jQb
1	2	21		אַ֖רְצָ/ה	776	HNcbsa/Sd	10794
1	2	22		וַ/יִּשְׁתָּֽחוּ	c/7812	HC/Vtw3ms	10CsU
1	3	1		וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms	10XR4
1	3	2		ל/וֹ֙	l	HR/Sp3ms	10KvS
1	3	3		דָּוִ֔ד	1732	HNp	10dBc
1	3	4		אֵ֥י	335	HTi	10nAB
1	3	5		מִ/זֶּ֖ה	m/2088	HR/Pdxms	10kfX
1	3	6		תָּב֑וֹא	935	HVqi2ms	10Wkf
1	3	7		וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms	10wrL
1	3	8		אֵלָ֔י/ו	413	HR/Sp3ms	103TL
1	3	9		מִ/מַּחֲנֵ֥ה	m/4264	HR/Ncbsc	10LeN
1	3	10		יִשְׂרָאֵ֖ל	3478	HNp	10sMn
1	3	11		נִמְלָֽטְתִּי	4422	HVNp1cs	10Y3z
1	4	1		וַ/יֹּ֨אמֶר	c/559	HC/Vqw3ms	10NQN
1	4	2		אֵלָ֥י/ו	413	HR/Sp3ms	10uLf
1	4	3		דָּוִ֛ד	1732	HNp	10kA7
1	4	4		מֶה	4100	HTi	103TS
1	4	5		הָיָ֥ה	1961	HVqp3ms	10NFp
1	4	6		הַ/דָּבָ֖ר	d/1697	HTd/Ncmsa	107am
1	4	7		הַגֶּד	5046	HVhv2ms	10hh7
1	4	8		נָ֣א	4994	HTe	10BsK
1	4	9		לִ֑/י	l	HR/Sp1cs	10fsu
1	4	10		וַ֠/יֹּאמֶר	c/559	HC/Vqw3ms	108M6
1	4	11		אֲשֶׁר	834 a	HTr	10wM5
1	4	12		נָ֨ס	5127	HVqp3ms	10qty
1	4	13		הָ/עָ֜ם	d/5971 a	HTd/Ncmsa	105gQ
1	4	14		מִן	4480 a	HR	10Xw6
1	4	15		הַ/מִּלְחָמָ֗ה	d/4421	HTd/Ncfsa	10eHJ
1	4	16		וְ/גַם	c/1571	HC/Ta	10H6L
1	4	17		הַרְבֵּ֞ה	7235 a	HVha	10bmv
1	4	18		נָפַ֤ל	5307	HVqp3ms	10FV9
1	4	19		מִן	4480 a	HR	10Xm1
1	4	20		הָ/עָם֙	d/5971 a	HTd/Ncmsa	10UE6
1	4	21		וַ/יָּמֻ֔תוּ	c/4191	HC/Vqw3mp	10goK
1	4	22		וְ/גַ֗ם	c/1571	HC/Ta	10CyH
1	4	23		שָׁא֛וּל	7586	HNp	10A4a
1	4	24		וִ/יהוֹנָתָ֥ן	c/3083	HC/Np	105Pr
1	4	25		בְּנ֖/וֹ	1121 a	HNcmsc/Sp3ms	10L4k
1	4	26		מֵֽתוּ	4191	HVqp3cp	10Mnv
1	5	1		וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms	10mwU
1	5	2		דָּוִ֔ד	1732	HNp	10tKT
1	5	3		אֶל	413	HR	10NRT
1	5	4		הַ/נַּ֖עַר	d/5288	HTd/Ncmsa	10sRU
1	5	5		הַ/מַּגִּ֣יד	d/5046	HTd/Vhrmsa	10Wxq
1	5	6		ל֑/וֹ	l	HR/Sp3ms	109qY
1	5	7		אֵ֣יךְ	349 a	HTi	10n5f
1	5	8		יָדַ֔עְתָּ	3045	HVqp2ms	10YUq
1	5	9		כִּי	3588 a	HC	10fQr
1	5	10		מֵ֥ת	4191	HVqp3ms	10L7t
1	5	11		שָׁא֖וּל	7586	HNp	10A74
1	5	12		וִ/יהֽוֹנָתָ֥ן	c/3083	HC/Np	10dNE
1	5	13		בְּנֽ/וֹ	1121 a	HNcmsc/Sp3ms	10xdF
