chapter	verse	word	type	surface	lemma	morph	id
1	1	1		דִּבְרֵ֣י	1697	HNcmpc	30xeN
1	1	2		עָמ֔וֹס	5986	HNp	30Nvk
1	1	3		אֲשֶׁר	834 a	HTr	30TyA
1	1	4		הָיָ֥ה	1961	HVqp3ms	30vuQ
1	1	5		בַ/נֹּקְדִ֖ים	b/5349	HRd/Ncmpa	30TSc
1	1	6		מִ/תְּק֑וֹעַ	m/8620	HR/Np	30k5P
1	1	7		אֲשֶׁר֩	834 a	HTr	30nPh
1	1	8		חָזָ֨ה	2372	HVqp3ms	30LN3
1	1	9		עַל	5921 a	HR	30Qzf
1	1	10		יִשְׂרָאֵ֜ל	3478	HNp	30aPd
1	1	11		בִּ/ימֵ֣י	b/3117	HR/Ncmpc	30eYX
1	1	12		עֻזִיָּ֣ה	5818	HNp	30C5U
1	1	13		מֶֽלֶךְ	4428	HNcmsc	30qNN
1	1	14		יְהוּדָ֗ה	3063	HNp	30EVS
1	1	15		וּ/בִ/ימֵ֞י	c/b/3117	HC/R/Ncmpc	30PB6
1	1	16		יָרָבְעָ֤ם	3379	HNp	3037c
1	1	17		בֶּן	1121 a	HNcmsc	30x9c
1	1	18		יוֹאָשׁ֙	3101	HNp	30yNB
1	1	19		מֶ֣לֶךְ	4428	HNcmsc	3029t
1	1	20		יִשְׂרָאֵ֔ל	3478	HNp	30KZG
1	1	21		שְׁנָתַ֖יִם	8141	HNcfda	30TZE
1	1	22		לִ/פְנֵ֥י	l/6440	HR/Ncbpc	30thY
1	1	23		הָ/רָֽעַשׁ	d/7494	HTd/Ncmsa	30JM7
1	2	1		וַ/יֹּאמַ֓ר	c/559	HC/Vqw3ms	30fpo
1	2	2		יְהוָה֙	3068	HNp	30W26
1	2	3		מִ/צִיּ֣וֹן	m/6726	HR/Np	30yw4
1	2	4		יִשְׁאָ֔ג	7580	HVqi3ms	30jbg
1	2	5		וּ/מִ/ירוּשָׁלִַ֖ם	c/m/3389	HC/R/Np	30USR
1	2	6		יִתֵּ֣ן	5414	HVqi3ms	30v6U
1	2	7		קוֹל֑/וֹ	6963 a	HNcmsc/Sp3ms	305SS
1	2	8		וְ/אָֽבְלוּ֙	c/56	HC/Vqp3cp	30GzE
1	2	9		נְא֣וֹת	4999	HNcfpc	30qCU
1	2	10		הָ/רֹעִ֔ים	d/7462 b	HTd/Vqrmpa	30g2y
1	2	11		וְ/יָבֵ֖שׁ	c/3001	HC/Vqp3ms	30jQb
1	2	12		רֹ֥אשׁ	7218 a	HNcmsc	30794
1	2	13		הַ/כַּרְמֶֽל	d/3760	HTd/Np	30CsU
1	3	1		כֹּ֚ה	3541	HD	30XR4
1	3	2		אָמַ֣ר	559	HVqp3ms	30KvS
1	3	3		יְהוָ֔ה	3068	HNp	30dBc
1	3	4		עַל	5921 a	HR	30nAB
1	3	5		שְׁלֹשָׁה֙	7969	HAcmsa	30kfX
1	3	6		פִּשְׁעֵ֣י	6588	HNcmpc	30Wkf
1	3	7		דַמֶּ֔שֶׂק	1834	HNp	30wrL
1	3	8		וְ/עַל	c/5921 a	HC/R	303TL
1	3	9		אַרְבָּעָ֖ה	702	HAcmsa	30LeN
1	3	10		לֹ֣א	3808	HTn	30sMn
1	3	11		אֲשִׁיבֶ֑/נּוּ	7725	HVhi1cs/Sp3ms	30Y3z
1	3	12		עַל	5921 a	HR	30NQN
1	3	13		דּוּשָׁ֛/ם	1758	HVqc/Sp3mp	30uLf
