chapter	verse	word	type	surface	lemma	morph	id
1	1	1		בִּ/שְׁנַ֣ת	b/8141	HR/Ncfsc	27xeN
1	1	2		שָׁל֔וֹשׁ	7969	HAcfsa	27Nvk
1	1	3		לְ/מַלְכ֖וּת	l/4438	HR/Ncfsc	27TyA
1	1	4		יְהוֹיָקִ֣ים	3079	HNp	27vuQ
1	1	5		מֶֽלֶךְ	4428	HNcmsc	27TSc
1	1	6		יְהוּדָ֑ה	3063	HNp	27k5P
1	1	7		בָּ֣א	935	HVqp3ms	27nPh
1	1	8		נְבוּכַדְנֶאצַּ֧ר	5019	HNp	27LN3
1	1	9		מֶֽלֶךְ	4428	HNcmsc	27Qzf
1	1	10		בָּבֶ֛ל	894	HNp	27aPd
1	1	11		יְרוּשָׁלִַ֖ם	3389	HNp	27eYX
1	1	12		וַ/יָּ֥צַר	c/6696 a	HC/Vqw3ms	27C5U
1	1	13		עָלֶֽי/הָ	5921 a	HR/Sp3fs	27qNN
1	2	1		וַ/יִּתֵּן֩	c/5414	HC/Vqw3ms	27EVS
1	2	2		אֲדֹנָ֨/י	136	HNcmpc/Sp1cs	27PB6
1	2	3		בְּ/יָד֜/וֹ	b/3027	HR/Ncbsc/Sp3ms	2737c
1	2	4		אֶת	853	HTo	27x9c
1	2	5		יְהוֹיָקִ֣ים	3079	HNp	27yNB
1	2	6		מֶֽלֶךְ	4428	HNcmsc	2729t
1	2	7		יְהוּדָ֗ה	3063	HNp	27KZG
1	2	8		וּ/מִ/קְצָת֙	c/m/7117	HC/R/Ncfsc	27TZE
1	2	9		כְּלֵ֣י	3627	HNcmpc	27thY
1	2	10		בֵית	1004 b	HNcmsc	27JM7
1	2	11		הָֽ/אֱלֹהִ֔ים	d/430	HTd/Ncmpa	27fpo
1	2	12		וַ/יְבִיאֵ֥/ם	c/935	HC/Vhw3ms/Sp3mp	27W26
1	2	13		אֶֽרֶץ	776	HNcbsc	27yw4
1	2	14		שִׁנְעָ֖ר	8152	HNp	27jbg
1	2	15		בֵּ֣ית	1004 b	HNcmsc	27USR
1	2	16		אֱלֹהָ֑י/ו	430	HNcmpc/Sp3ms	27v6U
1	2	17		וְ/אֶת	c/853	HC/To	275SS
1	2	18		הַ/כֵּלִ֣ים	d/3627	HTd/Ncmpa	27GzE
1	2	19		הֵבִ֔יא	935	HVhp3ms	27qCU
1	2	20		בֵּ֖ית	1004 b	HNcmsc	27g2y
1	2	21		אוֹצַ֥ר	214	HNcmsc	27jQb
1	2	22		אֱלֹהָֽי/ו	430	HNcmpc/Sp3ms	27794
1	3	1		וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms	27CsU
1	3	2		הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa	27XR4
1	3	3		לְ/אַשְׁפְּנַ֖ז	l/828	HR/Np	27KvS
1	3	4		רַ֣ב	7227 b	HNcmsc	27dBc
1	3	5		סָרִיסָ֑י/ו	5631	HNcmpc/Sp3ms	27nAB
1	3	6		לְ/הָבִ֞יא	l/935	HR/Vhc	27kfX
1	3	7		מִ/בְּנֵ֧י	m/1121 a	HR/Ncmpc	27Wkf
1	3	8		יִשְׂרָאֵ֛ל	3478	HNp	27wrL
1	3	9		וּ/מִ/זֶּ֥רַע	c/m/2233	HC/R/Ncmsc	273TL
1	3	10		הַ/מְּלוּכָ֖ה	d/4410	HTd/Ncfsa	27LeN
1	3	11		וּ/מִן	c/4480 a	HC/R	27sMn
1	3	12		הַֽ/פַּרְתְּמִֽים	d/6579	HTd/Ncmpa	27Y3z
1	4	1		יְלָדִ֣ים	3206	HNcmpa	27NQN
1	4	2		אֲשֶׁ֣ר	834 a	HTr	27uLf
1	4	3		אֵֽין	369	HTn	27kA7
1	4	4		בָּ/הֶ֣ם	b	HR/Sp3mp	273TS
1	4	5		כָּל	3605	HNcmsc	27NFp
1	4	6	x-ketiv	מאום	3971 a	HNcmsa	277am
1	4	7		מוּם֩	3971 a	HNcmsa	27hh7
1	4	8		וְ/טוֹבֵ֨י	c/2896 a	HC/Aampc	27BsK
1	4	9		מַרְאֶ֜ה	4758	HNcmsa	27fsu
1	4	10		וּ/מַשְׂכִּילִ֣ים	c/7919 a	HC/Vhrmpa	278M6
1	4	11		בְּ/כָל	b/3605	HR/Ncmsc	27wM5
1	4	12		חָכְמָ֗ה	2451	HNcfsa	27qty
1	4	13		וְ/יֹ֤דְעֵי	c/3045	HC/Vqrmpc	275gQ
1	4	14		דַ֨עַת֙	1847	HNcfsa	27Xw6
1	4	15		וּ/מְבִינֵ֣י	c/995	HC/Vhrmpc	27eHJ
1	4	16		מַדָּ֔ע	4093	HNcmsa	27H6L
1	4	17		וַ/אֲשֶׁר֙	c/834 a	HC/Tr	27bmv
1	4	18		כֹּ֣חַ	3581 b	HNcmsa	27FV9
1	4	19		בָּ/הֶ֔ם	b	HR/Sp3mp	27Xm1
1	4	20		לַ/עֲמֹ֖ד	l/5975	HR/Vqc	27UE6
1	4	21		בְּ/הֵיכַ֣ל	b/1964	HR/Ncmsc	27goK
1	4	22		הַ/מֶּ֑לֶךְ	d/4428	HTd/Ncmsa	27CyH
1	4	23		וּֽ/לֲ/לַמְּדָ֥/ם	c/l/3925	HC/R/Vpc/Sp3mp	27A4a
1	4	24		סֵ֖פֶר	5612 a	HNcmsa	275Pr
1	4	25		וּ/לְשׁ֥וֹן	c/3956	HC/Ncbsc	27L4k
1	4	26		כַּשְׂדִּֽים	3778	HNp	27Mnv
1	5	1		וַ/יְמַן֩	c/4487	HC/Vpw3ms	27mwU
1	5	2		לָ/הֶ֨ם	l	HR/Sp3mp	27tKT
1	5	3		הַ/מֶּ֜לֶךְ	d/4428	HTd/Ncmsa	27NRT
1	5	4		דְּבַר	1697	HNcmsc	27sRU
1	5	5		י֣וֹם	3117	HNcmsa	27Wxq
1	5	6		בְּ/יוֹמ֗/וֹ	b/3117	HR/Ncmsc/Sp3ms	279qY
1	5	7		מִ/פַּת	m/6598+	HR/Ncmsc	27n5f
1	5	8		בַּ֤ג	6598	HNcmsc	27YUq
1	5	9		הַ/מֶּ֨לֶךְ֙	d/4428	HTd/Ncmsa	27fQr
1	5	10		וּ/מִ/יֵּ֣ין	c/m/3196	HC/R/Ncmsc	27L7t
1	5	11		מִשְׁתָּ֔י/ו	4960	HNcmsc/Sp3ms	27A74
1	5	12		וּֽ/לְ/גַדְּלָ֖/ם	c/l/1431	HC/R/Vpc/Sp3mp	27dNE
1	5	13		שָׁנִ֣ים	8141	HNcfpa	27xdF
1	5	14		שָׁל֑וֹשׁ	7969	HAcfsa	27AYg
1	5	15		וּ/מִ֨/קְצָתָ֔/ם	c/m/7117	HC/R/Ncfsc/Sp3mp	27Ls9
1	5	16		יַֽעַמְד֖וּ	5975	HVqi3mp	27Snp
1	5	17		לִ/פְנֵ֥י	l/6440	HR/Ncbpc	2787B
1	5	18		הַ/מֶּֽלֶךְ	d/4428	HTd/Ncmsa	27nLp
1	6	1		וַ/יְהִ֥י	c/1961	HC/Vqw3ms	27PzC
1	6	2		בָ/הֶ֖ם	b	HR/Sp3mp	27NPq
1	6	3		מִ/בְּנֵ֣י	m/1121 a	HR/Ncmpc	27d5m
1	6	4		יְהוּדָ֑ה	3063	HNp	27BYa
1	6	5		דָּנִיֵּ֣אל	1840	HNp	27LJh
1	6	6		חֲנַנְיָ֔ה	2608 a	HNp	27tRR
1	6	7		מִֽישָׁאֵ֖ל	4332	HNp	27Q7E
1	6	8		וַ/עֲזַרְיָֽה	c/5838	HC/Np	27dv1
1	7	1		וַ/יָּ֧שֶׂם	c/7760 a	HC/Vqw3ms	27QwM
1	7	2		לָ/הֶ֛ם	l	HR/Sp3mp	27a62
1	7	3		שַׂ֥ר	8269	HNcmsc	27KvD
1	7	4		הַ/סָּרִיסִ֖ים	d/5631	HTd/Ncmpa	27GLz
1	7	5		שֵׁמ֑וֹת	8034	HNcmpa	27BU7
1	7	6		וַ/יָּ֨שֶׂם	c/7760 a	HC/Vqw3ms	27iy2
1	7	7		לְ/דָֽנִיֵּ֜אל	l/1840	HR/Np	27zQ2
1	7	8		בֵּ֣לְטְשַׁאצַּ֗ר	1095	HNp	27Wxx
1	7	9		וְ/לַֽ/חֲנַנְיָה֙	c/l/2608 a	HC/R/Np	27jQ8
1	7	10		שַׁדְרַ֔ךְ	7714	HNp	27Haa
1	7	11		וּ/לְ/מִֽישָׁאֵ֣ל	c/l/4332	HC/R/Np	27fJN
1	7	12		מֵישַׁ֔ךְ	4335	HNp	279KV
1	7	13		וְ/לַ/עֲזַרְיָ֖ה	c/l/5838	HC/R/Np	27F1s
1	7	14		עֲבֵ֥ד	5664+	HNp	27dns
1	7	15		נְגֽוֹ	5664	HNp	27GK3
1	8	1		וַ/יָּ֤שֶׂם	c/7760 a	HC/Vqw3ms	27nRZ
1	8	2		דָּנִיֵּאל֙	1840	HNp	27cpb
1	8	3		עַל	5921 a	HR	27zio
1	8	4		לִבּ֔/וֹ	3820 a	HNcmsc/Sp3ms	27Qsh
1	8	5		אֲשֶׁ֧ר	834 a	HTr	27zTj
1	8	6		לֹֽא	3808	HTn	27fPi
1	8	7		יִתְגָּאַ֛ל	1351	HVti3ms	27GYe
1	8	8		בְּ/פַתְבַּ֥ג	b/6598	HR/Ncmsc	27Bbz
1	8	9		הַ/מֶּ֖לֶךְ	d/4428	HTd/Ncmsa	27VA9
1	8	10		וּ/בְ/יֵ֣ין	c/b/3196	HC/R/Ncmsc	27fV3
1	8	11		מִשְׁתָּ֑י/ו	4960	HNcmsc/Sp3ms	27Sov
1	8	12		וַ/יְבַקֵּשׁ֙	c/1245	HC/Vpw3ms	27V27
1	8	13		מִ/שַּׂ֣ר	m/8269	HR/Ncmsc	27ifp
1	8	14		הַ/סָּרִיסִ֔ים	d/5631	HTd/Ncmpa	277ZG
1	8	15		אֲשֶׁ֖ר	834 a	HTr	27B2d
1	8	16		לֹ֥א	3808	HTn	27ewe
1	8	17		יִתְגָּאָֽל	1351	HVti3ms	27SV6
1	9	1		וַ/יִּתֵּ֤ן	c/5414	HC/Vqw3ms	27G83
1	9	2		הָֽ/אֱלֹהִים֙	d/430	HTd/Ncmpa	27vzS
1	9	3		אֶת	853	HTo	27Gq9
1	9	4		דָּ֣נִיֵּ֔אל	1840	HNp	273y8
1	9	5		לְ/חֶ֖סֶד	l/2617 a	HR/Ncmsa	27TXw
1	9	6		וּֽ/לְ/רַחֲמִ֑ים	c/l/7356 b	HC/R/Ncmpa	27Y4K
1	9	7		לִ/פְנֵ֖י	l/6440	HR/Ncbpc	27C32
1	9	8		שַׂ֥ר	8269	HNcmsc	27aMT
1	9	9		הַ/סָּרִיסִֽים	d/5631	HTd/Ncmpa	27Cof
1	10	1		וַ/יֹּ֜אמֶר	c/559	HC/Vqw3ms	27YWU
1	10	2		שַׂ֤ר	8269	HNcmsc	27rAQ
1	10	3		הַ/סָּרִיסִים֙	d/5631	HTd/Ncmpa	27fLi
1	10	4		לְ/דָ֣נִיֵּ֔אל	l/1840	HR/Np	27Ptj
1	10	5		יָרֵ֤א	3373	HVqrmsa	27AJj
1	10	6		אֲנִי֙	589	HPp1cs	279Hv
1	10	7		אֶת	853	HTo	27j1i
1	10	8		אֲדֹנִ֣/י	113	HNcmsc/Sp1cs	27J9J
1	10	9		הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa	27U4n
1	10	10		אֲשֶׁ֣ר	834 a	HTr	272Kt
1	10	11		מִנָּ֔ה	4487	HVpp3ms	27RmH
1	10	12		אֶת	853	HTo	27SWL
