chapter	verse	word	type	surface	lemma	morph	id
1	1	1		אֵ֣לֶּה	428	HPdxcp	05xeN
1	1	2		הַ/דְּבָרִ֗ים	d/1697	HTd/Ncmpa	05Nvk
1	1	3		אֲשֶׁ֨ר	834 a	HTr	05TyA
1	1	4		דִּבֶּ֤ר	1696	HVpp3ms	05vuQ
1	1	5		מֹשֶׁה֙	4872	HNp	05TSc
1	1	6		אֶל	413	HR	05k5P
1	1	7		כָּל	3605	HNcmsc	05nPh
1	1	8		יִשְׂרָאֵ֔ל	3478	HNp	05LN3
1	1	9		בְּ/עֵ֖בֶר	b/5676	HR/Ncmsc	05Qzf
1	1	10		הַ/יַּרְדֵּ֑ן	d/3383	HTd/Np	05aPd
1	1	11		בַּ/מִּדְבָּ֡ר	b/4057 b	HRd/Ncmsa	05eYX
1	1	12		בָּֽ/עֲרָבָה֩	b/6160	HRd/Ncfsa	05C5U
1	1	13		מ֨וֹל	4136	HR	05qNN
1	1	14		ס֜וּף	5489	HNp	05EVS
1	1	15		בֵּֽין	996	HR	05PB6
1	1	16		פָּארָ֧ן	6290	HNp	0537c
1	1	17		וּ/בֵֽין	c/996	HC/R	05x9c
1	1	18		תֹּ֛פֶל	8603	HNp	05yNB
1	1	19		וְ/לָבָ֥ן	c/3837 b	HC/Np	0529t
1	1	20		וַ/חֲצֵרֹ֖ת	c/2698	HC/Np	05KZG
1	1	21		וְ/דִ֥י	c/1774+	HC/Np	05TZE
1	1	22		זָהָֽב	1774	HNp	05thY
1	2	1		אַחַ֨ד	259	HAcmsa	05JM7
1	2	2		עָשָׂ֥ר	6240	HAcmsa	05fpo
1	2	3		יוֹם֙	3117	HNcmsa	05W26
1	2	4		מֵֽ/חֹרֵ֔ב	m/2722	HR/Np	05yw4
1	2	5		דֶּ֖רֶךְ	1870	HNcbsc	05jbg
1	2	6		הַר	2022	HNcmsc	05USR
1	2	7		שֵׂעִ֑יר	8165 a	HNp	05v6U
1	2	8		עַ֖ד	5704	HR	055SS
1	2	9		קָדֵ֥שׁ	6947+	HNp	05GzE
1	2	10		בַּרְנֵֽעַ	6947	HNp	05qCU
1	3	1		וַ/יְהִי֙	c/1961	HC/Vqw3ms	05g2y
1	3	2		בְּ/אַרְבָּעִ֣ים	b/705	HR/Acbpa	05jQb
1	3	3		שָׁנָ֔ה	8141	HNcfsa	05794
1	3	4		בְּ/עַשְׁתֵּֽי	b/6249	HR/Acbsc	05CsU
1	3	5		עָשָׂ֥ר	6240	HAcmsa	05XR4
1	3	6		חֹ֖דֶשׁ	2320	HNcmsa	05KvS
1	3	7		בְּ/אֶחָ֣ד	b/259	HR/Acmsa	05dBc
1	3	8		לַ/חֹ֑דֶשׁ	l/2320	HRd/Ncmsa	05nAB
1	3	9		דִּבֶּ֤ר	1696	HVpp3ms	05kfX
1	3	10		מֹשֶׁה֙	4872	HNp	05Wkf
1	3	11		אֶל	413	HR	05wrL
1	3	12		בְּנֵ֣י	1121 a	HNcmpc	053TL
1	3	13		יִשְׂרָאֵ֔ל	3478	HNp	05LeN
1	3	14		כְּ֠/כֹל	k/3605	HR/Ncmsa	05sMn
1	3	15		אֲשֶׁ֨ר	834 a	HTr	05Y3z
1	3	16		צִוָּ֧ה	6680	HVpp3ms	05NQN
1	3	17		יְהוָ֛ה	3068	HNp	05uLf
1	3	18		אֹת֖/וֹ	853	HTo/Sp3ms	05kA7
1	3	19		אֲלֵ/הֶֽם	413	HR/Sp3mp	053TS
1	4	1		אַחֲרֵ֣י	310 a	HR	05NFp
1	4	2		הַכֹּת֗/וֹ	5221	HVhc/Sp3ms	057am
1	4	3		אֵ֚ת	853	HTo	05hh7
1	4	4		סִיחֹן֙	5511	HNp	05BsK
1	4	5		מֶ֣לֶךְ	4428	HNcmsc	05fsu
1	4	6		הָֽ/אֱמֹרִ֔י	d/567	HTd/Ngmsa	058M6
1	4	7		אֲשֶׁ֥ר	834 a	HTr	05wM5
1	4	8		יוֹשֵׁ֖ב	3427	HVqrmsa	05qty
1	4	9		בְּ/חֶשְׁבּ֑וֹן	b/2809	HR/Np	055gQ
1	4	10		וְ/אֵ֗ת	c/853	HC/To	05Xw6
1	4	11		ע֚וֹג	5747	HNp	05eHJ
1	4	12		מֶ֣לֶךְ	4428	HNcmsc	05H6L
1	4	13		הַ/בָּשָׁ֔ן	d/1316	HTd/Np	05bmv
1	4	14		אֲשֶׁר	834 a	HTr	05FV9
1	4	15		יוֹשֵׁ֥ב	3427	HVqrmsa	05Xm1
1	4	16		בְּ/עַשְׁתָּרֹ֖ת	b/6252	HR/Np	05UE6
1	4	17		בְּ/אֶדְרֶֽעִי	b/154	HR/Np	05goK
1	5	1		בְּ/עֵ֥בֶר	b/5676	HR/Ncmsc	05CyH
1	5	2		הַ/יַּרְדֵּ֖ן	d/3383	HTd/Np	05A4a
1	5	3		בְּ/אֶ֣רֶץ	b/776	HR/Ncbsc	055Pr
1	5	4		מוֹאָ֑ב	4124	HNp	05L4k
1	5	5		הוֹאִ֣יל	2974	HVhp3ms	05Mnv
1	5	6		מֹשֶׁ֔ה	4872	HNp	05mwU
1	5	7		בֵּאֵ֛ר	874	HVpp3ms	05tKT
1	5	8		אֶת	853	HTo	05NRT
1	5	9		הַ/תּוֹרָ֥ה	d/8451	HTd/Ncfsa	05sRU
1	5	10		הַ/זֹּ֖את	d/2063	HTd/Pdxfs	05Wxq
1	5	11		לֵ/אמֹֽר	l/559	HR/Vqc	059qY
1	6	1		יְהוָ֧ה	3068	HNp	05n5f
1	6	2		אֱלֹהֵ֛י/נוּ	430	HNcmpc/Sp1cp	05YUq
1	6	3		דִּבֶּ֥ר	1696	HVpp3ms	05fQr
1	6	4		אֵלֵ֖י/נוּ	413	HR/Sp1cp	05L7t
1	6	5		בְּ/חֹרֵ֣ב	b/2722	HR/Np	05A74
1	6	6		לֵ/אמֹ֑ר	l/559	HR/Vqc	05dNE
1	6	7		רַב	7227 a	HAamsc	05xdF
1	6	8		לָ/כֶ֥ם	l	HR/Sp2mp	05AYg
1	6	9		שֶׁ֖בֶת	3427	HVqc	05Ls9
1	6	10		בָּ/הָ֥ר	b/2022	HRd/Ncmsa	05Snp
1	6	11		הַ/זֶּֽה	d/2088	HTd/Pdxms	0587B
1	7	1		פְּנ֣וּ	6437	HVqv2mp	05nLp
1	7	2		וּ/סְע֣וּ	c/5265	HC/Vqv2mp	05PzC
1	7	3		לָ/כֶ֗ם	l	HR/Sp2mp	05NPq
1	7	4		וּ/בֹ֨אוּ	c/935	HC/Vqv2mp	05d5m
1	7	5		הַ֥ר	2022	HNcmsc	05BYa
1	7	6		הָֽ/אֱמֹרִי֮	d/567	HTd/Ngmsa	05LJh
1	7	7		וְ/אֶל	c/413	HC/R	05tRR
1	7	8		כָּל	3605	HNcmsc	05Q7E
1	7	9		שְׁכֵנָי/ו֒	7934	HAampc/Sp3ms	05dv1
1	7	10		בָּ/עֲרָבָ֥ה	b/6160	HRd/Ncfsa	05QwM
1	7	11		בָ/הָ֛ר	b/2022	HRd/Ncmsa	05a62
1	7	12		וּ/בַ/שְּׁפֵלָ֥ה	c/b/8219	HC/Rd/Ncfsa	05KvD
1	7	13		וּ/בַ/נֶּ֖גֶב	c/b/5045	HC/Rd/Ncmsa	05GLz
1	7	14		וּ/בְ/ח֣וֹף	c/b/2348	HC/R/Ncmsc	05BU7
1	7	15		הַ/יָּ֑ם	d/3220	HTd/Ncmsa	05iy2
1	7	16		אֶ֤רֶץ	776	HNcbsc	05zQ2
1	7	17		הַֽ/כְּנַעֲנִי֙	d/3669 a	HTd/Ngmsa	05Wxx
1	7	18		וְ/הַ/לְּבָנ֔וֹן	c/d/3844	HC/Td/Np	05jQ8
