chapter	verse	word	type	surface	lemma	morph	id
1	1	1		דִּבְרֵי֙	1697	HNcmpc	21xeN
1	1	2		קֹהֶ֣לֶת	6953	HNcmsa	21Nvk
1	1	3		בֶּן	1121 a	HNcmsc	21TyA
1	1	4		דָּוִ֔ד	1732	HNp	21vuQ
1	1	5		מֶ֖לֶךְ	4428	HNcmsa	21TSc
1	1	6		בִּ/ירוּשָׁלִָֽם	b/3389	HR/Np	21k5P
1	2	1		הֲבֵ֤ל	1892	HNcmsc	21nPh
1	2	2		הֲבָלִים֙	1892	HNcmpa	21LN3
1	2	3		אָמַ֣ר	559	HVqp3ms	21Qzf
1	2	4		קֹהֶ֔לֶת	6953	HNcmsa	21aPd
1	2	5		הֲבֵ֥ל	1892	HNcmsc	21eYX
1	2	6		הֲבָלִ֖ים	1892	HNcmpa	21C5U
1	2	7		הַ/כֹּ֥ל	d/3605	HTd/Ncmsa	21qNN
1	2	8		הָֽבֶל	1892	HNcmsa	21EVS
1	3	1		מַה	4100	HTi	21PB6
1	3	2		יִּתְר֖וֹן	3504	HNcmsa	2137c
1	3	3		לָֽ/אָדָ֑ם	l/120	HRd/Ncmsa	21x9c
1	3	4		בְּ/כָל	b/3605	HR/Ncmsc	21yNB
1	3	5		עֲמָל֔/וֹ	5999	HNcbsc/Sp3ms	2129t
1	3	6		שֶֽׁ/יַּעֲמֹ֖ל	s/5998	HTr/Vqi3ms	21KZG
1	3	7		תַּ֥חַת	8478	HR	21TZE
1	3	8		הַ/שָּֽׁמֶשׁ	d/8121	HTd/Ncbsa	21thY
1	4	1		דּ֤וֹר	1755	HNcmsa	21JM7
1	4	2		הֹלֵךְ֙	1980	HVqrmsa	21fpo
1	4	3		וְ/ד֣וֹר	c/1755	HC/Ncmsa	21W26
1	4	4		בָּ֔א	935	HVqrmsa	21yw4
1	4	5		וְ/הָ/אָ֖רֶץ	c/d/776	HC/Td/Ncbsa	21jbg
1	4	6		לְ/עוֹלָ֥ם	l/5769	HR/Ncmsa	21USR
1	4	7		עֹמָֽדֶת	5975	HVqrfsa	21v6U
1	5	1		וְ/זָרַ֥ח	c/2224	HC/Vqq3ms	215SS
1	5	2		הַ/שֶּׁ֖מֶשׁ	d/8121	HTd/Ncbsa	21GzE
1	5	3		וּ/בָ֣א	c/935	HC/Vqq3ms	21qCU
1	5	4		הַ/שָּׁ֑מֶשׁ	d/8121	HTd/Ncbsa	21g2y
1	5	5		וְ/אֶ֨ל	c/413	HC/R	21jQb
1	5	6		מְקוֹמ֔/וֹ	4725	HNcmsc/Sp3ms	21794
1	5	7		שׁוֹאֵ֛ף	7602 a	HVqrmsa	21CsU
1	5	8		זוֹרֵ֥חַֽ	2224	HVqrmsa	21XR4
1	5	9		ה֖וּא	1931	HPp3ms	21KvS
1	5	10		שָֽׁם	8033	HD	21dBc
1	6	1		הוֹלֵךְ֙	1980	HVqrmsa	21nAB
1	6	2		אֶל	413	HR	21kfX
1	6	3		דָּר֔וֹם	1864	HNcmsa	21Wkf
1	6	4		וְ/סוֹבֵ֖ב	c/5437	HC/Vqrmsa	21wrL
1	6	5		אֶל	413	HR	213TL
1	6	6		צָפ֑וֹן	6828	HNcfsa	21LeN
1	6	7		סוֹבֵ֤ב	5437	HVqrmsa	21sMn
1	6	8		סֹבֵב֙	5437	HVqrmsa	21Y3z
1	6	9		הוֹלֵ֣ךְ	1980	HVqrmsa	21NQN
1	6	10		הָ/ר֔וּחַ	d/7307	HTd/Ncbsa	21uLf
1	6	11		וְ/עַל	c/5921 a	HC/R	21kA7
1	6	12		סְבִיבֹתָ֖י/ו	5439	HNcbpc/Sp3ms	213TS
1	6	13		שָׁ֥ב	7725	HVqrmsa	21NFp
1	6	14		הָ/רֽוּחַ	d/7307	HTd/Ncbsa	217am
1	7	1		כָּל	3605	HNcmsc	21hh7
1	7	2		הַ/נְּחָלִים֙	d/5158 a	HTd/Ncmpa	21BsK
1	7	3		הֹלְכִ֣ים	1980	HVqrmpa	21fsu
1	7	4		אֶל	413	HR	218M6
1	7	5		הַ/יָּ֔ם	d/3220	HTd/Ncmsa	21wM5
1	7	6		וְ/הַ/יָּ֖ם	c/d/3220	HC/Td/Ncmsa	21qty
1	7	7		אֵינֶ֣/נּוּ	369	HTn/Sp3ms	215gQ
1	7	8		מָלֵ֑א	4392	HAamsa	21Xw6
1	7	9		אֶל	413	HR	21eHJ
1	7	10		מְק֗וֹם	4725	HNcmsc	21H6L
1	7	11		שֶׁ֤/הַ/נְּחָלִים֙	s/d/5158 a	HTr/Td/Ncmpa	21bmv
1	7	12		הֹֽלְכִ֔ים	1980	HVqrmpa	21FV9
1	7	13		שָׁ֛ם	8033	HD	21Xm1
1	7	14		הֵ֥ם	1992	HPp3mp	21UE6
1	7	15		שָׁבִ֖ים	7725	HVqrmpa	21goK
1	7	16		לָ/לָֽכֶת	l/3212	HR/Vqc	21CyH
1	8	1		כָּל	3605	HNcmsc	21A4a
1	8	2		הַ/דְּבָרִ֣ים	d/1697	HTd/Ncmpa	215Pr
1	8	3		יְגֵעִ֔ים	3023	HAampa	21L4k
1	8	4		לֹא	3808	HTn	21Mnv
1	8	5		יוּכַ֥ל	3201	HVqi3ms	21mwU
1	8	6		אִ֖ישׁ	376	HNcmsa	21tKT
1	8	7		לְ/דַבֵּ֑ר	l/1696	HR/Vpc	21NRT
1	8	8		לֹא	3808	HTn	21sRU
1	8	9		תִשְׂבַּ֥ע	7646	HVqi3fs	21Wxq
1	8	10		עַ֨יִן֙	5869 a	HNcbsa	219qY
1	8	11		לִ/רְא֔וֹת	l/7200	HR/Vqc	21n5f
1	8	12		וְ/לֹא	c/3808	HC/Tn	21YUq
1	8	13		תִמָּלֵ֥א	4390	HVNi3fs	21fQr
1	8	14		אֹ֖זֶן	241	HNcfsa	21L7t
1	8	15		מִ/שְּׁמֹֽעַ	m/8085	HR/Vqc	21A74
1	9	1		מַה	4100	HTi	21dNE
1	9	2		שֶּֽׁ/הָיָה֙	s/1961	HTr/Vqp3ms	21xdF
1	9	3		ה֣וּא	1931	HPp3ms	21AYg
1	9	4		שֶׁ/יִּהְיֶ֔ה	s/1961	HTr/Vqi3ms	21Ls9
1	9	5		וּ/מַה	c/4100	HC/Ti	21Snp
1	9	6		שֶׁ/נַּֽעֲשָׂ֔ה	s/6213 a	HTr/VNp3ms	2187B
1	9	7		ה֖וּא	1931	HPp3ms	21nLp
1	9	8		שֶׁ/יֵּעָשֶׂ֑ה	s/6213 a	HTr/VNi3ms	21PzC
1	9	9		וְ/אֵ֥ין	c/369	HC/Tn	21NPq
1	9	10		כָּל	3605	HNcmsc	21d5m
1	9	11		חָדָ֖שׁ	2319	HAamsa	21BYa
1	9	12		תַּ֥חַת	8478	HR	21LJh
1	9	13		הַ/שָּֽׁמֶשׁ	d/8121	HTd/Ncbsa	21tRR
1	10	1		יֵ֥שׁ	3426	HTm	21Q7E
1	10	2		דָּבָ֛ר	1697	HNcmsa	21dv1
1	10	3		שֶׁ/יֹּאמַ֥ר	s/559	HTr/Vqi3ms	21QwM
1	10	4		רְאֵה	7200	HVqv2ms	21a62
1	10	5		זֶ֖ה	2088	HPdxms	21KvD
1	10	6		חָדָ֣שׁ	2319	HAamsa	21GLz
1	10	7		ה֑וּא	1931	HPp3ms	21BU7
1	10	8		כְּבָר֙	3528	HD	21iy2
1	10	9		הָיָ֣ה	1961	HVqp3ms	21zQ2
1	10	10		לְ/עֹֽלָמִ֔ים	l/5769	HR/Ncmpa	21Wxx
1	10	11		אֲשֶׁ֥ר	834 a	HTr	21jQ8
1	10	12		הָיָ֖ה	1961	HVqp3ms	21Haa
1	10	13		מִ/לְּ/פָנֵֽ/נוּ	m/l/6440	HR/R/Ncbpc/Sp1cp	21fJN
1	11	1		אֵ֥ין	369	HTn	219KV
1	11	2		זִכְר֖וֹן	2146	HNcmsc	21F1s
1	11	3		לָ/רִאשֹׁנִ֑ים	l/7223	HRd/Aompa	21dns
1	11	4		וְ/גַ֨ם	c/1571	HC/Ta	21GK3
1	11	5		לָ/אַחֲרֹנִ֜ים	l/314	HRd/Aampa	21nRZ
1	11	6		שֶׁ/יִּהְי֗וּ	s/1961	HTr/Vqi3mp	21cpb
1	11	7		לֹֽא	3808	HTn	21zio
1	11	8		יִהְיֶ֤ה	1961	HVqi3ms	21Qsh
1	11	9		לָ/הֶם֙	l	HR/Sp3mp	21zTj
1	11	10		זִכָּר֔וֹן	2146	HNcmsa	21fPi
1	11	11		עִ֥ם	5973 a	HR	21GYe
1	11	12		שֶׁ/יִּהְי֖וּ	s/1961	HTr/Vqi3mp	21Bbz
1	11	13		לָ/אַחֲרֹנָֽה	l/314	HRd/Aafsa	21VA9
1	12	1		אֲנִ֣י	589	HPp1cs	21fV3
1	12	2		קֹהֶ֗לֶת	6953	HNcmsa	21Sov
1	12	3		הָיִ֥יתִי	1961	HVqp1cs	21V27
1	12	4		מֶ֛לֶךְ	4428	HNcmsa	21ifp
1	12	5		עַל	5921 a	HR	217ZG
1	12	6		יִשְׂרָאֵ֖ל	3478	HNp	21B2d
1	12	7		בִּ/ירוּשָׁלִָֽם	b/3389	HR/Np	21ewe
1	13	1		וְ/נָתַ֣תִּי	c/5414	HC/Vqp1cs	21SV6
1	13	2		אֶת	853	HTo	21G83
1	13	3		לִבִּ֗/י	3820 a	HNcmsc/Sp1cs	21vzS
1	13	4		לִ/דְר֤וֹשׁ	l/1875	HR/Vqc	21Gq9
1	13	5		וְ/לָ/תוּר֙	c/l/8446	HC/R/Vqc	213y8
1	13	6		בַּֽ/חָכְמָ֔ה	b/2451	HRd/Ncfsa	21TXw
1	13	7		עַ֛ל	5921 a	HR	21Y4K
1	13	8		כָּל	3605	HNcmsa	21C32
1	13	9		אֲשֶׁ֥ר	834 a	HTr	21aMT
1	13	10		נַעֲשָׂ֖ה	6213 a	HVNp3ms	21Cof
1	13	11		תַּ֣חַת	8478	HR	21YWU
1	13	12		הַ/שָּׁמָ֑יִם	d/8064	HTd/Ncmpa	21rAQ
1	13	13		ה֣וּא	1931	HPp3ms	21fLi
1	13	14		עִנְיַ֣ן	6045	HNcmsa	21Ptj
1	13	15		רָ֗ע	7451 a	HAamsa	21AJj
1	13	16		נָתַ֧ן	5414	HVqp3ms	219Hv
1	13	17		אֱלֹהִ֛ים	430	HNcmpa	21j1i
1	13	18		לִ/בְנֵ֥י	l/1121 a	HR/Ncmpc	21J9J
1	13	19		הָ/אָדָ֖ם	d/120	HTd/Ncmsa	21U4n
1	13	20		לַ/עֲנ֥וֹת	l/6031 a	HR/Vqc	212Kt
1	13	21		בּֽ/וֹ	b	HR/Sp3ms	21RmH
1	14	1		רָאִ֨יתִי֙	7200	HVqp1cs	21SWL
