chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַ/יְהִ֖י	c/1961	HC/Vqw3ms	17xeN
1	1	2		בִּ/ימֵ֣י	b/3117	HR/Ncmpc	17Nvk
1	1	3		אֲחַשְׁוֵר֑וֹשׁ	325	HNp	17TyA
1	1	4		ה֣וּא	1931	HPp3ms	17vuQ
1	1	5		אֲחַשְׁוֵר֗וֹשׁ	325	HNp	17TSc
1	1	6		הַ/מֹּלֵךְ֙	d/4427 a	HTd/Vqrmsa	17k5P
1	1	7		מֵ/הֹ֣דּוּ	m/1912	HR/Np	17nPh
1	1	8		וְ/עַד	c/5704	HC/R	17LN3
1	1	9		כּ֔וּשׁ	3568 a	HNp	17Qzf
1	1	10		שֶׁ֛בַע	7651	HAcfsa	17aPd
1	1	11		וְ/עֶשְׂרִ֥ים	c/6242	HC/Acbpa	17eYX
1	1	12		וּ/מֵאָ֖ה	c/3967	HC/Acbsa	17C5U
1	1	13		מְדִינָֽה	4082	HNcfsa	17qNN
1	2	1		בַּ/יָּמִ֖ים	b/3117	HRd/Ncmpa	17EVS
1	2	2		הָ/הֵ֑ם	d/1992	HTd/Pp3mp	17PB6
1	2	3		כְּ/שֶׁ֣בֶת	k/3427	HR/Vqc	1737c
1	2	4		הַ/מֶּ֣לֶךְ	d/4428	HTd/Ncmsa	17x9c
1	2	5		אֲחַשְׁוֵר֗וֹשׁ	325	HNp	17yNB
1	2	6		עַ֚ל	5921 a	HR	1729t
1	2	7		כִּסֵּ֣א	3678	HNcmsc	17KZG
1	2	8		מַלְכוּת֔/וֹ	4438	HNcfsc/Sp3ms	17TZE
1	2	9		אֲשֶׁ֖ר	834 a	HTr	17thY
1	2	10		בְּ/שׁוּשַׁ֥ן	b/7800	HR/Np	17JM7
1	2	11		הַ/בִּירָֽה	d/1002	HTd/Ncfsa	17fpo
1	3	1		בִּ/שְׁנַ֤ת	b/8141	HR/Ncfsc	17W26
1	3	2		שָׁלוֹשׁ֙	7969	HAcfsa	17yw4
1	3	3		לְ/מָלְכ֔/וֹ	l/4427 a	HR/Vqc/Sp3ms	17jbg
1	3	4		עָשָׂ֣ה	6213 a	HVqp3ms	17USR
1	3	5		מִשְׁתֶּ֔ה	4960	HNcmsa	17v6U
1	3	6		לְ/כָל	l/3605	HR/Ncmsc	175SS
1	3	7		שָׂרָ֖י/ו	8269	HNcmpc/Sp3ms	17GzE
1	3	8		וַ/עֲבָדָ֑י/ו	c/5650	HC/Ncmpc/Sp3ms	17qCU
1	3	9		חֵ֣יל	2428	HNcmsc	17g2y
1	3	10		פָּרַ֣ס	6539	HNp	17jQb
1	3	11		וּ/מָדַ֗י	c/4074	HC/Np	17794
1	3	12		הַֽ/פַּרְתְּמִ֛ים	d/6579	HTd/Ncmpa	17CsU
1	3	13		וְ/שָׂרֵ֥י	c/8269	HC/Ncmpc	17XR4
1	3	14		הַ/מְּדִינ֖וֹת	d/4082	HTd/Ncfpa	17KvS
1	3	15		לְ/פָנָֽי/ו	l/6440	HR/Ncbpc/Sp3ms	17dBc
1	4	1		בְּ/הַרְאֹת֗/וֹ	b/7200	HR/Vhc/Sp3ms	17nAB
1	4	2		אֶת	853	HTo	17kfX
1	4	3		עֹ֨שֶׁר֙	6239	HNcmsc	17Wkf
1	4	4		כְּב֣וֹד	3519	HNcbsc	17wrL
1	4	5		מַלְכוּת֔/וֹ	4438	HNcfsc/Sp3ms	173TL
1	4	6		וְ/אֶ֨ת	c/853	HC/To	17LeN
1	4	7		יְקָ֔ר	3366	HNcmsc	17sMn
1	4	8		תִּפְאֶ֖רֶת	8597	HNcfsc	17Y3z
1	4	9		גְּדוּלָּת֑/וֹ	1420	HNcfsc/Sp3ms	17NQN
1	4	10		יָמִ֣ים	3117	HNcmpa	17uLf
1	4	11		רַבִּ֔ים	7227 a	HAampa	17kA7
1	4	12		שְׁמוֹנִ֥ים	8084	HAcbpa	173TS
1	4	13		וּ/מְאַ֖ת	c/3967	HC/Acbsc	17NFp
