chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וְ/אֵ֗לֶּה	c/428	HC/Pdxcp	02xeN
1	1	2		שְׁמוֹת֙	8034	HNcmpc	02Nvk
1	1	3		בְּנֵ֣י	1121 a	HNcmpc	02TyA
1	1	4		יִשְׂרָאֵ֔ל	3478	HNp	02vuQ
1	1	5		הַ/בָּאִ֖ים	d/935	HTd/Vqrmpa	02TSc
1	1	6		מִצְרָ֑יְמָ/ה	4714	HNp/Sd	02k5P
1	1	7		אֵ֣ת	854	HR	02nPh
1	1	8		יַעֲקֹ֔ב	3290	HNp	02LN3
1	1	9		אִ֥ישׁ	376	HNcmsa	02Qzf
1	1	10		וּ/בֵית֖/וֹ	c/1004 b	HC/Ncmsc/Sp3ms	02aPd
1	1	11		בָּֽאוּ	935	HVqp3cp	02eYX
1	2	1		רְאוּבֵ֣ן	7205	HNp	02C5U
1	2	2		שִׁמְע֔וֹן	8095	HNp	02qNN
1	2	3		לֵוִ֖י	3878	HNp	02EVS
1	2	4		וִ/יהוּדָֽה	c/3063	HC/Np	02PB6
1	3	1		יִשָּׂשכָ֥ר	3485	HNp	0237c
1	3	2		זְבוּלֻ֖ן	2074	HNp	02x9c
1	3	3		וּ/בְנְיָמִֽן	c/1144	HC/Np	02yNB
1	4	1		דָּ֥ן	1835	HNp	0229t
1	4	2		וְ/נַפְתָּלִ֖י	c/5321	HC/Np	02KZG
1	4	3		גָּ֥ד	1410	HNp	02TZE
1	4	4		וְ/אָשֵֽׁר	c/836	HC/Np	02thY
1	5	1		וַֽ/יְהִ֗י	c/1961	HC/Vqw3ms	02JM7
1	5	2		כָּל	3605	HNcmsc	02fpo
1	5	3		נֶ֛פֶשׁ	5315	HNcbsc	02W26
1	5	4		יֹצְאֵ֥י	3318	HVqrmpc	02yw4
1	5	5		יֶֽרֶךְ	3409	HNcfsc	02jbg
1	5	6		יַעֲקֹ֖ב	3290	HNp	02USR
1	5	7		שִׁבְעִ֣ים	7657	HAcbpa	02v6U
1	5	8		נָ֑פֶשׁ	5315	HNcbsa	025SS
1	5	9		וְ/יוֹסֵ֖ף	c/3130	HC/Np	02GzE
1	5	10		הָיָ֥ה	1961	HVqp3ms	02qCU
1	5	11		בְ/מִצְרָֽיִם	b/4714	HR/Np	02g2y
1	6	1		וַ/יָּ֤מָת	c/4191	HC/Vqw3ms	02jQb
1	6	2		יוֹסֵף֙	3130	HNp	02794
1	6	3		וְ/כָל	c/3605	HC/Ncmsc	02CsU
1	6	4		אֶחָ֔י/ו	251	HNcmpc/Sp3ms	02XR4
1	6	5		וְ/כֹ֖ל	c/3605	HC/Ncmsc	02KvS
1	6	6		הַ/דּ֥וֹר	d/1755	HTd/Ncmsa	02dBc
1	6	7		הַ/הֽוּא	d/1931	HTd/Pp3ms	02nAB
1	7	1		וּ/בְנֵ֣י	c/1121 a	HC/Ncmpc	02kfX
1	7	2		יִשְׂרָאֵ֗ל	3478	HNp	02Wkf
1	7	3		פָּר֧וּ	6509	HVqp3cp	02wrL
