chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַ/יְהִ֣י	c/1961	HC/Vqw3ms	26xeN
1	1	2		בִּ/שְׁלֹשִׁ֣ים	b/7970	HR/Acbpa	26Nvk
1	1	3		שָׁנָ֗ה	8141	HNcfsa	26TyA
1	1	4		בָּֽ/רְבִיעִי֙	b/7243	HRd/Aomsa	26vuQ
1	1	5		בַּ/חֲמִשָּׁ֣ה	b/2568	HR/Acmsa	26TSc
1	1	6		לַ/חֹ֔דֶשׁ	l/2320	HRd/Ncmsa	26k5P
1	1	7		וַ/אֲנִ֥י	c/589	HC/Pp1cs	26nPh
1	1	8		בְ/תֽוֹךְ	b/8432	HR/Ncmsc	26LN3
1	1	9		הַ/גּוֹלָ֖ה	d/1473	HTd/Ncfsa	26Qzf
1	1	10		עַל	5921 a	HR	26aPd
1	1	11		נְהַר	5104	HNcmsc	26eYX
1	1	12		כְּבָ֑ר	3529	HNp	26C5U
1	1	13		נִפְתְּחוּ֙	6605 a	HVNp3cp	26qNN
1	1	14		הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa	26EVS
1	1	15		וָ/אֶרְאֶ֖ה	c/7200	HC/Vqw1cs	26PB6
1	1	16		מַרְא֥וֹת	4759 a	HNcfpc	2637c
1	1	17		אֱלֹהִֽים	430	HNcmpa	26x9c
1	2	1		בַּ/חֲמִשָּׁ֖ה	b/2568	HR/Acmsa	26yNB
1	2	2		לַ/חֹ֑דֶשׁ	l/2320	HRd/Ncmsa	2629t
1	2	3		הִ֚יא	1931	HPp3fs	26KZG
1	2	4		הַ/שָּׁנָ֣ה	d/8141	HTd/Ncfsa	26TZE
1	2	5		הַ/חֲמִישִׁ֔ית	d/2549	HTd/Aofsa	26thY
1	2	6		לְ/גָל֖וּת	l/1546	HR/Ncfsc	26JM7
1	2	7		הַ/מֶּ֥לֶךְ	d/4428	HTd/Ncmsa	26fpo
1	2	8		יוֹיָכִֽין	3112	HNp	26W26
1	3	1		הָיֹ֣ה	1961	HVqa	26yw4
1	3	2		הָיָ֣ה	1961	HVqp3ms	26jbg
1	3	3		דְבַר	1697	HNcmsc	26USR
1	3	4		יְ֠הוָה	3068	HNp	26v6U
1	3	5		אֶל	413	HR	265SS
1	3	6		יְחֶזְקֵ֨אל	3168	HNp	26GzE
1	3	7		בֶּן	1121 a	HNcmsc	26qCU
1	3	8		בּוּזִ֧י	941	HNp	26g2y
1	3	9		הַ/כֹּהֵ֛ן	d/3548	HTd/Ncmsa	26jQb
1	3	10		בְּ/אֶ֥רֶץ	b/776	HR/Ncbsc	26794
1	3	11		כַּשְׂדִּ֖ים	3778	HNp	26CsU
1	3	12		עַל	5921 a	HR	26XR4
1	3	13		נְהַר	5104	HNcmsc	26KvS
1	3	14		כְּבָ֑ר	3529	HNp	26dBc
1	3	15		וַ/תְּהִ֥י	c/1961	HC/Vqw3fs	26nAB
1	3	16		עָלָ֛י/ו	5921 a	HR/Sp3ms	26kfX
1	3	17		שָׁ֖ם	8033	HD	26Wkf
1	3	18		יַד	3027	HNcbsc	26wrL
1	3	19		יְהוָֽה	3068	HNp	263TL
1	4	1		וָ/אֵ֡רֶא	c/7200	HC/Vqw1cs	26LeN
1	4	2		וְ/הִנֵּה֩	c/2009	HC/Tm	26sMn
1	4	3		ר֨וּחַ	7307	HNcbsc	26Y3z
1	4	4		סְעָרָ֜ה	5591 b	HNcfsa	26NQN
1	4	5		בָּאָ֣ה	935	HVqrfsa	26uLf
1	4	6		מִן	4480 a	HR	26kA7
1	4	7		הַ/צָּפ֗וֹן	d/6828	HTd/Ncfsa	263TS
1	4	8		עָנָ֤ן	6051	HNcmsa	26NFp
1	4	9		גָּדוֹל֙	1419 a	HAamsa	267am
1	4	10		וְ/אֵ֣שׁ	c/784	HC/Ncbsa	26hh7
1	4	11		מִתְלַקַּ֔חַת	3947	HVtrfsa	26BsK
1	4	12		וְ/נֹ֥גַֽהּ	c/5051	HC/Ncfsa	26fsu
1	4	13		ל֖/וֹ	l	HR/Sp3ms	268M6
1	4	14		סָבִ֑יב	5439	HNcbsa	26wM5
1	4	15		וּ/מִ֨/תּוֹכָ֔/הּ	c/m/8432	HC/R/Ncmsc/Sp3fs	26qty
1	4	16		כְּ/עֵ֥ין	k/5869 a	HR/Ncbsc	265gQ
1	4	17		הַ/חַשְׁמַ֖ל	d/2830	HTd/Ncmsa	26Xw6
1	4	18		מִ/תּ֥וֹךְ	m/8432	HR/Ncmsc	26eHJ
1	4	19		הָ/אֵֽשׁ	d/784	HTd/Ncbsa	26H6L
1	5	1		וּ/מִ֨/תּוֹכָ֔/הּ	c/m/8432	HC/R/Ncmsc/Sp3fs	26bmv
1	5	2		דְּמ֖וּת	1823	HNcfsc	26FV9
1	5	3		אַרְבַּ֣ע	702	HAcfsa	26Xm1
1	5	4		חַיּ֑וֹת	2416 c	HNcfpa	26UE6
1	5	5		וְ/זֶה֙	c/2088	HC/Pdxms	26goK
1	5	6		מַרְאֵֽי/הֶ֔ן	4758	HNcmsc/Sp3fp	26CyH
1	5	7		דְּמ֥וּת	1823	HNcfsc	26A4a
1	5	8		אָדָ֖ם	120	HNcmsa	265Pr
1	5	9		לָ/הֵֽנָּה	l/2007	HR/Pp3fp	26L4k
1	6	1		וְ/אַרְבָּעָ֥ה	c/702	HC/Acmsa	26Mnv
1	6	2		פָנִ֖ים	6440	HNcbpa	26mwU
1	6	3		לְ/אֶחָ֑ת	l/259	HR/Acfsa	26tKT
1	6	4		וְ/אַרְבַּ֥ע	c/702	HC/Acfsa	26NRT
1	6	5		כְּנָפַ֖יִם	3671	HNcfda	26sRU
1	6	6		לְ/אַחַ֥ת	l/259	HR/Acfsa	26Wxq
1	6	7		לָ/הֶֽם	l	HR/Sp3mp	269qY
1	7	1		וְ/רַגְלֵי/הֶ֖ם	c/7272	HC/Ncfdc/Sp3mp	26n5f
1	7	2		רֶ֣גֶל	7272	HNcfsa	26YUq
1	7	3		יְשָׁרָ֑ה	3477	HAafsa	26fQr
1	7	4		וְ/כַ֣ף	c/3709	HC/Ncfsc	26L7t
1	7	5		רַגְלֵי/הֶ֗ם	7272	HNcfdc/Sp3mp	26A74
1	7	6		כְּ/כַף֙	k/3709	HR/Ncfsc	26dNE
1	7	7		רֶ֣גֶל	7272	HNcfsc	26xdF
1	7	8		עֵ֔גֶל	5695	HNcmsa	26AYg
