chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וּ/בִ/שְׁנַ֣ת	c/b/8141	HC/R/Ncfsc	15xeN
1	1	2		אַחַ֗ת	259	HAcfsa	15Nvk
1	1	3		לְ/כ֨וֹרֶשׁ֙	l/3566	HR/Np	15TyA
1	1	4		מֶ֣לֶךְ	4428	HNcmsc	15vuQ
1	1	5		פָּרַ֔ס	6539	HNp	15TSc
1	1	6		לִ/כְל֥וֹת	l/3615	HR/Vqc	15k5P
1	1	7		דְּבַר	1697	HNcmsc	15nPh
1	1	8		יְהוָ֖ה	3068	HNp	15LN3
1	1	9		מִ/פִּ֣י	m/6310	HR/Ncmsc	15Qzf
1	1	10		יִרְמְיָ֑ה	3414	HNp	15aPd
1	1	11		הֵעִ֣יר	5782	HVhp3ms	15eYX
1	1	12		יְהוָ֗ה	3068	HNp	15C5U
1	1	13		אֶת	853	HTo	15qNN
1	1	14		ר֨וּחַ֙	7307	HNcbsc	15EVS
1	1	15		כֹּ֣רֶשׁ	3566	HNp	15PB6
1	1	16		מֶֽלֶךְ	4428	HNcmsc	1537c
1	1	17		פָּרַ֔ס	6539	HNp	15x9c
1	1	18		וַ/יַּֽעֲבֶר	c/5674 a	HC/Vhw3ms	15yNB
1	1	19		קוֹל֙	6963 a	HNcmsa	1529t
1	1	20		בְּ/כָל	b/3605	HR/Ncmsc	15KZG
1	1	21		מַלְכוּת֔/וֹ	4438	HNcfsc/Sp3ms	15TZE
1	1	22		וְ/גַם	c/1571	HC/Ta	15thY
1	1	23		בְּ/מִכְתָּ֖ב	b/4385	HR/Ncmsa	15JM7
1	1	24		לֵ/אמֹֽר	l/559	HR/Vqc	15fpo
1	2	1		כֹּ֣ה	3541	HD	15W26
1	2	2		אָמַ֗ר	559	HVqp3ms	15yw4
1	2	3		כֹּ֚רֶשׁ	3566	HNp	15jbg
1	2	4		מֶ֣לֶךְ	4428	HNcmsc	15USR
1	2	5		פָּרַ֔ס	6539	HNp	15v6U
1	2	6		כֹּ֚ל	3605	HNcmsc	155SS
1	2	7		מַמְלְכ֣וֹת	4467	HNcfpc	15GzE
1	2	8		הָ/אָ֔רֶץ	d/776	HTd/Ncbsa	15qCU
1	2	9		נָ֣תַן	5414	HVqp3ms	15g2y
1	2	10		לִ֔/י	l	HR/Sp1cs	15jQb
1	2	11		יְהוָ֖ה	3068	HNp	15794
1	2	12		אֱלֹהֵ֣י	430	HNcmpc	15CsU
1	2	13		הַ/שָּׁמָ֑יִם	d/8064	HTd/Ncmpa	15XR4
1	2	14		וְ/הֽוּא	c/1931	HC/Pp3ms	15KvS
1	2	15		פָקַ֤ד	6485 a	HVqp3ms	15dBc
1	2	16		עָלַ/י֙	5921 a	HR/Sp1cs	15nAB
1	2	17		לִ/בְנֽוֹת	l/1129	HR/Vqc	15kfX
1	2	18		ל֣/וֹ	l	HR/Sp3ms	15Wkf
1	2	19		בַ֔יִת	1004 b	HNcmsa	15wrL
1	2	20		בִּ/ירוּשָׁלִַ֖ם	b/3389	HR/Np	153TL
1	2	21		אֲשֶׁ֥ר	834 a	HTr	15LeN
1	2	22		בִּֽ/יהוּדָֽה	b/3063	HR/Np	15sMn
1	3	1		מִֽי	4310	HTi	15Y3z
1	3	2		בָ/כֶ֣ם	b	HR/Sp2mp	15NQN
1	3	3		מִ/כָּל	m/3605	HR/Ncmsc	15uLf
1	3	4		עַמּ֗/וֹ	5971 a	HNcmsc/Sp3ms	15kA7
1	3	5		יְהִ֤י	1961	HVqj3ms	153TS
1	3	6		אֱלֹהָי/ו֙	430	HNcmpc/Sp3ms	15NFp
1	3	7		עִמּ֔/וֹ	5973 a	HR/Sp3ms	157am
1	3	8		וְ/יַ֕עַל	c/5927	HC/Vqj3ms	15hh7
1	3	9		לִ/ירוּשָׁלִַ֖ם	l/3389	HR/Np	15BsK
1	3	10		אֲשֶׁ֣ר	834 a	HTr	15fsu
1	3	11		בִּ/יהוּדָ֑ה	b/3063	HR/Np	158M6
1	3	12		וְ/יִ֗בֶן	c/1129	HC/Vqj3ms	15wM5
1	3	13		אֶת	853	HTo	15qty
1	3	14		בֵּ֤ית	1004 b	HNcmsc	155gQ
1	3	15		יְהוָה֙	3068	HNp	15Xw6
1	3	16		אֱלֹהֵ֣י	430	HNcmpc	15eHJ
1	3	17		יִשְׂרָאֵ֔ל	3478	HNp	15H6L
1	3	18		ה֥וּא	1931	HPp3ms	15bmv
1	3	19		הָ/אֱלֹהִ֖ים	d/430	HTd/Ncmpa	15FV9
1	3	20		אֲשֶׁ֥ר	834 a	HTr	15Xm1
1	3	21		בִּ/ירוּשָׁלִָֽם	b/3389	HR/Np	15UE6
1	4	1		וְ/כָל	c/3605	HC/Ncmsc	15goK
1	4	2		הַ/נִּשְׁאָ֗ר	d/7604	HTd/VNrmsa	15CyH
1	4	3		מִֽ/כָּל	m/3605	HR/Ncmsc	15A4a
1	4	4		הַ/מְּקֹמוֹת֮	d/4725	HTd/Ncmpa	155Pr
1	4	5		אֲשֶׁ֣ר	834 a	HTr	15L4k
1	4	6		ה֣וּא	1931	HPp3ms	15Mnv
1	4	7		גָֽר	1481 a	HVqrmsa	15mwU
1	4	8		שָׁם֒	8033	HD	15tKT
1	4	9		יְנַשְּׂא֨וּ/הוּ֙	5375	HVpi3mp/Sp3ms	15NRT
1	4	10		אַנְשֵׁ֣י	376	HNcmpc	15sRU
1	4	11		מְקֹמ֔/וֹ	4725	HNcmsc/Sp3ms	15Wxq
1	4	12		בְּ/כֶ֥סֶף	b/3701	HR/Ncmsa	159qY
1	4	13		וּ/בְ/זָהָ֖ב	c/b/2091	HC/R/Ncmsa	15n5f
1	4	14		וּ/בִ/רְכ֣וּשׁ	c/b/7399	HC/R/Ncmsa	15YUq
1	4	15		וּ/בִ/בְהֵמָ֑ה	c/b/929	HC/R/Ncfsa	15fQr
1	4	16		עִם	5973 a	HR	15L7t
