chapter	verse	word	type	surface	lemma	morph	id
1	1	1		בְּ/רֵאשִׁ֖ית	b/7225	HR/Ncfsa	01xeN
1	1	2		בָּרָ֣א	1254 a	HVqp3ms	01Nvk
1	1	3		אֱלֹהִ֑ים	430	HNcmpa	01TyA
1	1	4		אֵ֥ת	853	HTo	01vuQ
1	1	5		הַ/שָּׁמַ֖יִם	d/8064	HTd/Ncmpa	01TSc
1	1	6		וְ/אֵ֥ת	c/853	HC/To	01k5P
1	1	7		הָ/אָֽרֶץ	d/776	HTd/Ncbsa	01nPh
1	2	1		וְ/הָ/אָ֗רֶץ	c/d/776	HC/Td/Ncbsa	01LN3
1	2	2		הָיְתָ֥ה	1961	HVqp3fs	01Qzf
1	2	3		תֹ֨הוּ֙	8414	HNcmsa	01aPd
1	2	4		וָ/בֹ֔הוּ	c/922	HC/Ncmsa	01eYX
1	2	5		וְ/חֹ֖שֶׁךְ	c/2822	HC/Ncmsa	01C5U
1	2	6		עַל	5921 a	HR	01qNN
1	2	7		פְּנֵ֣י	6440	HNcbpc	01EVS
1	2	8		תְה֑וֹם	8415	HNcbsa	01PB6
1	2	9		וְ/ר֣וּחַ	c/7307	HC/Ncbsc	0137c
1	2	10		אֱלֹהִ֔ים	430	HNcmpa	01x9c
1	2	11		מְרַחֶ֖פֶת	7363 b	HVprfsa	01yNB
1	2	12		עַל	5921 a	HR	0129t
1	2	13		פְּנֵ֥י	6440	HNcbpc	01KZG
1	2	14		הַ/מָּֽיִם	d/4325	HTd/Ncmpa	01TZE
1	3	1		וַ/יֹּ֥אמֶר	c/559	HC/Vqw3ms	01thY
1	3	2		אֱלֹהִ֖ים	430	HNcmpa	01JM7
1	3	3		יְהִ֣י	1961	HVqj3ms	01fpo
1	3	4		א֑וֹר	216	HNcbsa	01W26
1	3	5		וַֽ/יְהִי	c/1961	HC/Vqw3ms	01yw4
1	3	6		אֽוֹר	216	HNcbsa	01jbg
1	4	1		וַ/יַּ֧רְא	c/7200	HC/Vqw3ms	01USR
1	4	2		אֱלֹהִ֛ים	430	HNcmpa	01v6U
1	4	3		אֶת	853	HTo	015SS
1	4	4		הָ/א֖וֹר	d/216	HTd/Ncbsa	01GzE
1	4	5		כִּי	3588 a	HC	01qCU
1	4	6		ט֑וֹב	2896 a	HAamsa	01g2y
1	4	7		וַ/יַּבְדֵּ֣ל	c/914	HC/Vhw3ms	01jQb
1	4	8		אֱלֹהִ֔ים	430	HNcmpa	01794
1	4	9		בֵּ֥ין	996	HR	01CsU
1	4	10		הָ/א֖וֹר	d/216	HTd/Ncbsa	01XR4
1	4	11		וּ/בֵ֥ין	c/996	HC/R	01KvS
1	4	12		הַ/חֹֽשֶׁךְ	d/2822	HTd/Ncmsa	01dBc
1	5	1		וַ/יִּקְרָ֨א	c/7121	HC/Vqw3ms	01nAB
1	5	2		אֱלֹהִ֤ים	430	HNcmpa	01kfX
1	5	3		לָ/אוֹר֙	l/216	HRd/Ncbsa	01Wkf
1	5	4		י֔וֹם	3117	HNcmsa	01wrL
1	5	5		וְ/לַ/חֹ֖שֶׁךְ	c/l/2822	HC/Rd/Ncmsa	013TL
1	5	6		קָ֣רָא	7121	HVqp3ms	01LeN
1	5	7		לָ֑יְלָה	3915	HNcmsa	01sMn
1	5	8		וַֽ/יְהִי	c/1961	HC/Vqw3ms	01Y3z
1	5	9		עֶ֥רֶב	6153	HNcmsa	01NQN
1	5	10		וַֽ/יְהִי	c/1961	HC/Vqw3ms	01uLf
