chapter	verse	word	type	surface	lemma	morph	id
1	1	1		הַ/מַּשָׂא֙	d/4853 b	HTd/Ncmsa	35xeN
1	1	2		אֲשֶׁ֣ר	834 a	HTr	35Nvk
1	1	3		חָזָ֔ה	2372	HVqp3ms	35TyA
1	1	4		חֲבַקּ֖וּק	2265	HNp	35vuQ
1	1	5		הַ/נָּבִֽיא	d/5030	HTd/Ncmsa	35TSc
1	2	1		עַד	5704	HR	35k5P
1	2	2		אָ֧נָה	575	HD	35nPh
1	2	3		יְהוָ֛ה	3068	HNp	35LN3
1	2	4		שִׁוַּ֖עְתִּי	7768	HVpp1cs	35Qzf
1	2	5		וְ/לֹ֣א	c/3808	HC/Tn	35aPd
1	2	6		תִשְׁמָ֑ע	8085	HVqi2ms	35eYX
1	2	7		אֶזְעַ֥ק	2199	HVqi1cs	35C5U
1	2	8		אֵלֶ֛י/ךָ	413	HR/Sp2ms	35qNN
1	2	9		חָמָ֖ס	2555	HNcmsa	35EVS
1	2	10		וְ/לֹ֥א	c/3808	HC/Tn	35PB6
1	2	11		תוֹשִֽׁיעַ	3467	HVhi2ms	3537c
1	3	1		לָ֣/מָּה	l/4100	HR/Ti	35x9c
1	3	2		תַרְאֵ֤/נִי	7200	HVhi2ms/Sp1cs	35yNB
1	3	3		אָ֨וֶן֙	205	HNcmsa	3529t
1	3	4		וְ/עָמָ֣ל	c/5999	HC/Ncbsa	35KZG
1	3	5		תַּבִּ֔יט	5027	HVhi2ms	35TZE
1	3	6		וְ/שֹׁ֥ד	c/7701	HC/Ncmsa	35thY
1	3	7		וְ/חָמָ֖ס	c/2555	HC/Ncmsa	35JM7
1	3	8		לְ/נֶגְדִּ֑/י	l/5048	HR/R/Sp1cs	35fpo
1	3	9		וַ/יְהִ֧י	c/1961	HC/Vqw3ms	35W26
1	3	10		רִ֦יב	7379	HNcbsa	35yw4
1	3	11		וּ/מָד֖וֹן	c/4066	HC/Ncmsa	35jbg
1	3	12		יִשָּֽׂא	5375	HVqi3ms	35USR
1	4	1		עַל	5921 a	HR	35v6U
1	4	2		כֵּן֙	3651 c	HTm	355SS
1	4	3		תָּפ֣וּג	6313	HVqi3fs	35GzE
1	4	4		תּוֹרָ֔ה	8451	HNcfsa	35qCU
1	4	5		וְ/לֹֽא	c/3808	HC/Tn	35g2y
1	4	6		יֵצֵ֥א	3318	HVqi3ms	35jQb
1	4	7		לָ/נֶ֖צַח	l/5331	HR/Ncmsa	35794
1	4	8		מִשְׁפָּ֑ט	4941	HNcmsa	35CsU
1	4	9		כִּ֤י	3588 a	HC	35XR4
1	4	10		רָשָׁע֙	7563	HAamsa	35KvS
1	4	11		מַכְתִּ֣יר	3803	HVhrmsa	35dBc
1	4	12		אֶת	853	HTo	35nAB
1	4	13		הַ/צַּדִּ֔יק	d/6662	HTd/Aamsa	35kfX
1	4	14		עַל	5921 a	HR	35Wkf
1	4	15		כֵּ֛ן	3651 c	HTm	35wrL
1	4	16		יֵצֵ֥א	3318	HVqi3ms	353TL
1	4	17		מִשְׁפָּ֖ט	4941	HNcmsa	35LeN
