chapter	verse	word	type	surface	lemma	morph	id
1	1	1		בִּ/שְׁנַ֤ת	b/8141	HR/Ncfsc	37xeN
1	1	2		שְׁתַּ֨יִם֙	8147	HAcfda	37Nvk
1	1	3		לְ/דָרְיָ֣וֶשׁ	l/1867	HR/Np	37TyA
1	1	4		הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa	37vuQ
1	1	5		בַּ/חֹ֨דֶשׁ֙	b/2320	HRd/Ncmsa	37TSc
1	1	6		הַ/שִּׁשִּׁ֔י	d/8345	HTd/Aomsa	37k5P
1	1	7		בְּ/י֥וֹם	b/3117	HR/Ncmsa	37nPh
1	1	8		אֶחָ֖ד	259	HAcmsa	37LN3
1	1	9		לַ/חֹ֑דֶשׁ	l/2320	HRd/Ncmsa	37Qzf
1	1	10		הָיָ֨ה	1961	HVqp3ms	37aPd
1	1	11		דְבַר	1697	HNcmsc	37eYX
1	1	12		יְהוָ֜ה	3068	HNp	37C5U
1	1	13		בְּ/יַד	b/3027	HR/Ncbsc	37qNN
1	1	14		חַגַּ֣י	2292 a	HNp	37EVS
1	1	15		הַ/נָּבִ֗יא	d/5030	HTd/Ncmsa	37PB6
1	1	16		אֶל	413	HR	3737c
1	1	17		זְרֻבָּבֶ֤ל	2216	HNp	37x9c
1	1	18		בֶּן	1121 a	HNcmsc	37yNB
1	1	19		שְׁאַלְתִּיאֵל֙	7597 a	HNp	3729t
1	1	20		פַּחַ֣ת	6346	HNcmsc	37KZG
1	1	21		יְהוּדָ֔ה	3063	HNp	37TZE
1	1	22		וְ/אֶל	c/413	HC/R	37thY
1	1	23		יְהוֹשֻׁ֧עַ	3091	HNp	37JM7
1	1	24		בֶּן	1121 a	HNcmsc	37fpo
1	1	25		יְהוֹצָדָ֛ק	3087	HNp	37W26
1	1	26		הַ/כֹּהֵ֥ן	d/3548	HTd/Ncmsa	37yw4
1	1	27		הַ/גָּד֖וֹל	d/1419 a	HTd/Aamsa	37jbg
1	1	28		לֵ/אמֹֽר	l/559	HR/Vqc	37USR
1	2	1		כֹּ֥ה	3541	HD	37v6U
1	2	2		אָמַ֛ר	559	HVqp3ms	375SS
1	2	3		יְהוָ֥ה	3068	HNp	37GzE
