chapter	verse	word	type	surface	lemma	morph	id
1	1	1		דְּבַר	1697	HNcmsc	28xeN
1	1	2		יְהוָ֣ה	3068	HNp	28Nvk
1	1	3		אֲשֶׁ֣ר	834 a	HTr	28TyA
1	1	4		הָיָ֗ה	1961	HVqp3ms	28vuQ
1	1	5		אֶל	413	HR	28TSc
1	1	6		הוֹשֵׁ֨עַ֙	1954	HNp	28k5P
1	1	7		בֶּן	1121 a	HNcmsc	28nPh
1	1	8		בְּאֵרִ֔י	882	HNp	28LN3
1	1	9		בִּ/ימֵ֨י	b/3117	HR/Ncmpc	28Qzf
1	1	10		עֻזִּיָּ֥ה	5818	HNp	28aPd
1	1	11		יוֹתָ֛ם	3147	HNp	28eYX
1	1	12		אָחָ֥ז	271	HNp	28C5U
1	1	13		יְחִזְקִיָּ֖ה	2396	HNp	28qNN
1	1	14		מַלְכֵ֣י	4428	HNcmpc	28EVS
1	1	15		יְהוּדָ֑ה	3063	HNp	28PB6
1	1	16		וּ/בִ/ימֵ֛י	c/b/3117	HC/R/Ncmpc	2837c
1	1	17		יָרָבְעָ֥ם	3379	HNp	28x9c
1	1	18		בֶּן	1121 a	HNcmsc	28yNB
1	1	19		יוֹאָ֖שׁ	3101	HNp	2829t
1	1	20		מֶ֥לֶךְ	4428	HNcmsc	28KZG
1	1	21		יִשְׂרָאֵֽל	3478	HNp	28TZE
1	2	1		תְּחִלַּ֥ת	8462	HNcfsc	28thY
1	2	2		דִּבֶּר	1696	HVpp3ms	28JM7
1	2	3		יְהוָ֖ה	3068	HNp	28fpo
1	2	4		בְּ/הוֹשֵׁ֑עַ	b/1954	HR/Np	28W26
1	2	5		וַ/יֹּ֨אמֶר	c/559	HC/Vqw3ms	28yw4
1	2	6		יְהוָ֜ה	3068	HNp	28jbg
1	2	7		אֶל	413	HR	28USR
1	2	8		הוֹשֵׁ֗עַ	1954	HNp	28v6U
1	2	9		לֵ֣ךְ	3212	HVqv2ms	285SS
1	2	10		קַח	3947	HVqv2ms	28GzE
1	2	11		לְ/ךָ֞	l	HR/Sp2ms	28qCU
1	2	12		אֵ֤שֶׁת	802	HNcfsc	28g2y
1	2	13		זְנוּנִים֙	2183	HNcmpa	28jQb
1	2	14		וְ/יַלְדֵ֣י	c/3206	HC/Ncmpc	28794
1	2	15		זְנוּנִ֔ים	2183	HNcmpa	28CsU
1	2	16		כִּֽי	3588 a	HC	28XR4
1	2	17		זָנֹ֤ה	2181	HVqa	28KvS
1	2	18		תִזְנֶה֙	2181	HVqi3fs	28dBc
1	2	19		הָ/אָ֔רֶץ	d/776	HTd/Ncbsa	28nAB
1	2	20		מֵֽ/אַחֲרֵ֖י	m/310 a	HR/R	28kfX
1	2	21		יְהוָֽה	3068	HNp	28Wkf
1	3	1		וַ/יֵּ֨לֶךְ֙	c/3212	HC/Vqw3ms	28wrL
1	3	2		וַ/יִּקַּ֔ח	c/3947	HC/Vqw3ms	283TL
1	3	3		אֶת	853	HTo	28LeN
1	3	4		גֹּ֖מֶר	1586	HNp	28sMn
1	3	5		בַּת	1323	HNcfsc	28Y3z
1	3	6		דִּבְלָ֑יִם	1691	HNp	28NQN
1	3	7		וַ/תַּ֥הַר	c/2029	HC/Vqw3fs	28uLf
1	3	8		וַ/תֵּֽלֶד	c/3205	HC/Vqw3fs	28kA7
1	3	9		ל֖/וֹ	l	HR/Sp3ms	283TS
1	3	10		בֵּֽן	1121 a	HNcmsa	28NFp
1	4	1		וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms	287am
1	4	2		יְהוָה֙	3068	HNp	28hh7
1	4	3		אֵלָ֔י/ו	413	HR/Sp3ms	28BsK
1	4	4		קְרָ֥א	7121	HVqv2ms	28fsu
1	4	5		שְׁמ֖/וֹ	8034	HNcmsc/Sp3ms	288M6
1	4	6		יִזְרְעֶ֑אל	3157	HNp	28wM5
1	4	7		כִּי	3588 a	HC	28qty
1	4	8		ע֣וֹד	5750	HD	285gQ
1	4	9		מְעַ֗ט	4592	HAamsa	28Xw6
1	4	10		וּ/פָ֨קַדְתִּ֜י	c/6485 a	HC/Vqq1cs	28eHJ
1	4	11		אֶת	853	HTo	28H6L
1	4	12		דְּמֵ֤י	1818	HNcmpc	28bmv
1	4	13		יִזְרְעֶאל֙	3157	HNp	28FV9
1	4	14		עַל	5921 a	HR	28Xm1
1	4	15		בֵּ֣ית	1004 b	HNcmsc	28UE6
1	4	16		יֵה֔וּא	3058	HNp	28goK
1	4	17		וְ/הִ֨שְׁבַּתִּ֔י	c/7673 a	HC/Vhq1cs	28CyH
1	4	18		מַמְלְכ֖וּת	4468	HNcfsc	28A4a
1	4	19		בֵּ֥ית	1004 b	HNcmsc	285Pr
1	4	20		יִשְׂרָאֵֽל	3478	HNp	28L4k
1	5	1		וְ/הָיָ֖ה	c/1961	HC/Vqq3ms	28Mnv
1	5	2		בַּ/יּ֣וֹם	b/3117	HRd/Ncmsa	28mwU
1	5	3		הַ/ה֑וּא	d/1931	HTd/Pp3ms	28tKT
1	5	4		וְ/שָֽׁבַרְתִּי֙	c/7665	HC/Vqq1cs	28NRT
1	5	5		אֶת	853	HTo	28sRU
1	5	6		קֶ֣שֶׁת	7198	HNcfsc	28Wxq
1	5	7		יִשְׂרָאֵ֔ל	3478	HNp	289qY
1	5	8		בְּ/עֵ֖מֶק	b/6010	HR/Ncmsc	28n5f
1	5	9		יִזְרְעֶֽאל	3157	HNp	28YUq
1	6	1		וַ/תַּ֤הַר	c/2029	HC/Vqw3fs	28fQr
1	6	2		עוֹד֙	5750	HD	28L7t
1	6	3		וַ/תֵּ֣לֶד	c/3205	HC/Vqw3fs	28A74
1	6	4		בַּ֔ת	1323	HNcfsa	28dNE
1	6	5		וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms	28xdF
1	6	6		ל֔/וֹ	l	HR/Sp3ms	28AYg
1	6	7		קְרָ֥א	7121	HVqv2ms	28Ls9
1	6	8		שְׁמָ֖/הּ	8034	HNcmsc/Sp3fs	28Snp
1	6	9		לֹ֣א	3819+	HTn	2887B
1	6	10		רֻחָ֑מָה	3819	HNp	28nLp
1	6	11		כִּי֩	3588 a	HC	28PzC
1	6	12		לֹ֨א	3808	HTn	28NPq
1	6	13		אוֹסִ֜יף	3254	HVhi1cs	28d5m
1	6	14		ע֗וֹד	5750	HD	28BYa
1	6	15		אֲרַחֵם֙	7355	HVpi1cs	28LJh
1	6	16		אֶת	853	HTo	28tRR
1	6	17		בֵּ֣ית	1004 b	HNcmsc	28Q7E
1	6	18		יִשְׂרָאֵ֔ל	3478	HNp	28dv1
1	6	19		כִּֽי	3588 a	HC	28QwM
1	6	20		נָשֹׂ֥א	5375	HVqa	28a62
1	6	21		אֶשָּׂ֖א	5375	HVqi1cs	28KvD
1	6	22		לָ/הֶֽם	l	HR/Sp3mp	28GLz
1	7	1		וְ/אֶת	c/853	HC/To	28BU7
1	7	2		בֵּ֤ית	1004 b	HNcmsc	28iy2
1	7	3		יְהוּדָה֙	3063	HNp	28zQ2
1	7	4		אֲרַחֵ֔ם	7355	HVpi1cs	28Wxx
1	7	5		וְ/הֽוֹשַׁעְתִּ֖י/ם	c/3467	HC/Vhq1cs/Sp3mp	28jQ8
1	7	6		בַּ/יהוָ֣ה	b/3068	HR/Np	28Haa
1	7	7		אֱלֹֽהֵי/הֶ֑ם	430	HNcmpc/Sp3mp	28fJN
1	7	8		וְ/לֹ֣א	c/3808	HC/Tn	289KV
1	7	9		אֽוֹשִׁיעֵ֗/ם	3467	HVhi1cs/Sp3mp	28F1s
1	7	10		בְּ/קֶ֤שֶׁת	b/7198	HR/Ncfsa	28dns
1	7	11		וּ/בְ/חֶ֨רֶב֙	c/b/2719	HC/R/Ncfsa	28GK3
1	7	12		וּ/בְ/מִלְחָמָ֔ה	c/b/4421	HC/R/Ncfsa	28nRZ
1	7	13		בְּ/סוּסִ֖ים	b/5483 b	HR/Ncmpa	28cpb
1	7	14		וּ/בְ/פָרָשִֽׁים	c/b/6571 b	HC/R/Ncmpa	28zio
1	8	1		וַ/תִּגְמֹ֖ל	c/1580	HC/Vqw3fs	28Qsh
1	8	2		אֶת	853	HTo	28zTj
1	8	3		לֹ֣א	3819+	HTn	28fPi
1	8	4		רֻחָ֑מָה	3819	HNp	28GYe
1	8	5		וַ/תַּ֖הַר	c/2029	HC/Vqw3fs	28Bbz
1	8	6		וַ/תֵּ֥לֶד	c/3205	HC/Vqw3fs	28VA9
1	8	7		בֵּֽן	1121 a	HNcmsa	28fV3
1	9	1		וַ/יֹּ֕אמֶר	c/559	HC/Vqw3ms	28Sov
1	9	2		קְרָ֥א	7121	HVqv2ms	28V27
1	9	3		שְׁמ֖/וֹ	8034	HNcmsc/Sp3ms	28ifp
1	9	4		לֹ֣א	3818+	HTn	287ZG
1	9	5		עַמִּ֑י	3818	HNp	28B2d
1	9	6		כִּ֤י	3588 a	HC	28ewe
1	9	7		אַתֶּם֙	859 d	HPp2mp	28SV6
1	9	8		לֹ֣א	3808	HTn	28G83
1	9	9		עַמִּ֔/י	5971 a	HNcmsc/Sp1cs	28vzS
1	9	10		וְ/אָנֹכִ֖י	c/595	HC/Pp1cs	28Gq9
1	9	11		לֹֽא	3808	HTn	283y8
1	9	12		אֶהְיֶ֥ה	1961	HVqi1cs	28TXw
1	9	13		לָ/כֶֽם	l	HR/Sp2mp	28Y4K
2	1	1		וְֽ֠/הָיָה	c/1961	HC/Vqq3ms	28C32
2	1	2		מִסְפַּ֤ר	4557	HNcmsc	28aMT
2	1	3		בְּנֵֽי	1121 a	HNcmpc	28Cof
2	1	4		יִשְׂרָאֵל֙	3478	HNp	28YWU
2	1	5		כְּ/ח֣וֹל	k/2344	HR/Ncmsc	28rAQ
2	1	6		הַ/יָּ֔ם	d/3220	HTd/Ncmsa	28fLi
2	1	7		אֲשֶׁ֥ר	834 a	HTr	28Ptj
2	1	8		לֹֽא	3808	HTn	28AJj
2	1	9		יִמַּ֖ד	4058	HVNi3ms	289Hv
2	1	10		וְ/לֹ֣א	c/3808	HC/Tn	28j1i
2	1	11		יִסָּפֵ֑ר	5608 a	HVNi3ms	28J9J
2	1	12		וְֽ֠/הָיָה	c/1961	HC/Vqq3ms	28U4n
2	1	13		בִּ/מְק֞וֹם	b/4725	HR/Ncmsc	282Kt
2	1	14		אֲשֶׁר	834 a	HTr	28RmH
2	1	15		יֵאָמֵ֤ר	559	HVNi3ms	28SWL
2	1	16		לָ/הֶם֙	l	HR/Sp3mp	2875P
2	1	17		לֹֽא	3808	HTn	283Lj
2	1	18		עַמִּ֣/י	5971 a	HNcmsc/Sp1cs	28Qa3
2	1	19		אַתֶּ֔ם	859 d	HPp2mp	28WTe
2	1	20		יֵאָמֵ֥ר	559	HVNi3ms	286VM
2	1	21		לָ/הֶ֖ם	l	HR/Sp3mp	28sKn
2	1	22		בְּנֵ֥י	1121 a	HNcmpc	28oAj
2	1	23		אֵֽל	410	HNcmsa	28AxB
2	1	24		חָֽי	2416 a	HAamsa	28Ap3
2	2	1		וְ֠/נִקְבְּצוּ	c/6908	HC/VNq3cp	28CEu
2	2	2		בְּנֵֽי	1121 a	HNcmpc	28zpy
2	2	3		יְהוּדָ֤ה	3063	HNp	28FiN
2	2	4		וּ/בְנֵֽי	c/1121 a	HC/Ncmpc	28cLk
2	2	5		יִשְׂרָאֵל֙	3478	HNp	2892v
2	2	6		יַחְדָּ֔ו	3162 b	HD	28j63
2	2	7		וְ/שָׂמ֥וּ	c/7760 a	HC/Vqq3cp	28LFW
2	2	8		לָ/הֶ֛ם	l	HR/Sp3mp	28FbT
2	2	9		רֹ֥אשׁ	7218 a	HNcmsa	28Bx7
2	2	10		אֶחָ֖ד	259	HAcmsa	28btu
2	2	11		וְ/עָל֣וּ	c/5927	HC/Vqq3cp	28rTK
2	2	12		מִן	4480 a	HR	28SHw
2	2	13		הָ/אָ֑רֶץ	d/776	HTd/Ncbsa	28VuH
2	2	14		כִּ֥י	3588 a	HC	28Axb
2	2	15		גָד֖וֹל	1419 a	HAamsa	28xva
2	2	16		י֥וֹם	3117	HNcmsc	28NrT
2	2	17		יִזְרְעֶֽאל	3157	HNp	28iAD
2	3	1		אִמְר֥וּ	559	HVqv2mp	28372
2	3	2		לַ/אֲחֵי/כֶ֖ם	l/251	HR/Ncmpc/Sp2mp	28FMU
2	3	3		עַמִּ֑/י	5971 a	HNcmsc/Sp1cs	28SaV
2	3	4		וְ/לַ/אֲחֽוֹתֵי/כֶ֖ם	c/l/269	HC/R/Ncfpc/Sp2mp	284W9
2	3	5		רֻחָֽמָה	7355	HVPp3fs	28MmM
2	4	1		רִ֤יבוּ	7378	HVqv2mp	28wJn
2	4	2		בְ/אִמְּ/כֶם֙	b/517	HR/Ncfsc/Sp2mp	28CQo
2	4	3		רִ֔יבוּ	7378	HVqv2mp	28XyU
2	4	4		כִּֽי	3588 a	HC	28BG4
2	4	5		הִיא֙	1931	HPp3fs	28YHH
2	4	6		לֹ֣א	3808	HTn	28sHf
2	4	7		אִשְׁתִּ֔/י	802	HNcfsc/Sp1cs	28iee
2	4	8		וְ/אָנֹכִ֖י	c/595	HC/Pp1cs	283eS
2	4	9		לֹ֣א	3808	HTn	28ddd
2	4	10		אִישָׁ֑/הּ	376	HNcmsc/Sp3fs	28hxo
2	4	11		וְ/תָסֵ֤ר	c/5493	HC/Vhj3fs	28TW6
2	4	12		זְנוּנֶ֨י/הָ֙	2183	HNcmpc/Sp3fs	28PVx
2	4	13		מִ/פָּנֶ֔י/ה	m/6440	HR/Ncbpc/Sp3fs	28PGK
2	4	14		וְ/נַאֲפוּפֶ֖י/הָ	c/5005	HC/Ncmpc/Sp3fs	28U4a
2	4	15		מִ/בֵּ֥ין	m/996	HR/R	28dSQ
2	4	16		שָׁדֶֽי/הָ	7699 a	HNcmdc/Sp3fs	28Qbs
2	5	1		פֶּן	6435	HC	28ndZ
2	5	2		אַפְשִׁיטֶ֣/נָּה	6584	HVhi1cs/Sp3fs	28Xa1
2	5	3		עֲרֻמָּ֔ה	6174	HAafsa	283yJ
2	5	4		וְ/הִ֨צַּגְתִּ֔י/הָ	c/3322	HC/Vhq1cs/Sp3fs	28B6c
2	5	5		כְּ/י֖וֹם	k/3117	HR/Ncmsc	28bju
2	5	6		הִוָּֽלְדָ֑/הּ	3205	HVNc/Sp3fs	28cn3
2	5	7		וְ/שַׂמְתִּ֣י/הָ	c/7760 a	HC/Vqp1cs/Sp3fs	287mS
