chapter	verse	word	type	surface	lemma	morph	id
1	1	1		חֲזוֹן֙	2377	HNcmsc	23xeN
1	1	2		יְשַֽׁעְיָ֣הוּ	3470 a	HNp	23Nvk
1	1	3		בֶן	1121 a	HNcmsc	23TyA
1	1	4		אָמ֔וֹץ	531	HNp	23vuQ
1	1	5		אֲשֶׁ֣ר	834 a	HTr	23TSc
1	1	6		חָזָ֔ה	2372	HVqp3ms	23k5P
1	1	7		עַל	5921 a	HR	23nPh
1	1	8		יְהוּדָ֖ה	3063	HNp	23LN3
1	1	9		וִ/ירוּשָׁלִָ֑ם	c/3389	HC/Np	23Qzf
1	1	10		בִּ/ימֵ֨י	b/3117	HR/Ncmpc	23aPd
1	1	11		עֻזִּיָּ֧הוּ	5818	HNp	23eYX
1	1	12		יוֹתָ֛ם	3147	HNp	23C5U
1	1	13		אָחָ֥ז	271	HNp	23qNN
1	1	14		יְחִזְקִיָּ֖הוּ	2396	HNp	23EVS
1	1	15		מַלְכֵ֥י	4428	HNcmpc	23PB6
1	1	16		יְהוּדָֽה	3063	HNp	2337c
1	2	1		שִׁמְע֤וּ	8085	HVqv2mp	23x9c
1	2	2		שָׁמַ֨יִם֙	8064	HNcmpa	23yNB
1	2	3		וְ/הַאֲזִ֣ינִי	c/238	HC/Vhv2fs	2329t
1	2	4		אֶ֔רֶץ	776	HNcbsa	23KZG
1	2	5		כִּ֥י	3588 a	HC	23TZE
1	2	6		יְהוָ֖ה	3068	HNp	23thY
1	2	7		דִּבֵּ֑ר	1696	HVpp3ms	23JM7
1	2	8		בָּנִים֙	1121 a	HNcmpa	23fpo
1	2	9		גִּדַּ֣לְתִּי	1431	HVpp1cs	23W26
1	2	10		וְ/רוֹמַ֔מְתִּי	c/7311 a	HC/Vop1cs	23yw4
1	2	11		וְ/הֵ֖ם	c/1992	HC/Pp3mp	23jbg
1	2	12		פָּ֥שְׁעוּ	6586	HVqp3cp	23USR
1	2	13		בִֽ/י	b	HR/Sp1cs	23v6U
1	3	1		יָדַ֥ע	3045	HVqp3ms	235SS
1	3	2		שׁוֹר֙	7794	HNcmsa	23GzE
1	3	3		קֹנֵ֔/הוּ	7069	HVqrmsc/Sp3ms	23qCU
1	3	4		וַ/חֲמ֖וֹר	c/2543	HC/Ncbsa	23g2y
1	3	5		אֵב֣וּס	18	HNcmsc	23jQb
1	3	6		בְּעָלָ֑י/ו	1167	HNcmpc/Sp3ms	23794
1	3	7		יִשְׂרָאֵל֙	3478	HNp	23CsU
1	3	8		לֹ֣א	3808	HTn	23XR4
1	3	9		יָדַ֔ע	3045	HVqp3ms	23KvS
1	3	10		עַמִּ֖/י	5971 a	HNcmsc/Sp1cs	23dBc
1	3	11		לֹ֥א	3808	HTn	23nAB
1	3	12		הִתְבּוֹנָֽן	995	HVrp3ms	23kfX
1	4	1		ה֣וֹי	1945	HTj	23Wkf
1	4	2		גּ֣וֹי	1471 a	HNcmsa	23wrL
1	4	3		חֹטֵ֗א	2398	HVqrmsa	233TL
1	4	4		עַ֚ם	5971 a	HNcmsa	23LeN
1	4	5		כֶּ֣בֶד	3515	HAamsc	23sMn
1	4	6		עָוֺ֔ן	5771	HNcbsa	23Y3z
1	4	7		זֶ֣רַע	2233	HNcmsc	23NQN
1	4	8		מְרֵעִ֔ים	7489 a	HVhrmpa	23uLf
1	4	9		בָּנִ֖ים	1121 a	HNcmpa	23kA7
1	4	10		מַשְׁחִיתִ֑ים	7843	HVhrmpa	233TS
1	4	11		עָזְב֣וּ	5800 a	HVqp3cp	23NFp
1	4	12		אֶת	853	HTo	237am
1	4	13		יְהוָ֗ה	3068	HNp	23hh7
1	4	14		נִֽאֲצ֛וּ	5006	HVpp3cp	23BsK
1	4	15		אֶת	853	HTo	23fsu
1	4	16		קְד֥וֹשׁ	6918	HAamsc	238M6
1	4	17		יִשְׂרָאֵ֖ל	3478	HNp	23wM5
1	4	18		נָזֹ֥רוּ	2114 a	HVNp3cp	23qty
1	4	19		אָחֽוֹר	268	HNcmsa	235gQ
1	5	1		עַ֣ל	5921 a	HR	23Xw6
1	5	2		מֶ֥ה	4100	HTi	23eHJ
1	5	3		תֻכּ֛וּ	5221	HVHi2mp	23H6L
1	5	4		ע֖וֹד	5750	HD	23bmv
1	5	5		תּוֹסִ֣יפוּ	3254	HVhi2mp	23FV9
1	5	6		סָרָ֑ה	5627	HNcfsa	23Xm1
1	5	7		כָּל	3605	HNcmsc	23UE6
1	5	8		רֹ֣אשׁ	7218 a	HNcmsa	23goK
1	5	9		לָ/חֳלִ֔י	l/2483	HR/Ncmsa	23CyH
1	5	10		וְ/כָל	c/3605	HR/Ncmsc	23A4a
1	5	11		לֵבָ֖ב	3824	HNcmsa	235Pr
1	5	12		דַּוָּֽי	1742	HAamsa	23L4k
1	6	1		מִ/כַּף	m/3709	HR/Ncfsc	23Mnv
1	6	2		רֶ֤גֶל	7272	HNcfsa	23mwU
1	6	3		וְ/עַד	c/5704	HC/R	23tKT
1	6	4		רֹאשׁ֙	7218 a	HNcmsa	23NRT
1	6	5		אֵֽין	369	HTn	23sRU
1	6	6		בּ֣/וֹ	b	HR/Sp3ms	23Wxq
1	6	7		מְתֹ֔ם	4974	HNcmsa	239qY
1	6	8		פֶּ֥צַע	6482	HNcmsa	23n5f
1	6	9		וְ/חַבּוּרָ֖ה	c/2250	HC/Ncfsa	23YUq
1	6	10		וּ/מַכָּ֣ה	c/4347	HC/Ncfsa	23fQr
1	6	11		טְרִיָּ֑ה	2961	HAafsa	23L7t
1	6	12		לֹא	3808	HTn	23A74
1	6	13		זֹ֨רוּ֙	2115	HVQp3cp	23dNE
1	6	14		וְ/לֹ֣א	c/3808	HC/Tn	23xdF
1	6	15		חֻבָּ֔שׁוּ	2280	HVPp3cp	23AYg
1	6	16		וְ/לֹ֥א	c/3808	HC/Tn	23Ls9
