chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַ/יְהִ֗י	c/1961	HC/Vqw3ms	07xeN
1	1	2		אַחֲרֵי֙	310 a	HR	07Nvk
1	1	3		מ֣וֹת	4194	HNcmsc	07TyA
1	1	4		יְהוֹשֻׁ֔עַ	3091	HNp	07vuQ
1	1	5		וַֽ/יִּשְׁאֲלוּ֙	c/7592	HC/Vqw3mp	07TSc
1	1	6		בְּנֵ֣י	1121 a	HNcmpc	07k5P
1	1	7		יִשְׂרָאֵ֔ל	3478	HNp	07nPh
1	1	8		בַּ/יהוָ֖ה	b/3068	HR/Np	07LN3
1	1	9		לֵ/אמֹ֑ר	l/559	HR/Vqc	07Qzf
1	1	10		מִ֣י	4310	HTi	07aPd
1	1	11		יַעֲלֶה	5927	HVqi3ms	07eYX
1	1	12		לָּ֧/נוּ	l	HR/Sp1cp	07C5U
1	1	13		אֶל	413	HR	07qNN
1	1	14		הַֽ/כְּנַעֲנִ֛י	d/3669 a	HTd/Ngmsa	07EVS
1	1	15		בַּ/תְּחִלָּ֖ה	b/8462	HRd/Ncfsa	07PB6
1	1	16		לְ/הִלָּ֥חֶם	l/3898 a	HR/VNc	0737c
1	1	17		בּֽ/וֹ	b	HR/Sp3ms	07x9c
1	2	1		וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms	07yNB
1	2	2		יְהוָ֖ה	3068	HNp	0729t
1	2	3		יְהוּדָ֣ה	3063	HNp	07KZG
1	2	4		יַעֲלֶ֑ה	5927	HVqi3ms	07TZE
1	2	5		הִנֵּ֛ה	2009	HTm	07thY
1	2	6		נָתַ֥תִּי	5414	HVqp1cs	07JM7
1	2	7		אֶת	853	HTo	07fpo
1	2	8		הָ/אָ֖רֶץ	d/776	HTd/Ncbsa	07W26
1	2	9		בְּ/יָדֽ/וֹ	b/3027	HR/Ncbsc/Sp3ms	07yw4
1	3	1		וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms	07jbg
1	3	2		יְהוּדָה֩	3063	HNp	07USR
1	3	3		לְ/שִׁמְע֨וֹן	l/8095	HR/Np	07v6U
1	3	4		אָחִ֜י/ו	251	HNcmsc/Sp3ms	075SS
1	3	5		עֲלֵ֧ה	5927	HVqv2ms	07GzE
1	3	6		אִתִּ֣/י	854	HR/Sp1cs	07qCU
1	3	7		בְ/גוֹרָלִ֗/י	b/1486	HR/Ncmsc/Sp1cs	07g2y
1	3	8		וְ/נִֽלָּחֲמָה֙	c/3898 a	HC/VNh1cp	07jQb
1	3	9		בַּֽ/כְּנַעֲנִ֔י	b/3669 a	HRd/Ngmsa	07794
1	3	10		וְ/הָלַכְתִּ֧י	c/1980	HC/Vqq1cs	07CsU
1	3	11		גַם	1571	HD	07XR4
1	3	12		אֲנִ֛י	589	HPp1cs	07KvS
1	3	13		אִתְּ/ךָ֖	854	HR/Sp2ms	07dBc
1	3	14		בְּ/גוֹרָלֶ֑/ךָ	b/1486	HR/Ncmsc/Sp2ms	07nAB
1	3	15		וַ/יֵּ֥לֶךְ	c/3212	HC/Vqw3ms	07kfX
1	3	16		אִתּ֖/וֹ	854	HR/Sp3ms	07Wkf
