chapter	verse	word	type	surface	lemma	morph	id
1	1	1		דִּבְרֵ֥י	1697	HNcmpc	24xeN
1	1	2		יִרְמְיָ֖הוּ	3414	HNp	24Nvk
1	1	3		בֶּן	1121 a	HNcmsc	24TyA
1	1	4		חִלְקִיָּ֑הוּ	2518	HNp	24vuQ
1	1	5		מִן	4480 a	HR	24TSc
1	1	6		הַ/כֹּֽהֲנִים֙	d/3548	HTd/Ncmpa	24k5P
1	1	7		אֲשֶׁ֣ר	834 a	HTr	24nPh
1	1	8		בַּ/עֲנָת֔וֹת	b/6068	HR/Np	24LN3
1	1	9		בְּ/אֶ֖רֶץ	b/776	HR/Ncbsc	24Qzf
1	1	10		בִּנְיָמִֽן	1144	HNp	24aPd
1	2	1		אֲשֶׁ֨ר	834 a	HTr	24eYX
1	2	2		הָיָ֤ה	1961	HVqp3ms	24C5U
1	2	3		דְבַר	1697	HNcmsc	24qNN
1	2	4		יְהוָה֙	3068	HNp	24EVS
1	2	5		אֵלָ֔י/ו	413	HR/Sp3ms	24PB6
1	2	6		בִּ/ימֵ֛י	b/3117	HR/Ncmpc	2437c
1	2	7		יֹאשִׁיָּ֥הוּ	2977	HNp	24x9c
1	2	8		בֶן	1121 a	HNcmsc	24yNB
1	2	9		אָמ֖וֹן	526	HNp	2429t
1	2	10		מֶ֣לֶךְ	4428	HNcmsc	24KZG
1	2	11		יְהוּדָ֑ה	3063	HNp	24TZE
1	2	12		בִּ/שְׁלֹשׁ	b/7969	HR/Acfsa	24thY
1	2	13		עֶשְׂרֵ֥ה	6240	HAcfsa	24JM7
1	2	14		שָׁנָ֖ה	8141	HNcfsa	24fpo
1	2	15		לְ/מָלְכֽ/וֹ	l/4427 a	HR/Vqc/Sp3ms	24W26
1	3	1		וַ/יְהִ֗י	c/1961	HC/Vqw3ms	24yw4
1	3	2		בִּ/ימֵ֨י	b/3117	HR/Ncmpc	24jbg
1	3	3		יְהוֹיָקִ֤ים	3079	HNp	24USR
1	3	4		בֶּן	1121 a	HNcmsc	24v6U
1	3	5		יֹאשִׁיָּ֨הוּ֙	2977	HNp	245SS
1	3	6		מֶ֣לֶךְ	4428	HNcmsc	24GzE
1	3	7		יְהוּדָ֔ה	3063	HNp	24qCU
1	3	8		עַד	5704	HR	24g2y
1	3	9		תֹּם֙	8552	HVqc	24jQb
1	3	10		עַשְׁתֵּ֣י	6249	HAobpc	24794
1	3	11		עֶשְׂרֵ֣ה	6240	HAcfsa	24CsU
1	3	12		שָׁנָ֔ה	8141	HNcfsa	24XR4
1	3	13		לְ/צִדְקִיָּ֥הוּ	l/6667	HR/Np	24KvS
1	3	14		בֶן	1121 a	HNcmsc	24dBc
1	3	15		יֹאשִׁיָּ֖הוּ	2977	HNp	24nAB
1	3	16		מֶ֣לֶךְ	4428	HNcmsc	24kfX
1	3	17		יְהוּדָ֑ה	3063	HNp	24Wkf
1	3	18		עַד	5704	HR	24wrL
1	3	19		גְּל֥וֹת	1540	HVqc	243TL
1	3	20		יְרוּשָׁלִַ֖ם	3389	HNp	24LeN
1	3	21		בַּ/חֹ֥דֶשׁ	b/2320	HRd/Ncmsa	24sMn
1	3	22		הַ/חֲמִישִֽׁי	d/2549	HTd/Aomsa	24Y3z
1	4	1		וַ/יְהִ֥י	c/1961	HC/Vqw3ms	24NQN
1	4	2		דְבַר	1697	HNcmsc	24uLf
1	4	3		יְהוָ֖ה	3068	HNp	24kA7
1	4	4		אֵלַ֥/י	413	HR/Sp1cs	243TS
1	4	5		לֵ/אמֹֽר	l/559	HR/Vqc	24NFp
1	5	1		בְּ/טֶ֨רֶם	b/2962	HR/D	247am
1	5	2	x-ketiv	אצור/ך	3335	HVqi1cs/Sp2ms	24hh7
1	5	3		אֶצָּרְ/ךָ֤	3335	HVqi1cs/Sp2ms	24BsK
1	5	4		בַ/בֶּ֨טֶן֙	b/990	HRd/Ncfsa	24fsu
1	5	5		יְדַעְתִּ֔י/ךָ	3045	HVqp1cs/Sp2ms	248M6
1	5	6		וּ/בְ/טֶ֛רֶם	c/b/2962	HC/R/D	24wM5
1	5	7		תֵּצֵ֥א	3318	HVqi2ms	24qty
1	5	8		מֵ/רֶ֖חֶם	m/7358	HR/Ncmsa	245gQ
1	5	9		הִקְדַּשְׁתִּ֑י/ךָ	6942	HVhp1cs/Sp2ms	24Xw6
1	5	10		נָבִ֥יא	5030	HNcmsa	24eHJ
1	5	11		לַ/גּוֹיִ֖ם	l/1471 a	HRd/Ncmpa	24H6L
1	5	12		נְתַתִּֽי/ךָ	5414	HVqp1cs/Sp2ms	24bmv
1	6	1		וָ/אֹמַ֗ר	c/559	HC/Vqw1cs	24FV9
1	6	2		אֲהָהּ֙	162	HTj	24Xm1
1	6	3		אֲדֹנָ֣/י	136	HNcmpc/Sp1cs	24UE6
1	6	4		יְהֹוִ֔ה	3069	HNp	24goK
1	6	5		הִנֵּ֥ה	2009	HTm	24CyH
1	6	6		לֹא	3808	HTn	24A4a
1	6	7		יָדַ֖עְתִּי	3045	HVqp1cs	245Pr
1	6	8		דַּבֵּ֑ר	1696	HVpc	24L4k
1	6	9		כִּי	3588 a	HC	24Mnv
1	6	10		נַ֖עַר	5288	HNcmsa	24mwU
1	6	11		אָנֹֽכִי	595	HPp1cs	24tKT
1	7	1		וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms	24NRT
1	7	2		יְהוָה֙	3068	HNp	24sRU
1	7	3		אֵלַ֔/י	413	HR/Sp1cs	24Wxq
1	7	4		אַל	408	HTn	249qY
1	7	5		תֹּאמַ֖ר	559	HVqj2ms	24n5f
1	7	6		נַ֣עַר	5288	HNcmsa	24YUq
1	7	7		אָנֹ֑כִי	595	HPp1cs	24fQr
1	7	8		כִּ֠י	3588 a	HC	24L7t
1	7	9		עַֽל	5921 a	HR	24A74
1	7	10		כָּל	3605	HNcmsc	24dNE
1	7	11		אֲשֶׁ֤ר	834 a	HTr	24xdF
1	7	12		אֶֽשְׁלָחֲ/ךָ֙	7971	HVqi1cs/Sp2ms	24AYg
1	7	13		תֵּלֵ֔ךְ	3212	HVqi2ms	24Ls9
1	7	14		וְ/אֵ֛ת	c/853	HC/To	24Snp
1	7	15		כָּל	3605	HNcmsc	2487B
1	7	16		אֲשֶׁ֥ר	834 a	HTr	24nLp
1	7	17		אֲצַוְּ/ךָ֖	6680	HVpi1cs/Sp2ms	24PzC
1	7	18		תְּדַבֵּֽר	1696	HVpi2ms	24NPq
1	8	1		אַל	408	HTn	24d5m
1	8	2		תִּירָ֖א	3372	HVqj2ms	24BYa
1	8	3		מִ/פְּנֵי/הֶ֑ם	m/6440	HR/Ncbpc/Sp3mp	24LJh
1	8	4		כִּֽי	3588 a	HC	24tRR
1	8	5		אִתְּ/ךָ֥	854	HR/Sp2ms	24Q7E
1	8	6		אֲנִ֛י	589	HPp1cs	24dv1
1	8	7		לְ/הַצִּלֶ֖/ךָ	l/5337	HR/Vhc/Sp2ms	24QwM
1	8	8		נְאֻם	5002	HNcmsc	24a62
1	8	9		יְהוָֽה	3068	HNp	24KvD
1	9	1		וַ/יִּשְׁלַ֤ח	c/7971	HC/Vqw3ms	24GLz
1	9	2		יְהוָה֙	3068	HNp	24BU7
1	9	3		אֶת	853	HTo	24iy2
1	9	4		יָד֔/וֹ	3027	HNcbsc/Sp3ms	24zQ2
1	9	5		וַ/יַּגַּ֖ע	c/5060	HC/Vhw3ms	24Wxx
1	9	6		עַל	5921 a	HR	24jQ8
1	9	7		פִּ֑/י	6310	HNcmsc/Sp1cs	24Haa
1	9	8		וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms	24fJN
1	9	9		יְהוָה֙	3068	HNp	249KV
1	9	10		אֵלַ֔/י	413	HR/Sp1cs	24F1s
1	9	11		הִנֵּ֛ה	2009	HTm	24dns
1	9	12		נָתַ֥תִּי	5414	HVqp1cs	24GK3
1	9	13		דְבָרַ֖/י	1697	HNcmpc/Sp1cs	24nRZ
1	9	14		בְּ/פִֽי/ךָ	b/6310	HR/Ncmsc/Sp2ms	24cpb
1	10	1		רְאֵ֞ה	7200	HVqv2ms	24zio
1	10	2		הִפְקַדְתִּ֣י/ךָ	6485 a	HVhp1cs/Sp2ms	24Qsh
