chapter	verse	word	type	surface	lemma	morph	id
1	1	1		אִ֛ישׁ	376	HNcmsa	18xeN
1	1	2		הָיָ֥ה	1961	HVqp3ms	18Nvk
1	1	3		בְ/אֶֽרֶץ	b/776	HR/Ncbsc	18TyA
1	1	4		ע֖וּץ	5780	HNp	18vuQ
1	1	5		אִיּ֣וֹב	347	HNp	18TSc
1	1	6		שְׁמ֑/וֹ	8034	HNcmsc/Sp3ms	18k5P
1	1	7		וְ/הָיָ֣ה	c/1961	HC/Vqp3ms	18nPh
1	1	8		הָ/אִ֣ישׁ	d/376	HTd/Ncmsa	18LN3
1	1	9		הַ/ה֗וּא	d/1931	HTd/Pp3ms	18Qzf
1	1	10		תָּ֧ם	8535	HAamsa	18aPd
1	1	11		וְ/יָשָׁ֛ר	c/3477	HC/Aamsa	18eYX
1	1	12		וִ/ירֵ֥א	c/3373	HC/Aamsc	18C5U
1	1	13		אֱלֹהִ֖ים	430	HNcmpa	18qNN
1	1	14		וְ/סָ֥ר	c/5493	HC/Vqrmsa	18EVS
1	1	15		מֵ/רָֽע	m/7451 b	HR/Aamsa	18PB6
1	2	1		וַ/יִּוָּ֥לְדוּ	c/3205	HC/VNw3mp	1837c
1	2	2		ל֛/וֹ	l	HR/Sp3ms	18x9c
1	2	3		שִׁבְעָ֥ה	7651	HAcmsa	18yNB
1	2	4		בָנִ֖ים	1121 a	HNcmpa	1829t
1	2	5		וְ/שָׁל֥וֹשׁ	c/7969	HC/Acfsa	18KZG
1	2	6		בָּנֽוֹת	1323	HNcfpa	18TZE
1	3	1		וַ/יְהִ֣י	c/1961	HC/Vqw3ms	18thY
1	3	2		מִ֠קְנֵ/הוּ	4735	HNcmsc/Sp3ms	18JM7
1	3	3		שִֽׁבְעַ֨ת	7651	HAcmsc	18fpo
1	3	4		אַלְפֵי	505	HAcbpc	18W26
1	3	5		צֹ֜אן	6629	HNcbsa	18yw4
1	3	6		וּ/שְׁלֹ֧שֶׁת	c/7969	HC/Acmsc	18jbg
1	3	7		אַלְפֵ֣י	505	HAcbpc	18USR
1	3	8		גְמַלִּ֗ים	1581	HNcmpa	18v6U
1	3	9		וַ/חֲמֵ֨שׁ	c/2568	HC/Acfsa	185SS
1	3	10		מֵא֤וֹת	3967	HAcbpa	18GzE
1	3	11		צֶֽמֶד	6776	HNcmsc	18qCU
1	3	12		בָּקָר֙	1241	HNcbsa	18g2y
1	3	13		וַ/חֲמֵ֣שׁ	c/2568	HC/Acfsa	18jQb
1	3	14		מֵא֣וֹת	3967	HAcbpa	18794
1	3	15		אֲתוֹנ֔וֹת	860	HNcfpa	18CsU
1	3	16		וַ/עֲבֻדָּ֖ה	c/5657	HC/Ncfsa	18XR4
1	3	17		רַבָּ֣ה	7227 a	HAafsa	18KvS
1	3	18		מְאֹ֑ד	3966	HD	18dBc
1	3	19		וַ/יְהִי֙	c/1961	HC/Vqw3ms	18nAB
1	3	20		הָ/אִ֣ישׁ	d/376	HTd/Ncmsa	18kfX
1	3	21		הַ/ה֔וּא	d/1931	HTd/Pp3ms	18Wkf
1	3	22		גָּד֖וֹל	1419 a	HAamsa	18wrL
1	3	23		מִ/כָּל	m/3605	HR/Ncmsc	183TL
1	3	24		בְּנֵי	1121 a	HNcmpc	18LeN
