chapter	verse	word	type	surface	lemma	morph	id
1	1	1		דְּבַר	1697	HNcmsc	29xeN
1	1	2		יְהוָה֙	3068	HNp	29Nvk
1	1	3		אֲשֶׁ֣ר	834 a	HTr	29TyA
1	1	4		הָיָ֔ה	1961	HVqp3ms	29vuQ
1	1	5		אֶל	413	HR	29TSc
1	1	6		יוֹאֵ֖ל	3100	HNp	29k5P
1	1	7		בֶּן	1121 a	HNcmsc	29nPh
1	1	8		פְּתוּאֵֽל	6602	HNp	29LN3
1	2	1		שִׁמְעוּ	8085	HVqv2mp	29Qzf
1	2	2		זֹאת֙	2063	HPdxfs	29aPd
1	2	3		הַ/זְּקֵנִ֔ים	d/2205	HTd/Aampa	29eYX
1	2	4		וְ/הַֽאֲזִ֔ינוּ	c/238	HC/Vhv2mp	29C5U
1	2	5		כֹּ֖ל	3605	HNcmsc	29qNN
1	2	6		יוֹשְׁבֵ֣י	3427	HVqrmpc	29EVS
1	2	7		הָ/אָ֑רֶץ	d/776	HTd/Ncbsa	29PB6
1	2	8		הֶ/הָ֤יְתָה	d/1961	HTi/Vqp3fs	2937c
1	2	9		זֹּאת֙	2063	HPdxfs	29x9c
1	2	10		בִּֽ/ימֵי/כֶ֔ם	b/3117	HR/Ncmpc/Sp2mp	29yNB
1	2	11		וְ/אִ֖ם	c/518 a	HC/C	2929t
1	2	12		בִּ/ימֵ֥י	b/3117	HR/Ncmpc	29KZG
1	2	13		אֲבֹֽתֵי/כֶֽם	1	HNcmpc/Sp2mp	29TZE
1	3	1		עָלֶ֖/יהָ	5921 a	HR/Sp3fs	29thY
1	3	2		לִ/בְנֵי/כֶ֣ם	l/1121 a	HR/Ncmpc/Sp2mp	29JM7
1	3	3		סַפֵּ֑רוּ	5608 a	HVpv2mp	29fpo
1	3	4		וּ/בְנֵי/כֶם֙	c/1121 a	HC/Ncmpc/Sp2mp	29W26
1	3	5		לִ/בְנֵי/הֶ֔ם	l/1121 a	HR/Ncmpc/Sp3mp	29yw4
1	3	6		וּ/בְנֵי/הֶ֖ם	c/1121 a	HC/Ncmpc/Sp3mp	29jbg
1	3	7		לְ/ד֥וֹר	l/1755	HR/Ncmsa	29USR
1	3	8		אַחֵֽר	312	HAamsa	29v6U
1	4	1		יֶ֤תֶר	3499 a	HNcmsc	295SS
1	4	2		הַ/גָּזָם֙	d/1501	HTd/Ncmsa	29GzE
1	4	3		אָכַ֣ל	398	HVqp3ms	29qCU
1	4	4		הָֽ/אַרְבֶּ֔ה	d/697	HTd/Ncmsa	29g2y
1	4	5		וְ/יֶ֥תֶר	c/3499 a	HC/Ncmsc	29jQb
1	4	6		הָ/אַרְבֶּ֖ה	d/697	HTd/Ncmsa	29794
1	4	7		אָכַ֣ל	398	HVqp3ms	29CsU
1	4	8		הַ/יָּ֑לֶק	d/3218	HTd/Ncmsa	29XR4
1	4	9		וְ/יֶ֣תֶר	c/3499 a	HC/Ncmsc	29KvS
1	4	10		הַ/יֶּ֔לֶק	d/3218	HTd/Ncmsa	29dBc
1	4	11		אָכַ֖ל	398	HVqp3ms	29nAB
1	4	12		הֶ/חָסִֽיל	d/2625	HTd/Ncmsa	29kfX
1	5	1		הָקִ֤יצוּ	6974	HVhv2mp	29Wkf
1	5	2		שִׁכּוֹרִים֙	7910	HAampa	29wrL
1	5	3		וּ/בְכ֔וּ	c/1058	HC/Vqv2mp	293TL
1	5	4		וְ/הֵילִ֖לוּ	c/3213	HC/Vhv2mp	29LeN
1	5	5		כָּל	3605	HNcmsc	29sMn
1	5	6		שֹׁ֣תֵי	8354	HVqrmpc	29Y3z
1	5	7		יָ֑יִן	3196	HNcmsa	29NQN
1	5	8		עַל	5921 a	HR	29uLf
1	5	9		עָסִ֕יס	6071	HNcmsa	29kA7
1	5	10		כִּ֥י	3588 a	HC	293TS
1	5	11		נִכְרַ֖ת	3772	HVNp3ms	29NFp
1	5	12		מִ/פִּי/כֶֽם	m/6310	HR/Ncmsc/Sp2mp	297am
1	6	1		כִּֽי	3588 a	HC	29hh7
1	6	2		גוֹי֙	1471 a	HNcmsa	29BsK
1	6	3		עָלָ֣ה	5927	HVqp3ms	29fsu
1	6	4		עַל	5921 a	HR	298M6
1	6	5		אַרְצִ֔/י	776	HNcbsc/Sp1cs	29wM5
1	6	6		עָצ֖וּם	6099	HAamsa	29qty
1	6	7		וְ/אֵ֣ין	c/369	HC/Tn	295gQ
1	6	8		מִסְפָּ֑ר	4557	HNcmsa	29Xw6
1	6	9		שִׁנָּי/ו֙	8127	HNcbdc/Sp3ms	29eHJ
1	6	10		שִׁנֵּ֣י	8127	HNcbdc	29H6L
1	6	11		אַרְיֵ֔ה	738 b	HNcmsa	29bmv
1	6	12		וּֽ/מְתַלְּע֥וֹת	c/4973	HC/Ncfpc	29FV9
1	6	13		לָבִ֖יא	3833 c	HNcbsa	29Xm1
1	6	14		לֽ/וֹ	l	HR/Sp3ms	29UE6
1	7	1		שָׂ֤ם	7760 a	HVqp3ms	29goK
1	7	2		גַּפְנִ/י֙	1612	HNcbsc/Sp1cs	29CyH
1	7	3		לְ/שַׁמָּ֔ה	l/8047	HR/Ncfsa	29A4a
1	7	4		וּ/תְאֵנָתִ֖/י	c/8384	HC/Ncfsc/Sp1cs	295Pr
1	7	5		לִ/קְצָפָ֑ה	l/7111	HR/Ncfsa	29L4k
1	7	6		חָשֹׂ֤ף	2834	HVqa	29Mnv
1	7	7		חֲשָׂפָ/הּ֙	2834	HVqp3ms/Sp3fs	29mwU
1	7	8		וְ/הִשְׁלִ֔יךְ	c/7993	HC/Vhp3ms	29tKT
1	7	9		הִלְבִּ֖ינוּ	3835 a	HVhp3cp	29NRT
1	7	10		שָׂרִיגֶֽי/הָ	8299	HNcmpc/Sp3fs	29sRU
1	8	1		אֱלִ֕י	421	HVqv2fs	29Wxq
1	8	2		כִּ/בְתוּלָ֥ה	k/1330	HR/Ncfsa	299qY
1	8	3		חֲגֻֽרַת	2296	HVqsfsc	29n5f
1	8	4		שַׂ֖ק	8242	HNcmsa	29YUq
1	8	5		עַל	5921 a	HR	29fQr
1	8	6		בַּ֥עַל	1167	HNcmsc	29L7t
1	8	7		נְעוּרֶֽי/הָ	5271 a	HNcbpc/Sp3fs	29A74
1	9	1		הָכְרַ֥ת	3772	HVHp3ms	29dNE
1	9	2		מִנְחָ֛ה	4503	HNcfsa	29xdF
1	9	3		וָ/נֶ֖סֶךְ	c/5262	HC/Ncmsa	29AYg
1	9	4		מִ/בֵּ֣ית	m/1004 b	HR/Ncmsc	29Ls9
1	9	5		יְהוָ֑ה	3068	HNp	29Snp
1	9	6		אָֽבְלוּ֙	56	HVqp3cp	2987B
1	9	7		הַ/כֹּ֣הֲנִ֔ים	d/3548	HTd/Ncmpa	29nLp
1	9	8		מְשָׁרְתֵ֖י	8334	HVprmpc	29PzC
1	9	9		יְהוָֽה	3068	HNp	29NPq
1	10	1		שֻׁדַּ֣ד	7703	HVPp3ms	29d5m
1	10	2		שָׂדֶ֔ה	7704 b	HNcmsa	29BYa
1	10	3		אָבְלָ֖ה	56	HVqp3fs	29LJh
1	10	4		אֲדָמָ֑ה	127	HNcfsa	29tRR
1	10	5		כִּ֚י	3588 a	HC	29Q7E
1	10	6		שֻׁדַּ֣ד	7703	HVPp3ms	29dv1
1	10	7		דָּגָ֔ן	1715	HNcmsa	29QwM
1	10	8		הוֹבִ֥ישׁ	3001	HVhp3ms	29a62
1	10	9		תִּיר֖וֹשׁ	8492	HNcmsa	29KvD
1	10	10		אֻמְלַ֥ל	535	HVKp3ms	29GLz
1	10	11		יִצְהָֽר	3323	HNcmsa	29BU7
1	11	1		הֹבִ֣ישׁוּ	954	HVhv2mp	29iy2
1	11	2		אִכָּרִ֗ים	406	HNcmpa	29zQ2
1	11	3		הֵילִ֨ילוּ֙	3213	HVhv2mp	29Wxx
1	11	4		כֹּֽרְמִ֔ים	3755	HNcmpa	29jQ8
1	11	5		עַל	5921 a	HR	29Haa
1	11	6		חִטָּ֖ה	2406	HNcfsa	29fJN
