chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַֽ/יְהִי֙	c/1961	HC/Vqw3ms	32xeN
1	1	2		דְּבַר	1697	HNcmsc	32Nvk
1	1	3		יְהוָ֔ה	3068	HNp	32TyA
1	1	4		אֶל	413	HR	32vuQ
1	1	5		יוֹנָ֥ה	3124	HNp	32TSc
1	1	6		בֶן	1121 a	HNcmsc	32k5P
1	1	7		אֲמִתַּ֖י	573	HNp	32nPh
1	1	8		לֵ/אמֹֽר	l/559	HR/Vqc	32LN3
1	2	1		ק֠וּם	6965 b	HVqv2ms	32Qzf
1	2	2		לֵ֧ךְ	3212	HVqv2ms	32aPd
1	2	3		אֶל	413	HR	32eYX
1	2	4		נִֽינְוֵ֛ה	5210	HNp	32C5U
1	2	5		הָ/עִ֥יר	d/5892 b	HTd/Ncfsa	32qNN
1	2	6		הַ/גְּדוֹלָ֖ה	d/1419 a	HTd/Aafsa	32EVS
1	2	7		וּ/קְרָ֣א	c/7121	HC/Vqv2ms	32PB6
1	2	8		עָלֶ֑י/הָ	5921 a	HR/Sp3fs	3237c
1	2	9		כִּֽי	3588 a	HC	32x9c
1	2	10		עָלְתָ֥ה	5927	HVqp3fs	32yNB
1	2	11		רָעָתָ֖/ם	7451 c	HNcfsc/Sp3mp	3229t
1	2	12		לְ/פָנָֽ/י	l/6440	HR/Ncbpc/Sp1cs	32KZG
1	3	1		וַ/יָּ֤קָם	c/6965 b	HC/Vqw3ms	32TZE
1	3	2		יוֹנָה֙	3124	HNp	32thY
1	3	3		לִ/בְרֹ֣חַ	l/1272	HR/Vqc	32JM7
1	3	4		תַּרְשִׁ֔ישָׁ/ה	8659	HNp/Sd	32fpo
1	3	5		מִ/לִּ/פְנֵ֖י	m/l/6440	HR/R/Ncbpc	32W26
1	3	6		יְהוָ֑ה	3068	HNp	32yw4
1	3	7		וַ/יֵּ֨רֶד	c/3381	HC/Vqw3ms	32jbg
1	3	8		יָפ֜וֹ	3305	HNp	32USR
1	3	9		וַ/יִּמְצָ֥א	c/4672	HC/Vqw3ms	32v6U
1	3	10		אָנִיָּ֣ה	591	HNcfsa	325SS
1	3	11		בָּאָ֣ה	935	HVqrfsa	32GzE
1	3	12		תַרְשִׁ֗ישׁ	8659	HNp	32qCU
1	3	13		וַ/יִּתֵּ֨ן	c/5414	HC/Vqw3ms	32g2y
1	3	14		שְׂכָרָ֜/הּ	7939	HNcmsc/Sp3fs	32jQb
1	3	15		וַ/יֵּ֤רֶד	c/3381	HC/Vqw3ms	32794
1	3	16		בָּ/הּ֙	b	HR/Sp3fs	32CsU
1	3	17		לָ/ב֤וֹא	l/935	HR/Vqc	32XR4
1	3	18		עִמָּ/הֶם֙	5973 a	HR/Sp3mp	32KvS
1	3	19		תַּרְשִׁ֔ישָׁ/ה	8659	HNp/Sd	32dBc
1	3	20		מִ/לִּ/פְנֵ֖י	m/l/6440	HR/R/Ncbpc	32nAB
1	3	21		יְהוָֽה	3068	HNp	32kfX
1	4	1		וַֽ/יהוָ֗ה	c/3068	HC/Np	32Wkf
1	4	2		הֵטִ֤יל	2904	HVhp3ms	32wrL
1	4	3		רֽוּחַ	7307	HNcbsa	323TL
1	4	4		גְּדוֹלָה֙	1419 a	HAafsa	32LeN
1	4	5		אֶל	413	HR	32sMn
1	4	6		הַ/יָּ֔ם	d/3220	HTd/Ncmsa	32Y3z
1	4	7		וַ/יְהִ֥י	c/1961	HC/Vqw3ms	32NQN
1	4	8		סַֽעַר	5591 a	HNcmsa	32uLf
1	4	9		גָּד֖וֹל	1419 a	HAamsa	32kA7
1	4	10		בַּ/יָּ֑ם	b/3220	HRd/Ncmsa	323TS
1	4	11		וְ/הָ֣/אֳנִיָּ֔ה	c/d/591	HC/Td/Ncfsa	32NFp
1	4	12		חִשְּׁבָ֖ה	2803	HVpp3fs	327am
1	4	13		לְ/הִשָּׁבֵֽר	l/7665	HR/VNc	32hh7
1	5	1		וַ/יִּֽירְא֣וּ	c/3372	HC/Vqw3mp	32BsK
1	5	2		הַ/מַּלָּחִ֗ים	d/4419	HTd/Ncmpa	32fsu
1	5	3		וַֽ/יִּזְעֲקוּ֮	c/2199	HC/Vqw3mp	328M6
1	5	4		אִ֣ישׁ	376	HNcmsa	32wM5
1	5	5		אֶל	413	HR	32qty
1	5	6		אֱלֹהָי/ו֒	430	HNcmpc/Sp3ms	325gQ
1	5	7		וַ/יָּטִ֨לוּ	c/2904	HC/Vhw3mp	32Xw6
1	5	8		אֶת	853	HTo	32eHJ
