chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַ/יְהִ֗י	c/1961	HC/Vqw3ms	06xeN
1	1	2		אַחֲרֵ֛י	310 a	HR	06Nvk
1	1	3		מ֥וֹת	4194	HNcmsc	06TyA
1	1	4		מֹשֶׁ֖ה	4872	HNp	06vuQ
1	1	5		עֶ֣בֶד	5650	HNcmsc	06TSc
1	1	6		יְהוָ֑ה	3068	HNp	06k5P
1	1	7		וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms	06nPh
1	1	8		יְהוָה֙	3068	HNp	06LN3
1	1	9		אֶל	413	HR	06Qzf
1	1	10		יְהוֹשֻׁ֣עַ	3091	HNp	06aPd
1	1	11		בִּן	1121 a	HNcmsc	06eYX
1	1	12		נ֔וּן	5126	HNp	06C5U
1	1	13		מְשָׁרֵ֥ת	8334	HVprmsc	06qNN
1	1	14		מֹשֶׁ֖ה	4872	HNp	06EVS
1	1	15		לֵ/אמֹֽר	l/559	HR/Vqc	06PB6
1	2	1		מֹשֶׁ֥ה	4872	HNp	0637c
1	2	2		עַבְדִּ֖/י	5650	HNcmsc/Sp1cs	06x9c
1	2	3		מֵ֑ת	4191	HVqp3ms	06yNB
1	2	4		וְ/עַתָּה֩	c/6258	HC/D	0629t
1	2	5		ק֨וּם	6965 b	HVqv2ms	06KZG
1	2	6		עֲבֹ֜ר	5674 a	HVqv2ms	06TZE
1	2	7		אֶת	853	HTo	06thY
1	2	8		הַ/יַּרְדֵּ֣ן	d/3383	HTd/Np	06JM7
1	2	9		הַ/זֶּ֗ה	d/2088	HTd/Pdxms	06fpo
1	2	10		אַתָּה֙	859 a	HPp2ms	06W26
1	2	11		וְ/כָל	c/3605	HC/Ncmsc	06yw4
1	2	12		הָ/עָ֣ם	d/5971 a	HTd/Ncmsa	06jbg
1	2	13		הַ/זֶּ֔ה	d/2088	HTd/Pdxms	06USR
1	2	14		אֶל	413	HR	06v6U
1	2	15		הָ/אָ֕רֶץ	d/776	HTd/Ncbsa	065SS
1	2	16		אֲשֶׁ֧ר	834 a	HTr	06GzE
1	2	17		אָנֹכִ֛י	595	HPp1cs	06qCU
1	2	18		נֹתֵ֥ן	5414	HVqrmsa	06g2y
1	2	19		לָ/הֶ֖ם	l	HR/Sp3mp	06jQb
1	2	20		לִ/בְנֵ֥י	l/1121 a	HR/Ncmpc	06794
1	2	21		יִשְׂרָאֵֽל	3478	HNp	06CsU
1	3	1		כָּל	3605	HNcmsc	06XR4
1	3	2		מָק֗וֹם	4725	HNcmsa	06KvS
1	3	3		אֲשֶׁ֨ר	834 a	HTr	06dBc
1	3	4		תִּדְרֹ֧ךְ	1869	HVqi3fs	06nAB
1	3	5		כַּֽף	3709	HNcfsc	06kfX
1	3	6		רַגְלְ/כֶ֛ם	7272	HNcfsc/Sp2mp	06Wkf
1	3	7		בּ֖/וֹ	b	HR/Sp3ms	06wrL
1	3	8		לָ/כֶ֣ם	l	HR/Sp2mp	063TL
1	3	9		נְתַתִּ֑י/ו	5414	HVqp1cs/Sp3ms	06LeN
1	3	10		כַּ/אֲשֶׁ֥ר	k/834 d	HR/Tr	06sMn
1	3	11		דִּבַּ֖רְתִּי	1696	HVpp1cs	06Y3z
1	3	12		אֶל	413	HR	06NQN
1	3	13		מֹשֶֽׁה	4872	HNp	06uLf
1	4	1		מֵ/הַ/מִּדְבָּר֩	m/d/4057 b	HR/Td/Ncmsa	06kA7
1	4	2		וְ/הַ/לְּבָנ֨וֹן	c/d/3844	HC/Td/Np	063TS
1	4	3		הַ/זֶּ֜ה	d/2088	HTd/Pdxms	06NFp
1	4	4		וְֽ/עַד	c/5704	HC/R	067am
1	4	5		הַ/נָּהָ֧ר	d/5104	HTd/Ncmsa	06hh7
