chapter	verse	word	type	surface	lemma	morph	id
1	1	1		אֵיכָ֣ה	349 b	HTi	25xeN
1	1	2		יָשְׁבָ֣ה	3427	HVqp3fs	25Nvk
1	1	3		בָדָ֗ד	910	HNcmsa	25TyA
1	1	4		הָ/עִיר֙	d/5892 b	HTd/Ncfsa	25vuQ
1	1	5		רַבָּ֣תִי	7227 a	HAafsc	25TSc
1	1	6		עָ֔ם	5971 a	HNcmsa	25k5P
1	1	7		הָיְתָ֖ה	1961	HVqp3fs	25nPh
1	1	8		כְּ/אַלְמָנָ֑ה	k/490	HR/Ncfsa	25LN3
1	1	9		רַּבָּ֣תִי	7227 a	HAafsc	25Qzf
1	1	10		בַ/גּוֹיִ֗ם	b/1471 a	HRd/Ncmpa	25aPd
1	1	11		שָׂרָ֨תִי֙	8282	HNcfsc	25eYX
1	1	12		בַּ/מְּדִינ֔וֹת	b/4082	HRd/Ncfpa	25C5U
1	1	13		הָיְתָ֖ה	1961	HVqp3fs	25qNN
1	1	14		לָ/מַֽס	l/4522	HR/Ncmsa	25EVS
1	2	1		בָּכ֨וֹ	1058	HVqa	25PB6
1	2	2		תִבְכֶּ֜ה	1058	HVqi3fs	2537c
1	2	3		בַּ/לַּ֗יְלָה	b/3915	HRd/Ncmsa	25x9c
1	2	4		וְ/דִמְעָתָ/הּ֙	c/1832	HC/Ncfsc/Sp3fs	25yNB
1	2	5		עַ֣ל	5921 a	HR	2529t
1	2	6		לֶֽחֱיָ֔/הּ	3895	HNcbsc/Sp3fs	25KZG
1	2	7		אֵֽין	369	HTn	25TZE
1	2	8		לָ֥/הּ	l	HR/Sp3fs	25thY
1	2	9		מְנַחֵ֖ם	5162	HVprmsa	25JM7
1	2	10		מִ/כָּל	m/3605	HR/Ncmsc	25fpo
1	2	11		אֹהֲבֶ֑י/הָ	157	HVqrmpc/Sp3fs	25W26
1	2	12		כָּל	3605	HNcmsc	25yw4
1	2	13		רֵעֶ֨י/הָ֙	7453	HNcmpc/Sp3fs	25jbg
1	2	14		בָּ֣גְדוּ	898	HVqp3cp	25USR
1	2	15		בָ֔/הּ	b	HR/Sp3fs	25v6U
1	2	16		הָ֥יוּ	1961	HVqp3cp	255SS
1	2	17		לָ֖/הּ	l	HR/Sp3fs	25GzE
1	2	18		לְ/אֹיְבִֽים	l/341	HR/Vqrmpa	25qCU
1	3	1		גָּֽלְתָ֨ה	1540	HVqp3fs	25g2y
1	3	2		יְהוּדָ֤ה	3063	HNp	25jQb
1	3	3		מֵ/עֹ֨נִי֙	m/6040	HR/Ncmsa	25794
1	3	4		וּ/מֵ/רֹ֣ב	c/m/7230	HC/R/Ncbsc	25CsU
1	3	5		עֲבֹדָ֔ה	5656	HNcfsa	25XR4
1	3	6		הִ֚יא	1931	HPp3fs	25KvS
1	3	7		יָשְׁבָ֣ה	3427	HVqp3fs	25dBc
1	3	8		בַ/גּוֹיִ֔ם	b/1471 a	HRd/Ncmpa	25nAB
1	3	9		לֹ֥א	3808	HTn	25kfX
1	3	10		מָצְאָ֖ה	4672	HVqp3fs	25Wkf
1	3	11		מָנ֑וֹחַ	4494	HNcbsa	25wrL
1	3	12		כָּל	3605	HNcmsc	253TL
1	3	13		רֹדְפֶ֥י/הָ	7291	HVqrmpc/Sp3fs	25LeN
1	3	14		הִשִּׂיג֖וּ/הָ	5381	HVhp3cp/Sp3fs	25sMn
1	3	15		בֵּ֥ין	996	HR	25Y3z
1	3	16		הַ/מְּצָרִֽים	d/4712	HTd/Ncmpa	25NQN
1	4	1		דַּרְכֵ֨י	1870	HNcbpc	25uLf
1	4	2		צִיּ֜וֹן	6726	HNp	25kA7
1	4	3		אֲבֵל֗וֹת	57	HAafpa	253TS
1	4	4		מִ/בְּלִי֙	m/1097	HR/Ncmsc	25NFp
1	4	5		בָּאֵ֣י	935	HVqrmpc	257am
1	4	6		מוֹעֵ֔ד	4150	HNcmsa	25hh7
1	4	7		כָּל	3605	HNcmsc	25BsK
1	4	8		שְׁעָרֶ֨י/הָ֙	8179	HNcmpc/Sp3fs	25fsu
1	4	9		שֽׁוֹמֵמִ֔ין	8074	HVqrmpa	258M6
1	4	10		כֹּהֲנֶ֖י/הָ	3548	HNcmpc/Sp3fs	25wM5
1	4	11		נֶאֱנָחִ֑ים	584	HVNsmpa	25qty
1	4	12		בְּתוּלֹתֶ֥י/הָ	1330	HNcfpc/Sp3fs	255gQ
1	4	13		נּוּג֖וֹת	3013	HVNsfpa	25Xw6
1	4	14		וְ/הִ֥יא	c/1931	HC/Pp3fs	25eHJ
1	4	15		מַר	4751	HVqp3ms	25H6L
1	4	16		לָֽ/הּ	l	HR/Sp3fs	25bmv
1	5	1		הָי֨וּ	1961	HVqp3cp	25FV9
1	5	2		צָרֶ֤י/הָ	6862 c	HNcmpc/Sp3fs	25Xm1
1	5	3		לְ/רֹאשׁ֙	l/7218 a	HR/Ncmsa	25UE6
1	5	4		אֹיְבֶ֣י/הָ	341	HVqrmpc/Sp3fs	25goK
1	5	5		שָׁל֔וּ	7951	HVqp3cp	25CyH
1	5	6		כִּֽי	3588 a	HC	25A4a
1	5	7		יְהוָ֥ה	3068	HNp	255Pr
1	5	8		הוֹגָ֖/הּ	3013	HVhp3ms/Sp3fs	25L4k
1	5	9		עַ֣ל	5921 a	HR	25Mnv
1	5	10		רֹב	7230	HNcbsc	25mwU
1	5	11		פְּשָׁעֶ֑י/הָ	6588	HNcmpc/Sp3fs	25tKT
1	5	12		עוֹלָלֶ֛י/הָ	5768	HNcmpc/Sp3fs	25NRT
1	5	13		הָלְכ֥וּ	1980	HVqp3cp	25sRU
1	5	14		שְׁבִ֖י	7628 a	HNcbsa	25Wxq
1	5	15		לִ/פְנֵי	l/6440	HR/Ncbpc	259qY
1	5	16		צָֽר	6862 c	HNcmsa	25n5f
1	6	1		וַ/יֵּצֵ֥א	c/3318	HC/Vqw3ms	25YUq
1	6	2	x-ketiv	מן	4480 a	HR	25fQr
1	6	3	x-ketiv	בת	1323	HNcfsc	25L7t
1	6	4		מִ/בַּת	m/1323	HR/Ncfsc	25A74
1	6	5		צִיּ֖וֹן	6726	HNp	25dNE
1	6	6		כָּל	3605	HNcmsc	25xdF
1	6	7		הֲדָרָ֑/הּ	1926	HNcmsc/Sp3fs	25AYg
1	6	8		הָי֣וּ	1961	HVqp3cp	25Ls9
1	6	9		שָׂרֶ֗י/הָ	8269	HNcmpc/Sp3fs	25Snp
1	6	10		כְּ/אַיָּלִים֙	k/354	HR/Ncbpa	2587B
1	6	11		לֹא	3808	HTn	25nLp
1	6	12		מָצְא֣וּ	4672	HVqp3cp	25PzC
1	6	13		מִרְעֶ֔ה	4829	HNcmsa	25NPq
1	6	14		וַ/יֵּלְכ֥וּ	c/3212	HC/Vqw3mp	25d5m
1	6	15		בְ/לֹא	b/3808	HR/Tn	25BYa
1	6	16		כֹ֖חַ	3581 b	HNcmsa	25LJh
1	6	17		לִ/פְנֵ֥י	l/6440	HR/Ncbpc	25tRR
1	6	18		רוֹדֵֽף	7291	HVqrmsa	25Q7E
1	7	1		זָֽכְרָ֣ה	2142	HVqp3fs	25dv1
1	7	2		יְרוּשָׁלִַ֗ם	3389	HNp	25QwM
1	7	3		יְמֵ֤י	3117	HNcmpc	25a62
1	7	4		עָנְיָ/הּ֙	6040	HNcmsc/Sp3fs	25KvD
1	7	5		וּ/מְרוּדֶ֔י/הָ	c/4788	HC/Ncmpc/Sp3fs	25GLz
1	7	6		כֹּ֚ל	3605	HNcmsc	25BU7
1	7	7		מַחֲמֻדֶ֔י/הָ	4262	HNcmpc/Sp3fs	25iy2
1	7	8		אֲשֶׁ֥ר	834 a	HTr	25zQ2
1	7	9		הָי֖וּ	1961	HVqp3cp	25Wxx
1	7	10		מִ֣/ימֵי	m/3117	HR/Ncmpc	25jQ8
1	7	11		קֶ֑דֶם	6924 a	HNcmsa	25Haa
1	7	12		בִּ/נְפֹ֧ל	b/5307	HR/Vqc	25fJN
1	7	13		עַמָּ֣/הּ	5971 a	HNcmsc/Sp3fs	259KV
1	7	14		בְּ/יַד	b/3027	HR/Ncbsc	25F1s
1	7	15		צָ֗ר	6862 c	HNcmsa	25dns
1	7	16		וְ/אֵ֤ין	c/369	HC/Tn	25GK3
1	7	17		עוֹזֵר֙	5826	HVqrmsa	25nRZ
1	7	18		לָ֔/הּ	l	HR/Sp3fs	25cpb
1	7	19		רָא֣וּ/הָ	7200	HVqp3cp/Sp3fs	25zio
1	7	20		צָרִ֔ים	6862 c	HNcmpa	25Qsh
1	7	21		שָׂחֲק֖וּ	7832	HVqp3cp	25zTj
1	7	22		עַ֥ל	5921 a	HR	25fPi
