chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַ/יִּקְרָ֖א	c/7121	HC/Vqw3ms	03xeN
1	1	2		אֶל	413	HR	03Nvk
1	1	3		מֹשֶׁ֑ה	4872	HNp	03TyA
1	1	4		וַ/יְדַבֵּ֤ר	c/1696	HC/Vpw3ms	03vuQ
1	1	5		יְהוָה֙	3068	HNp	03TSc
1	1	6		אֵלָ֔י/ו	413	HR/Sp3ms	03k5P
1	1	7		מֵ/אֹ֥הֶל	m/168	HR/Ncmsc	03nPh
1	1	8		מוֹעֵ֖ד	4150	HNcmsa	03LN3
1	1	9		לֵ/אמֹֽר	l/559	HR/Vqc	03Qzf
1	2	1		דַּבֵּ֞ר	1696	HVpv2ms	03aPd
1	2	2		אֶל	413	HR	03eYX
1	2	3		בְּנֵ֤י	1121 a	HNcmpc	03C5U
1	2	4		יִשְׂרָאֵל֙	3478	HNp	03qNN
1	2	5		וְ/אָמַרְתָּ֣	c/559	HC/Vqq2ms	03EVS
1	2	6		אֲלֵ/הֶ֔ם	413	HR/Sp3mp	03PB6
1	2	7		אָדָ֗ם	120	HNcmsa	0337c
1	2	8		כִּֽי	3588 a	HC	03x9c
1	2	9		יַקְרִ֥יב	7126	HVhi3ms	03yNB
1	2	10		מִ/כֶּ֛ם	m/4480 a	HR/Sp2mp	0329t
1	2	11		קָרְבָּ֖ן	7133 a	HNcmsa	03KZG
1	2	12		לַֽ/יהוָ֑ה	l/3068	HR/Np	03TZE
1	2	13		מִן	4480 a	HR	03thY
1	2	14		הַ/בְּהֵמָ֗ה	d/929	HTd/Ncfsa	03JM7
1	2	15		מִן	4480 a	HR	03fpo
1	2	16		הַ/בָּקָר֙	d/1241	HTd/Ncbsa	03W26
1	2	17		וּ/מִן	c/4480 a	HC/R	03yw4
1	2	18		הַ/צֹּ֔אן	d/6629	HTd/Ncbsa	03jbg
1	2	19		תַּקְרִ֖יבוּ	7126	HVhi2mp	03USR
1	2	20		אֶת	853	HTo	03v6U
1	2	21		קָרְבַּנְ/כֶֽם	7133 a	HNcmsc/Sp2mp	035SS
1	3	1		אִם	518 a	HC	03GzE
1	3	2		עֹלָ֤ה	5930 a	HNcfsa	03qCU
1	3	3		קָרְבָּנ/וֹ֙	7133 a	HNcmsc/Sp3ms	03g2y
1	3	4		מִן	4480 a	HR	03jQb
1	3	5		הַ/בָּקָ֔ר	d/1241	HTd/Ncbsa	03794
1	3	6		זָכָ֥ר	2145	HAamsa	03CsU
1	3	7		תָּמִ֖ים	8549	HAamsa	03XR4
1	3	8		יַקְרִיבֶ֑/נּוּ	7126	HVhi3ms/Sp3ms	03KvS
1	3	9		אֶל	413	HR	03dBc
1	3	10		פֶּ֝תַח	6607	HNcmsc	03nAB
1	3	11		אֹ֤הֶל	168	HNcmsc	03kfX
1	3	12		מוֹעֵד֙	4150	HNcmsa	03Wkf
1	3	13		יַקְרִ֣יב	7126	HVhi3ms	03wrL
1	3	14		אֹת֔/וֹ	853	HTo/Sp3ms	033TL
1	3	15		לִ/רְצֹנ֖/וֹ	l/7522	HR/Ncmsc/Sp3ms	03LeN
1	3	16		לִ/פְנֵ֥י	l/6440	HR/Ncbpc	03sMn
1	3	17		יְהוָֽה	3068	HNp	03Y3z
1	4	1		וְ/סָמַ֣ךְ	c/5564	HC/Vqq3ms	03NQN
1	4	2		יָד֔/וֹ	3027	HNcbsc/Sp3ms	03uLf
1	4	3		עַ֖ל	5921 a	HR	03kA7
1	4	4		רֹ֣אשׁ	7218 a	HNcmsc	033TS
1	4	5		הָ/עֹלָ֑ה	d/5930 a	HTd/Ncfsa	03NFp
1	4	6		וְ/נִרְצָ֥ה	c/7521	HC/VNq3ms	037am
1	4	7		ל֖/וֹ	l	HR/Sp3ms	03hh7
1	4	8		לְ/כַפֵּ֥ר	l/3722 a	HR/Vpc	03BsK
