chapter	verse	word	type	surface	lemma	morph	id
1	1	1		מַשָּׂ֥א	4853 b	HNcmsa	39xeN
1	1	2		דְבַר	1697	HNcmsc	39Nvk
1	1	3		יְהוָ֖ה	3068	HNp	39TyA
1	1	4		אֶל	413	HR	39vuQ
1	1	5		יִשְׂרָאֵ֑ל	3478	HNp	39TSc
1	1	6		בְּ/יַ֖ד	b/3027	HR/Ncbsc	39k5P
1	1	7		מַלְאָכִֽי	4401	HNp	39nPh
1	2	1		אָהַ֤בְתִּי	157	HVqp1cs	39LN3
1	2	2		אֶתְ/כֶם֙	853	HTo/Sp2mp	39Qzf
1	2	3		אָמַ֣ר	559	HVqp3ms	39aPd
1	2	4		יְהוָ֔ה	3068	HNp	39eYX
1	2	5		וַ/אֲמַרְתֶּ֖ם	c/559	HC/Vqp2mp	39C5U
1	2	6		בַּ/מָּ֣ה	b/4100	HR/Ti	39qNN
1	2	7		אֲהַבְתָּ֑/נוּ	157	HVqp2ms/Sp1cp	39EVS
1	2	8		הֲ/לוֹא	i/3808	HTi/Tn	39PB6
1	2	9		אָ֨ח	251	HNcmsa	3937c
1	2	10		עֵשָׂ֤ו	6215	HNp	39x9c
1	2	11		לְ/יַֽעֲקֹב֙	l/3290	HR/Np	39yNB
1	2	12		נְאֻם	5002	HNcmsc	3929t
1	2	13		יְהוָ֔ה	3068	HNp	39KZG
1	2	14		וָ/אֹהַ֖ב	c/157	HC/Vqw1cs	39TZE
1	2	15		אֶֽת	853	HTo	39thY
1	2	16		יַעֲקֹֽב	3290	HNp	39JM7
1	3	1		וְ/אֶת	c/853	HC/To	39fpo
1	3	2		עֵשָׂ֖ו	6215	HNp	39W26
1	3	3		שָׂנֵ֑אתִי	8130	HVqp1cs	39yw4
1	3	4		וָ/אָשִׂ֤ים	c/7760 a	HC/Vqw1cs	39jbg
1	3	5		אֶת	853	HTo	39USR
1	3	6		הָרָי/ו֙	2022	HNcmpc/Sp3ms	39v6U
1	3	7		שְׁמָמָ֔ה	8077 a	HNcfsa	395SS
1	3	8		וְ/אֶת	c/853	HC/To	39GzE
1	3	9		נַחֲלָת֖/וֹ	5159	HNcfsc/Sp3ms	39qCU
1	3	10		לְ/תַנּ֥וֹת	l/8568	HR/Ncbpc	39g2y
1	3	11		מִדְבָּֽר	4057 b	HNcmsa	39jQb
1	4	1		כִּֽי	3588 a	HC	39794
1	4	2		תֹאמַ֨ר	559	HVqi3fs	39CsU
1	4	3		אֱד֜וֹם	123	HNp	39XR4
1	4	4		רֻשַּׁ֗שְׁנוּ	7567	HVPp1cp	39KvS
1	4	5		וְ/נָשׁוּב֙	c/7725	HC/Vqi1cp	39dBc
1	4	6		וְ/נִבְנֶ֣ה	c/1129	HC/Vqi1cp	39nAB
1	4	7		חֳרָב֔וֹת	2723	HNcfpa	39kfX
1	4	8		כֹּ֤ה	3541	HD	39Wkf
1	4	9		אָמַר֙	559	HVqp3ms	39wrL
1	4	10		יְהוָ֣ה	3068	HNp	393TL
1	4	11		צְבָא֔וֹת	6635 b	HNcbpa	39LeN
1	4	12		הֵ֥מָּה	1992	HPp3mp	39sMn
1	4	13		יִבְנ֖וּ	1129	HVqi3mp	39Y3z
1	4	14		וַ/אֲנִ֣י	c/589	HC/Pp1cs	39NQN
1	4	15		אֶהֱר֑וֹס	2040	HVqi1cs	39uLf
1	4	16		וְ/קָרְא֤וּ	c/7121	HC/Vqq3cp	39kA7
1	4	17		לָ/הֶם֙	l	HR/Sp3mp	393TS
1	4	18		גְּב֣וּל	1366	HNcmsc	39NFp
1	4	19		רִשְׁעָ֔ה	7564	HNcfsa	397am
1	4	20		וְ/הָ/עָ֛ם	c/d/5971 a	HC/Td/Ncmsa	39hh7
1	4	21		אֲשֶׁר	834 a	HTr	39BsK
1	4	22		זָעַ֥ם	2194	HVqp3ms	39fsu
1	4	23		יְהוָ֖ה	3068	HNp	398M6
1	4	24		עַד	5704	HR	39wM5
1	4	25		עוֹלָֽם	5769	HNcmsa	39qty
1	5	1		וְ/עֵינֵי/כֶ֖ם	c/5869 a	HC/Ncbdc/Sp2mp	395gQ
1	5	2		תִּרְאֶ֑ינָה	7200	HVqi3fp	39Xw6
1	5	3		וְ/אַתֶּ֤ם	c/859 d	HC/Pp2mp	39eHJ
1	5	4		תֹּֽאמְרוּ֙	559	HVqi2mp	39H6L
1	5	5		יִגְדַּ֣ל	1431	HVqj3ms	39bmv
1	5	6		יְהוָ֔ה	3068	HNp	39FV9
1	5	7		מֵ/עַ֖ל	m/5921 a	HR/R	39Xm1
1	5	8		לִ/גְב֥וּל	l/1366	HR/Ncmsc	39UE6
1	5	9		יִשְׂרָאֵֽל	3478	HNp	39goK
1	6	1		בֵּ֛ן	1121 a	HNcmsa	39CyH
1	6	2		יְכַבֵּ֥ד	3513	HVpi3ms	39A4a
1	6	3		אָ֖ב	1	HNcmsa	395Pr
1	6	4		וְ/עֶ֣בֶד	c/5650	HC/Ncmsa	39L4k
1	6	5		אֲדֹנָ֑י/ו	113	HNcmpc/Sp3ms	39Mnv
1	6	6		וְ/אִם	c/518 a	HC/C	39mwU
1	6	7		אָ֣ב	1	HNcmsa	39tKT
1	6	8		אָ֣נִי	589	HPp1cs	39NRT
1	6	9		אַיֵּ֣ה	346	HTi	39sRU
1	6	10		כְבוֹדִ֡/י	3519	HNcbsc/Sp1cs	39Wxq
1	6	11		וְ/אִם	c/518 a	HC/C	399qY
1	6	12		אֲדוֹנִ֣ים	113	HNcmpa	39n5f
1	6	13		אָנִי֩	589	HPp1cs	39YUq
1	6	14		אַיֵּ֨ה	346	HTi	39fQr
1	6	15		מוֹרָאִ֜/י	4172 a	HNcmsc/Sp1cs	39L7t
1	6	16		אָמַ֣ר	559	HVqp3ms	39A74
1	6	17		יְהוָ֣ה	3068	HNp	39dNE
1	6	18		צְבָא֗וֹת	6635 b	HNcbpa	39xdF
1	6	19		לָ/כֶם֙	l	HR/Sp2mp	39AYg
1	6	20		הַ/כֹּֽהֲנִים֙	d/3548	HTd/Ncmpa	39Ls9
1	6	21		בּוֹזֵ֣י	959	HVqrmpc	39Snp
1	6	22		שְׁמִ֔/י	8034	HNcmsc/Sp1cs	3987B
1	6	23		וַ/אֲמַרְתֶּ֕ם	c/559	HC/Vqq2mp	39nLp
1	6	24		בַּ/מֶּ֥ה	b/4100	HR/Ti	39PzC
1	6	25		בָזִ֖ינוּ	959	HVqp1cp	39NPq
1	6	26		אֶת	853	HTo	39d5m
1	6	27		שְׁמֶֽ/ךָ	8034	HNcmsc/Sp2ms	39BYa
1	7	1		מַגִּישִׁ֤ים	5066	HVhrmpa	39LJh
1	7	2		עַֽל	5921 a	HR	39tRR
1	7	3		מִזְבְּחִ/י֙	4196	HNcmsc/Sp1cs	39Q7E
1	7	4		לֶ֣חֶם	3899	HNcbsa	39dv1
1	7	5		מְגֹאָ֔ל	1351	HVPsmsa	39QwM
1	7	6		וַ/אֲמַרְתֶּ֖ם	c/559	HC/Vqq2mp	39a62
1	7	7		בַּ/מֶּ֣ה	b/4100	HR/Ti	39KvD
1	7	8		גֵֽאַלְנ֑וּ/ךָ	1351	HVpp1cp/Sp2ms	39GLz
1	7	9		בֶּ/אֱמָרְ/כֶ֕ם	b/559	HR/Vqc/Sp2mp	39BU7
1	7	10		שֻׁלְחַ֥ן	7979	HNcmsc	39iy2
1	7	11		יְהוָ֖ה	3068	HNp	39zQ2
1	7	12		נִבְזֶ֥ה	959	HVNrmsa	39Wxx
1	7	13		הֽוּא	1931	HPp3ms	39jQ8
1	8	1		וְ/כִֽי	c/3588 a	HC/C	39Haa
1	8	2		תַגִּשׁ֨וּ/ן	5066	HVhi2mp/Sn	39fJN
1	8	3		עִוֵּ֤ר	5787	HAamsa	399KV
1	8	4		לִ/זְבֹּ֨חַ֙	l/2076	HR/Vqc	39F1s
1	8	5		אֵ֣ין	369	HTn	39dns
1	8	6		רָ֔ע	7451 a	HAamsa	39GK3
1	8	7		וְ/כִ֥י	c/3588 a	HC/C	39nRZ
1	8	8		תַגִּ֛ישׁוּ	5066	HVhi2mp	39cpb
1	8	9		פִּסֵּ֥חַ	6455	HAamsa	39zio
1	8	10		וְ/חֹלֶ֖ה	c/2470 a	HC/Vqrmsa	39Qsh
1	8	11		אֵ֣ין	369	HTn	39zTj
1	8	12		רָ֑ע	7451 a	HAamsa	39fPi
1	8	13		הַקְרִיבֵ֨/הוּ	7126	HVhv2ms/Sp3ms	39GYe
1	8	14		נָ֜א	4994	HTe	39Bbz
1	8	15		לְ/פֶחָתֶ֗/ךָ	l/6346	HR/Ncmsc/Sp2ms	39VA9
1	8	16		הֲ/יִּרְצְ/ךָ֙	i/7521	HTi/Vqi3ms/Sp2ms	39fV3
1	8	17		א֚וֹ	176 a	HC	39Sov
1	8	18		הֲ/יִשָּׂ֣א	i/5375	HTi/Vqi3ms	39V27
1	8	19		פָנֶ֔י/ךָ	6440	HNcbpc/Sp2ms	39ifp
1	8	20		אָמַ֖ר	559	HVqp3ms	397ZG
1	8	21		יְהוָ֥ה	3068	HNp	39B2d
1	8	22		צְבָאֽוֹת	6635 b	HNcbpa	39ewe
1	9	1		וְ/עַתָּ֛ה	c/6258	HC/D	39SV6
1	9	2		חַלּוּ	2470 b	HVpv2mp	39G83
1	9	3		נָ֥א	4994	HTe	39vzS
1	9	4		פְנֵי	6440	HNcbpc	39Gq9
1	9	5		אֵ֖ל	410	HNcmsa	393y8
1	9	6		וִֽ/יחָנֵ֑/נוּ	c/2603 a	HC/Vqj3ms/Sp1cp	39TXw
1	9	7		מִ/יֶּדְ/כֶם֙	m/3027	HR/Ncbsc/Sp2mp	39Y4K
1	9	8		הָ֣יְתָה	1961	HVqp3fs	39C32
1	9	9		זֹּ֔את	2063	HPdxfs	39aMT
1	9	10		הֲ/יִשָּׂ֤א	i/5375	HTi/Vqi3ms	39Cof
1	9	11		מִ/כֶּם֙	m/4480 a	HR/Sp2mp	39YWU
1	9	12		פָּנִ֔ים	6440	HNcbpa	39rAQ
