chapter	verse	word	type	surface	lemma	morph	id
1	1	1		דְּבַר	1697	HNcmsc	33xeN
1	1	2		יְהוָ֣ה	3068	HNp	33Nvk
1	1	3		אֲשֶׁ֣ר	834 a	HTr	33TyA
1	1	4		הָיָ֗ה	1961	HVqp3ms	33vuQ
1	1	5		אֶל	413	HR	33TSc
1	1	6		מִיכָה֙	4318	HNp	33k5P
1	1	7		הַ/מֹּ֣רַשְׁתִּ֔י	d/4183	HTd/Ngmsa	33nPh
1	1	8		בִּ/ימֵ֥י	b/3117	HR/Ncmpc	33LN3
1	1	9		יוֹתָ֛ם	3147	HNp	33Qzf
1	1	10		אָחָ֥ז	271	HNp	33aPd
1	1	11		יְחִזְקִיָּ֖ה	2396	HNp	33eYX
1	1	12		מַלְכֵ֣י	4428	HNcmpc	33C5U
1	1	13		יְהוּדָ֑ה	3063	HNp	33qNN
1	1	14		אֲשֶׁר	834 a	HTr	33EVS
1	1	15		חָזָ֥ה	2372	HVqp3ms	33PB6
1	1	16		עַל	5921 a	HR	3337c
1	1	17		שֹׁמְר֖וֹן	8111	HNp	33x9c
1	1	18		וִ/ירֽוּשָׁלִָֽם	c/3389	HC/Np	33yNB
1	2	1		שִׁמְעוּ֙	8085	HVqv2mp	3329t
1	2	2		עַמִּ֣ים	5971 a	HNcmpa	33KZG
1	2	3		כֻּלָּ֔/ם	3605	HNcmsc/Sp3mp	33TZE
1	2	4		הַקְשִׁ֖יבִי	7181	HVhv2fs	33thY
1	2	5		אֶ֣רֶץ	776	HNcbsa	33JM7
1	2	6		וּ/מְלֹאָ֑/הּ	c/4393	HC/Ncmsc/Sp3fs	33fpo
1	2	7		וִ/יהִי֩	c/1961	HC/Vqj3ms	33W26
1	2	8		אֲדֹנָ֨/י	136	HNcmpc/Sp1cs	33yw4
1	2	9		יְהוִ֤ה	3069	HNp	33jbg
1	2	10		בָּ/כֶם֙	b	HR/Sp2mp	33USR
1	2	11		לְ/עֵ֔ד	l/5707	HR/Ncmsa	33v6U
1	2	12		אֲדֹנָ֖/י	136	HNcmpc/Sp1cs	335SS
1	2	13		מֵ/הֵיכַ֥ל	m/1964	HR/Ncmsc	33GzE
1	2	14		קָדְשֽׁ/וֹ	6944	HNcmsc/Sp3ms	33qCU
1	3	1		כִּֽי	3588 a	HC	33g2y
1	3	2		הִנֵּ֥ה	2009	HTm	33jQb
1	3	3		יְהוָ֖ה	3068	HNp	33794
1	3	4		יֹצֵ֣א	3318	HVqrmsa	33CsU
1	3	5		מִ/מְּקוֹמ֑/וֹ	m/4725	HR/Ncmsc/Sp3ms	33XR4
1	3	6		וְ/יָרַ֥ד	c/3381	HC/Vqp3ms	33KvS
1	3	7		וְ/דָרַ֖ךְ	c/1869	HC/Vqp3ms	33dBc
1	3	8		עַל	5921 a	HR	33nAB
1	3	9	x-ketiv	במותי	1116	HNcfpc	33kfX
1	3	10		בָּ֥מֳתֵי	1116	HNcfpc	33Wkf
1	3	11		אָֽרֶץ	776	HNcbsa	33wrL
1	4	1		וְ/נָמַ֤סּוּ	c/4549	HC/VNq3cp	333TL
1	4	2		הֶֽ/הָרִים֙	d/2022	HTd/Ncmpa	33LeN
1	4	3		תַּחְתָּ֔י/ו	8478	HR/Sp3ms	33sMn
1	4	4		וְ/הָ/עֲמָקִ֖ים	c/d/6010	HC/Td/Ncmpa	33Y3z
1	4	5		יִתְבַּקָּ֑עוּ	1234	HVti3mp	33NQN
1	4	6		כַּ/דּוֹנַג֙	k/1749	HRd/Ncmsa	33uLf
1	4	7		מִ/פְּנֵ֣י	m/6440	HR/Ncbpc	33kA7
1	4	8		הָ/אֵ֔שׁ	d/784	HTd/Ncbsa	333TS
1	4	9		כְּ/מַ֖יִם	k/4325	HR/Ncmpa	33NFp
1	4	10		מֻגָּרִ֥ים	5064	HVHsmpa	337am
1	4	11		בְּ/מוֹרָֽד	b/4174	HR/Ncmsa	33hh7
1	5	1		בְּ/פֶ֤שַׁע	b/6588	HR/Ncmsc	33BsK
1	5	2		יַֽעֲקֹב֙	3290	HNp	33fsu
1	5	3		כָּל	3605	HNcmsc	338M6
1	5	4		זֹ֔את	2063	HPdxfs	33wM5
1	5	5		וּ/בְ/חַטֹּ֖אות	c/b/2403 b	HC/R/Ncfpc	33qty
1	5	6		בֵּ֣ית	1004 b	HNcmsc	335gQ
1	5	7		יִשְׂרָאֵ֑ל	3478	HNp	33Xw6
1	5	8		מִֽי	4310	HTi	33eHJ
1	5	9		פֶ֣שַׁע	6588	HNcmsc	33H6L
1	5	10		יַעֲקֹ֗ב	3290	HNp	33bmv
1	5	11		הֲ/לוֹא֙	i/3808	HTi/Tn	33FV9
1	5	12		שֹֽׁמְר֔וֹן	8111	HNp	33Xm1
1	5	13		וּ/מִי֙	c/4310	HC/Ti	33UE6
1	5	14		בָּמ֣וֹת	1116	HNcfpc	33goK
1	5	15		יְהוּדָ֔ה	3063	HNp	33CyH
1	5	16		הֲ/ל֖וֹא	i/3808	HTi/Tn	33A4a
1	5	17		יְרוּשָׁלִָֽם	3389	HNp	335Pr
1	6	1		וְ/שַׂמְתִּ֥י	c/7760 a	HC/Vqq1cs	33L4k
1	6	2		שֹׁמְר֛וֹן	8111	HNp	33Mnv
1	6	3		לְ/עִ֥י	l/5856	HR/Ncmsc	33mwU
1	6	4		הַ/שָּׂדֶ֖ה	d/7704 b	HTd/Ncmsa	33tKT
1	6	5		לְ/מַטָּ֣עֵי	l/4302	HR/Ncmpc	33NRT
1	6	6		כָ֑רֶם	3754	HNcbsa	33sRU
