chapter	verse	word	type	surface	lemma	morph	id
1	1	1		מַשָּׂ֖א	4853 b	HNcmsc	34xeN
1	1	2		נִֽינְוֵ֑ה	5210	HNp	34Nvk
1	1	3		סֵ֧פֶר	5612 a	HNcmsc	34TyA
1	1	4		חֲז֛וֹן	2377	HNcmsc	34vuQ
1	1	5		נַח֖וּם	5151	HNp	34TSc
1	1	6		הָ/אֶלְקֹשִֽׁי	d/512	HTd/Ngmsa	34k5P
1	2	1		אֵ֣ל	410	HNcmsa	34nPh
1	2	2		קַנּ֤וֹא	7072	HAamsa	34LN3
1	2	3		וְ/נֹקֵם֙	c/5358	HC/Vqrmsa	34Qzf
1	2	4		יְהוָ֔ה	3068	HNp	34aPd
1	2	5		נֹקֵ֥ם	5358	HVqrmsa	34eYX
1	2	6		יְהוָ֖ה	3068	HNp	34C5U
1	2	7		וּ/בַ֣עַל	c/1167	HC/Ncmsc	34qNN
1	2	8		חֵמָ֑ה	2534	HNcfsa	34EVS
1	2	9		נֹקֵ֤ם	5358	HVqrmsa	34PB6
1	2	10		יְהוָה֙	3068	HNp	3437c
1	2	11		לְ/צָרָ֔י/ו	l/6862 c	HR/Ncmpc/Sp3ms	34x9c
1	2	12		וְ/נוֹטֵ֥ר	c/5201	HC/Vqrmsa	34yNB
1	2	13		ה֖וּא	1931	HPp3ms	3429t
1	2	14		לְ/אֹיְבָֽי/ו	l/341	HR/Vqrmpc/Sp3ms	34KZG
1	3	1		יְהֹוָ֗ה	3068	HNp	34TZE
1	3	2		אֶ֤רֶךְ	750	HAamsc	34thY
1	3	3		אַפַּ֨יִם֙	639	HNcmda	34JM7
1	3	4	x-ketiv	ו/גדול	c/1419 a	HC/Aamsc	34fpo
1	3	5		וּ/גְדָל	c/1419 a	HC/Aamsc	34W26
1	3	6		כֹּ֔חַ	3581 b	HNcmsa	34yw4
1	3	7		וְ/נַקֵּ֖ה	c/5352	HC/Vpa	34jbg
1	3	8		לֹ֣א	3808	HTn	34USR
1	3	9		יְנַקֶּ֑ה	5352	HVpi3ms	34v6U
1	3	10		יְהוָ֗ה	3068	HNp	345SS
1	3	11		בְּ/סוּפָ֤ה	b/5492 a	HR/Ncfsa	34GzE
1	3	12		וּ/בִ/שְׂעָרָה֙	c/b/8183	HC/R/Ncfsa	34qCU
1	3	13		דַּרְכּ֔/וֹ	1870	HNcbsc/Sp3ms	34g2y
