chapter	verse	word	type	surface	lemma	morph	id
1	1	1		דִּבְרֵ֥י	1697	HNcmpc	16xeN
1	1	2		נְחֶמְיָ֖ה	5166	HNp	16Nvk
1	1	3		בֶּן	1121 a	HNcmsc	16TyA
1	1	4		חֲכַלְיָ֑ה	2446	HNp	16vuQ
1	1	5		וַ/יְהִ֤י	c/1961	HC/Vqw3ms	16TSc
1	1	6		בְ/חֹֽדֶשׁ	b/2320	HR/Ncmsc	16k5P
1	1	7	x-ketiv	כסלו	3691	HNp	16nPh
1	1	8		כִּסְלֵיו֙	3691	HNp	16LN3
1	1	9		שְׁנַ֣ת	8141	HNcfsc	16Qzf
1	1	10		עֶשְׂרִ֔ים	6242	HAcbpa	16aPd
1	1	11		וַ/אֲנִ֥י	c/589	HC/Pp1cs	16eYX
1	1	12		הָיִ֖יתִי	1961	HVqp1cs	16C5U
1	1	13		בְּ/שׁוּשַׁ֥ן	b/7800	HR/Np	16qNN
1	1	14		הַ/בִּירָֽה	d/1002	HTd/Ncfsa	16EVS
1	2	1		וַ/יָּבֹ֨א	c/935	HC/Vqw3ms	16PB6
1	2	2		חֲנָ֜נִי	2607	HNp	1637c
1	2	3		אֶחָ֧ד	259	HAcmsa	16x9c
1	2	4		מֵ/אַחַ֛/י	m/251	HR/Ncmpc/Sp1cs	16yNB
1	2	5		ה֥וּא	1931	HPp3ms	1629t
1	2	6		וַ/אֲנָשִׁ֖ים	c/376	HC/Ncmpa	16KZG
1	2	7		מִֽ/יהוּדָ֑ה	m/3063	HR/Np	16TZE
1	2	8		וָ/אֶשְׁאָלֵ֞/ם	c/7592	HC/Vqw1cs/Sp3mp	16thY
1	2	9		עַל	5921 a	HR	16JM7
1	2	10		הַ/יְּהוּדִ֧ים	d/3064	HTd/Ngmpa	16fpo
1	2	11		הַ/פְּלֵיטָ֛ה	d/6413	HTd/Ncfsa	16W26
1	2	12		אֲשֶֽׁר	834 a	HTr	16yw4
1	2	13		נִשְׁאֲר֥וּ	7604	HVNp3cp	16jbg
1	2	14		מִן	4480 a	HR	16USR
1	2	15		הַ/שֶּׁ֖בִי	d/7628 a	HTd/Ncbsa	16v6U
1	2	16		וְ/עַל	c/5921 a	HC/R	165SS
1	2	17		יְרוּשָׁלִָֽם	3389	HNp	16GzE
1	3	1		וַ/יֹּאמְרוּ֮	c/559	HC/Vqw3mp	16qCU
1	3	2		לִ/י֒	l	HR/Sp1cs	16g2y
1	3	3		הַֽ/נִּשְׁאָרִ֞ים	d/7604	HTd/VNrmpa	16jQb
1	3	4		אֲשֶֽׁר	834 a	HTr	16794
1	3	5		נִשְׁאֲר֤וּ	7604	HVNp3cp	16CsU
1	3	6		מִן	4480 a	HR	16XR4
