chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַ/יְדַבֵּ֨ר	c/1696	HC/Vpw3ms	04xeN
1	1	2		יְהוָ֧ה	3068	HNp	04Nvk
1	1	3		אֶל	413	HR	04TyA
1	1	4		מֹשֶׁ֛ה	4872	HNp	04vuQ
1	1	5		בְּ/מִדְבַּ֥ר	b/4057 b	HR/Ncmsc	04TSc
1	1	6		סִינַ֖י	5514	HNp	04k5P
1	1	7		בְּ/אֹ֣הֶל	b/168	HR/Ncmsc	04nPh
1	1	8		מוֹעֵ֑ד	4150	HNcmsa	04LN3
1	1	9		בְּ/אֶחָד֩	b/259	HR/Acmsa	04Qzf
1	1	10		לַ/חֹ֨דֶשׁ	l/2320	HRd/Ncmsa	04aPd
1	1	11		הַ/שֵּׁנִ֜י	d/8145	HTd/Aomsa	04eYX
1	1	12		בַּ/שָּׁנָ֣ה	b/8141	HRd/Ncfsa	04C5U
1	1	13		הַ/שֵּׁנִ֗ית	d/8145	HTd/Aofsa	04qNN
1	1	14		לְ/צֵאתָ֛/ם	l/3318	HR/Vqc/Sp3mp	04EVS
1	1	15		מֵ/אֶ֥רֶץ	m/776	HR/Ncbsc	04PB6
1	1	16		מִצְרַ֖יִם	4714	HNp	0437c
1	1	17		לֵ/אמֹֽר	l/559	HR/Vqc	04x9c
1	2	1		שְׂא֗וּ	5375	HVqv2mp	04yNB
1	2	2		אֶת	853	HTo	0429t
1	2	3		רֹאשׁ֙	7218 a	HNcmsc	04KZG
1	2	4		כָּל	3605	HNcmsc	04TZE
1	2	5		עֲדַ֣ת	5712	HNcfsc	04thY
1	2	6		בְּנֵֽי	1121 a	HNcmpc	04JM7
1	2	7		יִשְׂרָאֵ֔ל	3478	HNp	04fpo
1	2	8		לְ/מִשְׁפְּחֹתָ֖/ם	l/4940	HR/Ncfpc/Sp3mp	04W26
1	2	9		לְ/בֵ֣ית	l/1004 b	HR/Ncmsc	04yw4
1	2	10		אֲבֹתָ֑/ם	1	HNcmpc/Sp3mp	04jbg
1	2	11		בְּ/מִסְפַּ֣ר	b/4557	HR/Ncmsc	04USR
1	2	12		שֵׁמ֔וֹת	8034	HNcmpa	04v6U
1	2	13		כָּל	3605	HNcmsc	045SS
1	2	14		זָכָ֖ר	2145	HAamsa	04GzE
1	2	15		לְ/גֻלְגְּלֹתָֽ/ם	l/1538	HR/Ncfpc/Sp3mp	04qCU
1	3	1		מִ/בֶּ֨ן	m/1121 a	HR/Ncmsc	04g2y
1	3	2		עֶשְׂרִ֤ים	6242	HAcbpa	04jQb
1	3	3		שָׁנָה֙	8141	HNcfsa	04794
1	3	4		וָ/מַ֔עְלָ/ה	c/4605	HC/D/Sd	04CsU
1	3	5		כָּל	3605	HNcmsc	04XR4
1	3	6		יֹצֵ֥א	3318	HVqrmsa	04KvS
1	3	7		צָבָ֖א	6635 a	HNcbsa	04dBc
