chapter	verse	word	type	surface	lemma	morph	id
1	1	1		חֲז֖וֹן	2377	HNcmsc	31xeN
1	1	2		עֹֽבַדְיָ֑ה	5662	HNp	31Nvk
1	1	3		כֹּֽה	3541	HD	31TyA
1	1	4		אָמַר֩	559	HVqp3ms	31vuQ
1	1	5		אֲדֹנָ֨/י	136	HNcmpc/Sp1cs	31TSc
1	1	6		יְהוִ֜ה	3069	HNp	31k5P
1	1	7		לֶ/אֱד֗וֹם	l/123	HR/Np	31nPh
1	1	8		שְׁמוּעָ֨ה	8052	HNcfsa	31LN3
1	1	9		שָׁמַ֜עְנוּ	8085	HVqp1cp	31Qzf
1	1	10		מֵ/אֵ֤ת	m/854	HR/R	31aPd
1	1	11		יְהוָה֙	3068	HNp	31eYX
1	1	12		וְ/צִיר֙	c/6735 a	HC/Ncmsa	31C5U
1	1	13		בַּ/גּוֹיִ֣ם	b/1471 a	HRd/Ncmpa	31qNN
1	1	14		שֻׁלָּ֔ח	7971	HVPp3ms	31EVS
1	1	15		ק֛וּמוּ	6965 b	HVqv2mp	31PB6
1	1	16		וְ/נָק֥וּמָה	c/6965 b	HC/Vqh1cp	3137c
1	1	17		עָלֶי/הָ	5921 a	HR/Sp3fs	31x9c
1	1	18		לַ/מִּלְחָמָֽה	l/4421	HRd/Ncfsa	31yNB
1	2	1		הִנֵּ֥ה	2009	HTm	3129t
1	2	2		קָטֹ֛ן	6996 b	HAamsa	31KZG
1	2	3		נְתַתִּ֖י/ךָ	5414	HVqp1cs/Sp2ms	31TZE
1	2	4		בַּ/גּוֹיִ֑ם	b/1471 a	HRd/Ncmpa	31thY
1	2	5		בָּז֥וּי	959	HVqsmsa	31JM7
1	2	6		אַתָּ֖ה	859 a	HPp2ms	31fpo
1	2	7		מְאֹֽד	3966	HD	31W26
1	3	1		זְד֤וֹן	2087	HNcmsc	31yw4
1	3	2		לִבְּ/ךָ֙	3820 a	HNcmsc/Sp2ms	31jbg
1	3	3		הִשִּׁיאֶ֔/ךָ	5377	HVhp3ms/Sp2ms	31USR
1	3	4		שֹׁכְנִ֥י	7931	HVqrmsc	31v6U
1	3	5		בְ/חַגְוֵי	b/2288	HR/Ncmpc	315SS
1	3	6		סֶּ֖לַע	5553	HNcmsa	31GzE
1	3	7		מְר֣וֹם	4791	HNcmsc	31qCU
1	3	8		שִׁבְתּ֑/וֹ	7675	HNcfsc/Sp3ms	31g2y
1	3	9		אֹמֵ֣ר	559	HVqrmsa	31jQb
1	3	10		בְּ/לִבּ֔/וֹ	b/3820 a	HR/Ncmsc/Sp3ms	31794
1	3	11		מִ֥י	4310	HTi	31CsU
1	3	12		יוֹרִדֵ֖/נִי	3381	HVhi3ms/Sp1cs	31XR4
1	3	13		אָֽרֶץ	776	HNcbsa	31KvS
1	4	1		אִם	518 a	HC	31dBc
1	4	2		תַּגְבִּ֣יהַּ	1361	HVhi2ms	31nAB
1	4	3		כַּ/נֶּ֔שֶׁר	k/5404	HRd/Ncmsa	31kfX
1	4	4		וְ/אִם	c/518 a	HC/C	31Wkf
1	4	5		בֵּ֥ין	996	HR	31wrL
1	4	6		כּֽוֹכָבִ֖ים	3556	HNcmpa	313TL
1	4	7		שִׂ֣ים	7760 a	HVqsmsa	31LeN
1	4	8		קִנֶּ֑/ךָ	7064	HNcmsc/Sp2ms	31sMn
1	4	9		מִ/שָּׁ֥ם	m/8033	HR/D	31Y3z
1	4	10		אוֹרִֽידְ/ךָ֖	3381	HVhi1cs/Sp2ms	31NQN
1	4	11		נְאֻם	5002	HNcmsc	31uLf
1	4	12		יְהוָֽה	3068	HNp	31kA7
1	5	1		אִם	518 a	HC	313TS
1	5	2		גַּנָּבִ֤ים	1590	HNcmpa	31NFp
1	5	3		בָּאֽוּ	935	HVqp3cp	317am
1	5	4		לְ/ךָ֙	l	HR/Sp2ms	31hh7
1	5	5		אִם	518 a	HC	31BsK
1	5	6		שׁ֣וֹדְדֵי	7703	HVqrmpc	31fsu
1	5	7		לַ֔יְלָה	3915	HNcmsa	318M6
1	5	8		אֵ֣יךְ	349 a	HTi	31wM5
1	5	9		נִדְמֵ֔יתָה	1820	HVNp2ms	31qty
1	5	10		הֲ/ל֥וֹא	i/3808	HTi/Tn	315gQ
1	5	11		יִגְנְב֖וּ	1589	HVqi3mp	31Xw6
1	5	12		דַּיָּ֑/ם	1767	HNcmsc/Sp3mp	31eHJ
1	5	13		אִם	518 a	HC	31H6L
1	5	14		בֹּֽצְרִים֙	1219	HVqrmpa	31bmv
1	5	15		בָּ֣אוּ	935	HVqp3cp	31FV9
1	5	16		לָ֔/ךְ	l	HR/Sp2fs	31Xm1
1	5	17		הֲ/ל֖וֹא	i/3808	HTi/Tn	31UE6
1	5	18		יַשְׁאִ֥ירוּ	7604	HVhi3mp	31goK
1	5	19		עֹלֵלֽוֹת	5955	HNcfpa	31CyH
1	6	1		אֵ֚יךְ	349 a	HTi	31A4a
1	6	2		נֶחְפְּשׂ֣וּ	2664	HVNp3cp	315Pr
1	6	3		עֵשָׂ֔ו	6215	HNp	31L4k
1	6	4		נִבְע֖וּ	1158	HVNp3cp	31Mnv
1	6	5		מַצְפֻּנָֽי/ו	4710	HNcmpc/Sp3ms	31mwU
1	7	1		עַֽד	5704	HR	31tKT
1	7	2		הַ/גְּב֣וּל	d/1366	HTd/Ncmsa	31NRT
1	7	3		שִׁלְּח֗וּ/ךָ	7971	HVpp3cp/Sp2ms	31sRU
1	7	4		כֹּ֚ל	3605	HNcmsc	31Wxq
1	7	5		אַנְשֵׁ֣י	376	HNcmpc	319qY
1	7	6		בְרִיתֶ֔/ךָ	1285	HNcfsc/Sp2ms	31n5f
1	7	7		הִשִּׁיא֛וּ/ךָ	5377	HVhp3cp/Sp2ms	31YUq
1	7	8		יָכְל֥וּ	3201	HVqp3cp	31fQr
1	7	9		לְ/ךָ֖	l	HR/Sp2ms	31L7t
1	7	10		אַנְשֵׁ֣י	376	HNcmpc	31A74
1	7	11		שְׁלֹמֶ֑/ךָ	7965	HNcmsc/Sp2ms	31dNE
