chapter	verse	word	type	surface	lemma	morph	id
1	1	1		מִ֭שְׁלֵי	4912	HNcmpc	20xeN
1	1	2		שְׁלֹמֹ֣ה	8010	HNp	20Nvk
1	1	3		בֶן	1121 a	HNcmsc	20TyA
1	1	4		דָּוִ֑ד	1732	HNp	20vuQ
1	1	5		מֶ֝֗לֶךְ	4428	HNcmsc	20TSc
1	1	6		יִשְׂרָאֵֽל	3478	HNp	20k5P
1	2	1		לָ/דַ֣עַת	l/3045	HR/Vqc	20nPh
1	2	2		חָכְמָ֣ה	2451	HNcfsa	20LN3
1	2	3		וּ/מוּסָ֑ר	c/4148	HC/Ncmsa	20Qzf
1	2	4		לְ֝/הָבִ֗ין	l/995	HR/Vhc	20aPd
1	2	5		אִמְרֵ֥י	561	HNcmpc	20eYX
1	2	6		בִינָֽה	998	HNcfsa	20C5U
1	3	1		לָ֭/קַחַת	l/3947	HR/Vqc	20qNN
1	3	2		מוּסַ֣ר	4148	HNcmsc	20EVS
1	3	3		הַשְׂכֵּ֑ל	7919 a	HVha	20PB6
1	3	4		צֶ֥דֶק	6664	HNcmsa	2037c
1	3	5		וּ֝/מִשְׁפָּ֗ט	c/4941	HC/Ncmsa	20x9c
1	3	6		וּ/מֵישָׁרִֽים	c/4339	HC/Ncmpa	20yNB
1	4	1		לָ/תֵ֣ת	l/5414	HR/Vqc	2029t
1	4	2		לִ/פְתָאיִ֣ם	l/6612 a	HR/Ncmpa	20KZG
1	4	3		עָרְמָ֑ה	6195	HNcfsa	20TZE
1	4	4		לְ֝/נַ֗עַר	l/5288	HR/Ncmsa	20thY
1	4	5		דַּ֣עַת	1847	HNcfsa	20JM7
1	4	6		וּ/מְזִמָּֽה	c/4209	HC/Ncfsa	20fpo
1	5	1		יִשְׁמַ֣ע	8085	HVqi3ms	20W26
1	5	2		חָ֭כָם	2450	HNcmsa	20yw4
1	5	3		וְ/י֣וֹסֶף	c/3254	HC/Vhi3ms	20jbg
1	5	4		לֶ֑קַח	3948	HNcmsa	20USR
1	5	5		וְ֝/נָב֗וֹן	c/995	HC/VNrmsa	20v6U
1	5	6		תַּחְבֻּל֥וֹת	8458	HNcfpa	205SS
1	5	7		יִקְנֶֽה	7069	HVqi3ms	20GzE
1	6	1		לְ/הָבִ֣ין	l/995	HR/Vhc	20qCU
1	6	2		מָ֭שָׁל	4912	HNcmsa	20g2y
1	6	3		וּ/מְלִיצָ֑ה	c/4426	HC/Ncfsa	20jQb
1	6	4		דִּבְרֵ֥י	1697	HNcmpc	20794
1	6	5		חֲ֝כָמִ֗ים	2450	HAampa	20CsU
1	6	6		וְ/חִידֹתָֽ/ם	c/2420	HC/Ncfpc/Sp3mp	20XR4
1	7	1		יִרְאַ֣ת	3374	HNcfsc	20KvS
1	7	2		יְ֭הוָה	3068	HNp	20dBc
1	7	3		רֵאשִׁ֣ית	7225	HNcfsc	20nAB
1	7	4		דָּ֑עַת	1847	HNcfsa	20kfX
1	7	5		חָכְמָ֥ה	2451	HNcfsa	20Wkf
1	7	6		וּ֝/מוּסָ֗ר	c/4148	HC/Ncmsa	20wrL
1	7	7		אֱוִילִ֥ים	191	HAampa	203TL
1	7	8		בָּֽזוּ	936	HVqp3cp	20LeN
1	8	1		שְׁמַ֣ע	8085	HVqv2ms	20sMn
1	8	2		בְּ֭נִ/י	1121 a	HNcmsc/Sp1cs	20Y3z
1	8	3		מוּסַ֣ר	4148	HNcmsc	20NQN
1	8	4		אָבִ֑י/ךָ	1	HNcmsc/Sp2ms	20uLf
1	8	5		וְ/אַל	c/408	HC/Tn	20kA7
1	8	6		תִּ֝טֹּ֗שׁ	5203	HVqj2ms	203TS
1	8	7		תּוֹרַ֥ת	8451	HNcfsc	20NFp
1	8	8		אִמֶּֽ/ךָ	517	HNcfsc/Sp2ms	207am
1	9	1		כִּ֤י	3588 a	HC	20hh7
1	9	2		לִוְיַ֤ת	3880	HNcfsc	20BsK
1	9	3		חֵ֓ן	2580	HNcmsa	20fsu
1	9	4		הֵ֬ם	1992	HPp3mp	208M6
1	9	5		לְ/רֹאשֶׁ֑/ךָ	l/7218 a	HR/Ncmsc/Sp2ms	20wM5
1	9	6		וַ֝/עֲנָקִ֗ים	c/6060 b	HC/Ncmpa	20qty
1	9	7		לְ/גַרְגְּרֹתֶֽי/ךָ	l/1621	HR/Ncfpc/Sp2ms	205gQ
1	10	1		בְּנִ֡/י	1121 a	HNcmsc/Sp1cs	20Xw6
1	10	2		אִם	518 a	HC	20eHJ
1	10	3		יְפַתּ֥וּ/ךָ	6601 b	HVpi3mp/Sp2ms	20H6L
