chapter	verse	word	type	surface	lemma	morph	id
1	1	1		אַ֥שְֽׁרֵי	835	HNcmpa	19xeN
1	1	2		הָ/אִ֗ישׁ	d/376	HTd/Ncmsa	19Nvk
1	1	3		אֲשֶׁ֤ר	834 a	HTr	19TyA
1	1	4		לֹ֥א	3808	HTn	19vuQ
1	1	5		הָלַךְ֮	1980	HVqp3ms	19TSc
1	1	6		בַּ/עֲצַ֪ת	b/6098	HR/Ncfsc	19k5P
1	1	7		רְשָׁ֫עִ֥ים	7563	HAampa	19nPh
1	1	8		וּ/בְ/דֶ֣רֶךְ	c/b/1870	HC/R/Ncbsc	19LN3
1	1	9		חַ֭טָּאִים	2400	HAampa	19Qzf
1	1	10		לֹ֥א	3808	HTn	19aPd
1	1	11		עָמָ֑ד	5975	HVqp3ms	19eYX
1	1	12		וּ/בְ/מוֹשַׁ֥ב	c/b/4186	HC/R/Ncmsc	19C5U
1	1	13		לֵ֝צִ֗ים	3887	HAampa	19qNN
1	1	14		לֹ֣א	3808	HTn	19EVS
1	1	15		יָשָֽׁב	3427	HVqp3ms	19PB6
1	2	1		כִּ֤י	3588 a	HC	1937c
1	2	2		אִ֥ם	518 a	HC	19x9c
1	2	3		בְּ/תוֹרַ֥ת	b/8451	HR/Ncfsc	19yNB
1	2	4		יְהוָ֗ה	3068	HNp	1929t
1	2	5		חֶ֫פְצ֥/וֹ	2656	HNcmsc/Sp3ms	19KZG
1	2	6		וּֽ/בְ/תוֹרָת֥/וֹ	c/b/8451	HC/R/Ncfsc/Sp3ms	19TZE
1	2	7		יֶהְגֶּ֗ה	1897	HVqi3ms	19thY
1	2	8		יוֹמָ֥ם	3119	HD	19JM7
1	2	9		וָ/לָֽיְלָה	c/3915	HC/Ncmsa	19fpo
1	3	1		וְֽ/הָיָ֗ה	c/1961	HC/Vqq3ms	19W26
1	3	2		כְּ/עֵץ֮	k/6086	HR/Ncmsa	19yw4
1	3	3		שָׁת֪וּל	8362	HVqsmsa	19jbg
1	3	4		עַֽל	5921 a	HR	19USR
1	3	5		פַּלְגֵ֫י	6388	HNcmpc	19v6U
1	3	6		מָ֥יִם	4325	HNcmpa	195SS
1	3	7		אֲשֶׁ֤ר	834 a	HTr	19GzE
1	3	8		פִּרְי֨/וֹ	6529	HNcmsc/Sp3ms	19qCU
1	3	9		יִתֵּ֬ן	5414	HVqi3ms	19g2y
1	3	10		בְּ/עִתּ֗/וֹ	b/6256	HR/Ncbsc/Sp3ms	19jQb
1	3	11		וְ/עָלֵ֥/הוּ	c/5929	HC/Ncmsc/Sp3ms	19794
1	3	12		לֹֽא	3808	HTn	19CsU
1	3	13		יִבּ֑וֹל	5034 b	HVqi3ms	19XR4
1	3	14		וְ/כֹ֖ל	c/3605	HC/Ncmsa	19KvS
1	3	15		אֲשֶׁר	834 a	HTr	19dBc
1	3	16		יַעֲשֶׂ֣ה	6213 a	HVqi3ms	19nAB
