chapter	verse	word	type	surface	lemma	morph	id
1	1	1		וַ/יְהִ֗י	c/1961	HC/Vqw3ms	08xeN
1	1	2		בִּ/ימֵי֙	b/3117	HR/Ncmpc	08Nvk
1	1	3		שְׁפֹ֣ט	8199	HVqc	08TyA
1	1	4		הַ/שֹּׁפְטִ֔ים	d/8199	HTd/Vqrmpa	08vuQ
1	1	5		וַ/יְהִ֥י	c/1961	HC/Vqw3ms	08TSc
1	1	6		רָעָ֖ב	7458	HNcmsa	08k5P
1	1	7		בָּ/אָ֑רֶץ	b/776	HRd/Ncbsa	08nPh
1	1	8		וַ/יֵּ֨לֶךְ	c/3212	HC/Vqw3ms	08LN3
1	1	9		אִ֜ישׁ	376	HNcmsa	08Qzf
1	1	10		מִ/בֵּ֧ית	m/1035+	HR/Np	08aPd
1	1	11		לֶ֣חֶם	1035	HNp	08eYX
1	1	12		יְהוּדָ֗ה	3063	HNp	08C5U
1	1	13		לָ/גוּר֙	l/1481 a	HR/Vqc	08qNN
1	1	14		בִּ/שְׂדֵ֣י	b/7704 b	HR/Ncmpc	08EVS
1	1	15		מוֹאָ֔ב	4124	HNp	08PB6
1	1	16		ה֥וּא	1931	HPp3ms	0837c
1	1	17		וְ/אִשְׁתּ֖/וֹ	c/802	HC/Ncfsc/Sp3ms	08x9c
1	1	18		וּ/שְׁנֵ֥י	c/8147	HC/Acmdc	08yNB
1	1	19		בָנָֽי/ו	1121 a	HNcmpc/Sp3ms	0829t
1	2	1		וְ/שֵׁ֣ם	c/8034	HC/Ncmsc	08KZG
1	2	2		הָ/אִ֣ישׁ	d/376	HTd/Ncmsa	08TZE
1	2	3		אֱֽלִימֶ֡לֶךְ	458	HNp	08thY
1	2	4		וְ/שֵׁם֩	c/8034	HC/Ncmsc	08JM7
1	2	5		אִשְׁתּ֨/וֹ	802	HNcfsc/Sp3ms	08fpo
1	2	6		נָעֳמִ֜י	5281	HNp	08W26
1	2	7		וְ/שֵׁ֥ם	c/8034	HC/Ncmsc	08yw4
1	2	8		שְׁנֵֽי	8147	HAcmdc	08jbg
1	2	9		בָנָ֣י/ו	1121 a	HNcmpc/Sp3ms	08USR
1	2	10		מַחְל֤וֹן	4248	HNp	08v6U
1	2	11		וְ/כִלְיוֹן֙	c/3630	HC/Np	085SS
1	2	12		אֶפְרָתִ֔ים	673	HNgmpa	08GzE
1	2	13		מִ/בֵּ֥ית	m/1035+	HR/Np	08qCU
1	2	14		לֶ֖חֶם	1035	HNp	08g2y
1	2	15		יְהוּדָ֑ה	3063	HNp	08jQb
1	2	16		וַ/יָּבֹ֥אוּ	c/935	HC/Vqw3mp	08794
1	2	17		שְׂדֵי	7704 b	HNcmpc	08CsU
1	2	18		מוֹאָ֖ב	4124	HNp	08XR4
1	2	19		וַ/יִּֽהְיוּ	c/1961	HC/Vqw3mp	08KvS
1	2	20		שָֽׁם	8033	HD	08dBc
1	3	1		וַ/יָּ֥מָת	c/4191	HC/Vqw3ms	08nAB
1	3	2		אֱלִימֶ֖לֶךְ	458	HNp	08kfX
1	3	3		אִ֣ישׁ	376	HNcmsc	08Wkf
1	3	4		נָעֳמִ֑י	5281	HNp	08wrL
1	3	5		וַ/תִּשָּׁאֵ֥ר	c/7604	HC/VNw3fs	083TL
1	3	6		הִ֖יא	1931	HPp3fs	08LeN
1	3	7		וּ/שְׁנֵ֥י	c/8147	HC/Acmdc	08sMn
