chapter	verse	word	type	surface	lemma	morph	id
1	1	1		שִׁ֥יר	7892 a	HNcbsc	22xeN
1	1	2		הַ/שִּׁירִ֖ים	d/7892 a	HTd/Ncbpa	22Nvk
1	1	3		אֲשֶׁ֥ר	834 a	HTr	22TyA
1	1	4		לִ/שְׁלֹמֹֽה	l/8010	HR/Np	22vuQ
1	2	1		יִשָּׁקֵ֨/נִי֙	5401 a	HVqi3ms/Sp1cs	22TSc
1	2	2		מִ/נְּשִׁיק֣וֹת	m/5390	HR/Ncfpc	22k5P
1	2	3		פִּ֔י/הוּ	6310	HNcmsc/Sp3ms	22nPh
1	2	4		כִּֽי	3588 a	HC	22LN3
1	2	5		טוֹבִ֥ים	2896 a	HAampa	22Qzf
1	2	6		דֹּדֶ֖י/ךָ	1730	HNcmpc/Sp2ms	22aPd
1	2	7		מִ/יָּֽיִן	m/3196	HR/Ncmsa	22eYX
1	3	1		לְ/רֵ֨יחַ֙	l/7381	HR/Ncmsa	22C5U
1	3	2		שְׁמָנֶ֣י/ךָ	8081	HNcmpc/Sp2ms	22qNN
1	3	3		טוֹבִ֔ים	2896 a	HAampa	22EVS
1	3	4		שֶׁ֖מֶן	8081	HNcmsa	22PB6
1	3	5		תּוּרַ֣ק	7324	HVHi3fs	2237c
1	3	6		שְׁמֶ֑/ךָ	8034	HNcmsc/Sp2ms	22x9c
1	3	7		עַל	5921 a	HR	22yNB
1	3	8		כֵּ֖ן	3651 c	HTm	2229t
1	3	9		עֲלָמ֥וֹת	5959	HNcfpa	22KZG
1	3	10		אֲהֵבֽוּ/ךָ	157	HVqp3cp/Sp2ms	22TZE
1	4	1		מָשְׁכֵ֖/נִי	4900	HVqv2ms/Sp1cs	22thY
1	4	2		אַחֲרֶ֣י/ךָ	310 a	HR/Sp2ms	22JM7
1	4	3		נָּר֑וּצָה	7323	HVqh1cp	22fpo
1	4	4		הֱבִיאַ֨/נִי	935	HVhp3ms/Sp1cs	22W26
1	4	5		הַ/מֶּ֜לֶךְ	d/4428	HTd/Ncmsa	22yw4
1	4	6		חֲדָרָ֗י/ו	2315	HNcmpc/Sp3ms	22jbg
1	4	7		נָגִ֤ילָה	1523	HVqh1cp	22USR
1	4	8		וְ/נִשְׂמְחָה֙	c/8055	HC/Vqh1cp	22v6U
1	4	9		בָּ֔/ךְ	b	HR/Sp2fs	225SS
1	4	10		נַזְכִּ֤ירָה	2142	HVhh1cp	22GzE
1	4	11		דֹדֶ֨י/ךָ֙	1730	HNcmpc/Sp2ms	22qCU
1	4	12		מִ/יַּ֔יִן	m/3196	HR/Ncmsa	22g2y
1	4	13		מֵישָׁרִ֖ים	4339	HNcmpa	22jQb
1	4	14		אֲהֵבֽוּ/ךָ	157	HVqp3cp/Sp2ms	22794
1	5	1		שְׁחוֹרָ֤ה	7838	HAafsa	22CsU
1	5	2		אֲנִי֙	589	HPp1cs	22XR4
1	5	3		וְֽ/נָאוָ֔ה	c/5000	HC/Aafsa	22KvS
1	5	4		בְּנ֖וֹת	1323	HNcfpc	22dBc
1	5	5		יְרוּשָׁלִָ֑ם	3389	HNp	22nAB
1	5	6		כְּ/אָהֳלֵ֣י	k/168	HR/Ncmpc	22kfX
1	5	7		קֵדָ֔ר	6938	HNp	22Wkf
1	5	8		כִּ/ירִיע֖וֹת	k/3407	HR/Ncfpc	22wrL
1	5	9		שְׁלֹמֹֽה	8010	HNp	223TL
1	6	1		אַל	408	HTn	22LeN
1	6	2		תִּרְא֨וּ/נִי֙	7200	HVqj2mp/Sp1cs	22sMn
1	6	3		שֶׁ/אֲנִ֣י	s/589	HTr/Pp1cs	22Y3z
1	6	4		שְׁחַרְחֹ֔רֶת	7840	HAafsa	22NQN
1	6	5		שֶׁ/שֱּׁזָפַ֖תְ/נִי	s/7805	HTr/Vqp3fs/Sp1cs	22uLf
1	6	6		הַ/שָּׁ֑מֶשׁ	d/8121	HTd/Ncbsa	22kA7
1	6	7		בְּנֵ֧י	1121 a	HNcmpc	223TS
1	6	8		אִמִּ֣/י	517	HNcfsc/Sp1cs	22NFp
1	6	9		נִֽחֲרוּ	2787	HVNp3cp	227am
1	6	10		בִ֗/י	b	HR/Sp1cs	22hh7
1	6	11		שָׂמֻ֨/נִי֙	7760 a	HVqp3cp/Sp1cs	22BsK
1	6	12		נֹטֵרָ֣ה	5201	HVqrfsa	22fsu
1	6	13		אֶת	853	HTo	228M6
1	6	14		הַ/כְּרָמִ֔ים	d/3754	HTd/Ncbpa	22wM5
1	6	15		כַּרְמִ֥/י	3754	HNcbsc/Sp1cs	22qty
1	6	16		שֶׁ/לִּ֖/י	s/l	HTr/R/Sp1cs	225gQ
1	6	17		לֹ֥א	3808	HTn	22Xw6
1	6	18		נָטָֽרְתִּי	5201	HVqp1cs	22eHJ
1	7	1		הַגִּ֣ידָ/ה	5046	HVhv2ms/Sh	22H6L
1	7	2		לִּ֗/י	l	HR/Sp1cs	22bmv
1	7	3		שֶׁ֤/אָהֲבָה֙	s/157	HTr/Vqp3fs	22FV9
