chapter	verse	word	type	surface	lemma	morph	id
1	1	1		בַּ/חֹ֨דֶשׁ֙	b/2320	HRd/Ncmsa	38xeN
1	1	2		הַ/שְּׁמִינִ֔י	d/8066	HTd/Aomsa	38Nvk
1	1	3		בִּ/שְׁנַ֥ת	b/8141	HR/Ncfsc	38TyA
1	1	4		שְׁתַּ֖יִם	8147	HAcfda	38vuQ
1	1	5		לְ/דָרְיָ֑וֶשׁ	l/1867	HR/Np	38TSc
1	1	6		הָיָ֣ה	1961	HVqp3ms	38k5P
1	1	7		דְבַר	1697	HNcmsc	38nPh
1	1	8		יְהוָ֗ה	3068	HNp	38LN3
1	1	9		אֶל	413	HR	38Qzf
1	1	10		זְכַרְיָה֙	2148 a	HNp	38aPd
1	1	11		בֶּן	1121 a	HNcmsc	38eYX
1	1	12		בֶּ֣רֶכְיָ֔ה	1296	HNp	38C5U
1	1	13		בֶּן	1121 a	HNcmsc	38qNN
1	1	14		עִדּ֥וֹ	5714	HNp	38EVS
1	1	15		הַ/נָּבִ֖יא	d/5030	HTd/Ncmsa	38PB6
1	1	16		לֵ/אמֹֽר	l/559	HR/Vqc	3837c
1	2	1		קָצַ֧ף	7107	HVqp3ms	38x9c
1	2	2		יְהוָ֛ה	3068	HNp	38yNB
1	2	3		עַל	5921 a	HR	3829t
1	2	4		אֲבֽוֹתֵי/כֶ֖ם	1	HNcmpc/Sp2mp	38KZG
1	2	5		קָֽצֶף	7110 a	HNcmsa	38TZE
1	3	1		וְ/אָמַרְתָּ֣	c/559	HC/Vqq2ms	38thY
1	3	2		אֲלֵ/הֶ֗ם	413	HR/Sp3mp	38JM7
1	3	3		כֹּ֤ה	3541	HD	38fpo
1	3	4		אָמַר֙	559	HVqp3ms	38W26
1	3	5		יְהוָ֣ה	3068	HNp	38yw4
1	3	6		צְבָא֔וֹת	6635 b	HNcbpa	38jbg
1	3	7		שׁ֣וּבוּ	7725	HVqv2mp	38USR
1	3	8		אֵלַ֔/י	413	HR/Sp1cs	38v6U
1	3	9		נְאֻ֖ם	5002	HNcmsc	385SS
1	3	10		יְהוָ֣ה	3068	HNp	38GzE
1	3	11		צְבָא֑וֹת	6635 b	HNcbpa	38qCU
1	3	12		וְ/אָשׁ֣וּב	c/7725	HC/Vqi1cs	38g2y
1	3	13		אֲלֵי/כֶ֔ם	413	HR/Sp2mp	38jQb
