chapter	verse	word	type	surface	lemma	morph	id
1	1	1		דְּבַר	1697	HNcmsc	36xeN
1	1	2		יְהוָ֣ה	3068	HNp	36Nvk
1	1	3		אֲשֶׁ֣ר	834 a	HTr	36TyA
1	1	4		הָיָ֗ה	1961	HVqp3ms	36vuQ
1	1	5		אֶל	413	HR	36TSc
1	1	6		צְפַנְיָה֙	6846	HNp	36k5P
1	1	7		בֶּן	1121 a	HNcmsc	36nPh
1	1	8		כּוּשִׁ֣י	3570	HNp	36LN3
1	1	9		בֶן	1121 a	HNcmsc	36Qzf
1	1	10		גְּדַלְיָ֔ה	1436 a	HNp	36aPd
1	1	11		בֶּן	1121 a	HNcmsc	36eYX
1	1	12		אֲמַרְיָ֖ה	568	HNp	36C5U
1	1	13		בֶּן	1121 a	HNcmsc	36qNN
1	1	14		חִזְקִיָּ֑ה	2396	HNp	36EVS
1	1	15		בִּ/ימֵ֛י	b/3117	HR/Ncmpc	36PB6
1	1	16		יֹאשִׁיָּ֥הוּ	2977	HNp	3637c
1	1	17		בֶן	1121 a	HNcmsc	36x9c
1	1	18		אָמ֖וֹן	526	HNp	36yNB
1	1	19		מֶ֥לֶךְ	4428	HNcmsc	3629t
1	1	20		יְהוּדָֽה	3063	HNp	36KZG
1	2	1		אָסֹ֨ף	622	HVqa	36TZE
1	2	2		אָסֵ֜ף	5486	HVhi1cs	36thY
1	2	3		כֹּ֗ל	3605	HNcmsa	36JM7
1	2	4		מֵ/עַ֛ל	m/5921 a	HR/R	36fpo
1	2	5		פְּנֵ֥י	6440	HNcbpc	36W26
1	2	6		הָ/אֲדָמָ֖ה	d/127	HTd/Ncfsa	36yw4
1	2	7		נְאֻם	5002	HNcmsc	36jbg
1	2	8		יְהוָֽה	3068	HNp	36USR
1	3	1		אָסֵ֨ף	622	HVhi1cs	36v6U
1	3	2		אָדָ֜ם	120	HNcmsa	365SS
1	3	3		וּ/בְהֵמָ֗ה	c/929	HC/Ncfsa	36GzE
1	3	4		אָסֵ֤ף	622	HVhi1cs	36qCU
1	3	5		עוֹף	5775	HNcmsc	36g2y
1	3	6		הַ/שָּׁמַ֨יִם֙	d/8064	HTd/Ncmpa	36jQb
1	3	7		וּ/דְגֵ֣י	c/1709	HC/Ncmpc	36794
1	3	8		הַ/יָּ֔ם	d/3220	HTd/Ncmsa	36CsU
1	3	9		וְ/הַ/מַּכְשֵׁל֖וֹת	c/d/4384	HC/Td/Ncfpa	36XR4
1	3	10		אֶת	854	HR	36KvS
1	3	11		הָ/רְשָׁעִ֑ים	d/7563	HTd/Aampa	36dBc
1	3	12		וְ/הִכְרַתִּ֣י	c/3772	HC/Vhq1cs	36nAB
1	3	13		אֶת	853	HTo	36kfX
1	3	14		הָ/אָדָ֗ם	d/120	HTd/Ncmsa	36Wkf
1	3	15		מֵ/עַ֛ל	m/5921 a	HR/R	36wrL
1	3	16		פְּנֵ֥י	6440	HNcbpc	363TL
1	3	17		הָ/אֲדָמָ֖ה	d/127	HTd/Ncfsa	36LeN
1	3	18		נְאֻם	5002	HNcmsc	36sMn
1	3	19		יְהוָֽה	3068	HNp	36Y3z
1	4	1		וְ/נָטִ֤יתִי	c/5186	HC/Vqq1cs	36NQN
1	4	2		יָדִ/י֙	3027	HNcbsc/Sp1cs	36uLf
1	4	3		עַל	5921 a	HR	36kA7
1	4	4		יְהוּדָ֔ה	3063	HNp	363TS
1	4	5		וְ/עַ֖ל	c/5921 a	HC/R	36NFp
1	4	6		כָּל	3605	HNcmsc	367am
1	4	7		יוֹשְׁבֵ֣י	3427	HVqrmpc	36hh7
1	4	8		יְרוּשָׁלִָ֑ם	3389	HNp	36BsK
1	4	9		וְ/הִכְרַתִּ֞י	c/3772	HC/Vhq1cs	36fsu
1	4	10		מִן	4480 a	HR	368M6
1	4	11		הַ/מָּק֤וֹם	d/4725	HTd/Ncmsa	36wM5
1	4	12		הַ/זֶּה֙	d/2088	HTd/Pdxms	36qty
1	4	13		אֶת	853	HTo	365gQ
1	4	14		שְׁאָ֣ר	7605	HNcmsc	36Xw6
1	4	15		הַ/בַּ֔עַל	d/1168 a	HTd/Np	36eHJ
1	4	16		אֶת	853	HTo	36H6L
1	4	17		שֵׁ֥ם	8034	HNcmsc	36bmv
1	4	18		הַ/כְּמָרִ֖ים	d/3649	HTd/Ncmpa	36FV9
1	4	19		עִם	5973 a	HR	36Xm1
1	4	20		הַ/כֹּהֲנִֽים	d/3548	HTd/Ncmpa	36UE6
1	5	1		וְ/אֶת	c/853	HC/To	36goK
1	5	2		הַ/מִּשְׁתַּחֲוִ֥ים	d/7812	HTd/Vvrmpa	36CyH
1	5	3		עַל	5921 a	HR	36A4a
1	5	4		הַ/גַּגּ֖וֹת	d/1406	HTd/Ncmpa	365Pr
1	5	5		לִ/צְבָ֣א	l/6635 a	HR/Ncbsc	36L4k
1	5	6		הַ/שָּׁמָ֑יִם	d/8064	HTd/Ncmpa	36Mnv
1	5	7		וְ/אֶת	c/853	HC/To	36mwU
