chapter	verse	text
1	1	It came to pass, after that Alexander the Macedonian, the son of Philip, who came out of the land of Chittim, and struck Darius king of the Persians and Medes, it came to pass, after he had struck him, that he reigned in his stead, in former time, over Greece.
1	2	And he fought many battles, and won many strongholds, and killed the kings of the earth,
1	3	and went through to the ends of the earth, and took spoils of a multitude of nations. And the earth was quiet before him, and he was exalted, and his heart was lifted up,
1	4	and he gathered together an exceeding strong army, and ruled over countries and nations and principalities, and they became tributary to him.
1	5	And after these things he fell sick, and perceived that he should die.
1	6	And he called his servants, which were honorable, which had been brought up with him from his youth, and he divided to them his kingdom, while he was yet alive.
1	7	And Alexander reigned twelve years, and he died.
1	8	And his servants bare rule, each one in his place.
1	9	And they did all put diadems upon themselves after that he was dead, and so did their sons after them many years: and they multiplied evils in the earth.
1	10	And there came forth out of them a sinful root, Antiochus Epiphanes, son of Antiochus the king, who had been a hostage at Rome, and he reigned in the hundred and thirty and seventh year of the kingdom of the Greeks.
1	11	In those days came there forth out of Israel transgressors of the law, and persuaded many, saying, let us go and make a covenant with the Gentiles that are round about us; for since we were parted from them many evils have befallen us.
1	12	And the saying was good in their eyes.
1	13	And certain of the people were forward herein and went to the king, and he gave them licence to do after the ordinances of the Gentiles.
1	14	And they built a place of exercise in Jerusalem according to the laws of the Gentiles;
1	15	and they made themselves uncircumcised, and forsook the holy covenant, and joined themselves to the Gentiles, and sold themselves to do evil.
1	16	And the kingdom was well ordered in the sight of Antiochus, and he thought to reign over Egypt, that he might reign over the two kingdoms.
1	17	And he entered into Egypt with a great multitude, with chariots, and with elephants, and with horsemen, and with a great navy;
1	18	and he made war against Ptolemy king of Egypt; and Ptolemy was put to shame before him, and fled; and many fell wounded to death.
1	19	And they got possession of the strong cities in the land of Egypt; and he took the spoils of Egypt.
1	20	And Antiochus, after that he had struck Egypt, returned in the hundred and forty and third year, and went up against Israel and Jerusalem with a great multitude,
1	21	and entered presumptuously into the sanctuary, and took the golden altar, and the candlestick of the light, and all that pertained thereto,
1	22	and the table of the show bread, and the cups to pour withal, and the bowls, and the golden censers, and the veil, and the crowns, and the adorning of gold which was on the face of the temple, and he scaled it all off.
1	23	And he took the silver and the gold and the precious vessels; and he took the hidden treasures which he found.
1	24	And when he had taken all, he went away into his own land, and he made a great slaughter, and spoke very presumptuously.
1	25	And there came great mourning upon Israel, in every place where they were;
1	26	and the rulers and elders groaned, the virgins and young men were made feeble, and the beauty of the women was changed.
1	27	Every bridegroom took up lamentation, she that sat in the marriage chamber was in heaviness.
1	28	And the land was moved for the inhabitants thereof, and all the house of Jacob was clothed with shame.
1	29	And after two full years the king sent a chief collector of tribute to the cities of Judah, and he came to Jerusalem with a great multitude.
1	30	And he spoke words of peace to them in subtlety, and they gave him credence: and he fell upon the city suddenly, and struck it very sore, and destroyed much people out of Israel.
1	31	And he took the spoils of the city, and set it on fire, and pulled down the houses thereof and the walls thereof on every side.
1	32	And they led captive the women and the children, and the cattle they took in possession.
1	33	And they built the city of David with a great and strong wall, with strong towers, and it became to them a citadel.
1	34	And they put there a sinful nation, transgressors of the law, and they strengthened themselves therein.
1	35	And they stored up arms and food, and gathering together the spoils of Jerusalem, they laid them up there, and they became a sore snare:
1	36	and it became a place to lie in wait in against the sanctuary, and an evil adversary to Israel continually.
1	37	And they shed innocent blood on every side of the sanctuary, and defiled the sanctuary.
1	38	And the inhabitants of Jerusalem fled because of them; and she became a habitation of strangers, and she became strange to those who were born in her, and her children forsook her.
1	39	Her sanctuary was laid waste like a wilderness, her feasts were turned into mourning, her Sabbaths into reproach, her honor into contempt.
1	40	According to her glory, so was her dishonor multiplied, and her high estate was turned into mourning.
1	41	And king Antiochus wrote to his whole kingdom, that all should be one people,
1	42	and that each should forsake his own laws. And all the nations agreed according to the word of the king;
1	43	and many of Israel consented to his worship, and sacrificed to the idols, and profaned the Sabbath.
1	44	And the king sent letters by the hand of messengers to Jerusalem and the cities of Judah, that they should follow laws strange to the land,
1	45	and should forbid whole burnt offerings and sacrifice and drink offerings in the sanctuary; and should profane the Sabbaths and feasts,
1	46	and pollute the sanctuary and those who were holy;
1	47	that they should build altars, and temples, and shrines for idols, and should sacrifice swine’s flesh and unclean beasts:
1	48	and that they should leave their sons uncircumcised, that they should make their souls abominable with all manner of uncleanness and profanation;
1	49	so that they might forget the law, and change all the ordinances.
1	50	And whoever shall not do according to the word of the king, he shall die.
1	51	According to all these words wrote he to his whole kingdom; and he appointed overseers over all the people, and he commanded the cities of Judah to sacrifice, city by city.
1	52	And from the people were gathered together to them many, every one that had forsaken the law; and they did evil things in the land;
1	53	and they made israel to hide themselves in every place of refuge which they had.
1	54	And on the fifteenth day of Chislev, in the hundred and forty and fifth year, they built an abomination of desolation upon the altar, and in the cities of Judah on every side they built idol altars.
1	55	And at the doors of the houses and in the streets they burned incense.
1	56	And they tore in pieces the books of the law which they found, and set them on fire.
1	57	And wherever was found with any a book of the covenant, and if any consented to the law, the king’s sentence delivered him to death.
1	58	Thus did they in their might to Israel, to those that were found month by month in the cities.
1	59	And on the five and twentieth day of the month they sacrificed upon the idol altar of God.
1	60	And the women that had circumcised their children they put to death according to the commandment.
1	61	And they hanged their babes about their necks, and destroyed their houses, and those who had circumcised them.
1	62	And many in Israel were fully resolved and confirmed in themselves not to eat unclean things.
1	63	And they chose to die, that they might not be defiled with the meats, and that they might not profane the holy covenant: and they died.
1	64	And there came exceeding great wrath uponn Israel.
2	1	In those days rose up Mattathias the son of John, the son of Simeon, a priest of the sons of Joarib, from Jerusalem; and he lived at Modin.
2	2	And he had five sons, John, who was surnamed Gaddis;
2	3	Simon, who was called Thassi;
2	4	Judas, who was called Maccabaeus;
2	5	Eleazar, who was called Avaran; Jonathan, who was called Apphus.
2	6	And he saw the blasphemies that were committed in Judah and in Jerusalem,
2	7	and he said, Woe is me! wherefore was I born to see the destruction of my people, and the destruction of the holy city, and to dwell there, when it was given into the hand of the enemy, the sanctuary into the hand of aliens?
2	8	Her temple is become as a man that was glorious:
2	9	her vessels of glory are carried away into captivity, her infants are slain in her streets, her young men with the sword of the enemy.
2	10	What nation has not inherited her palaces, and gotten possession of her spoils?
2	11	her adorning is all taken away; instead of a free woman she is become a bond woman:
2	12	and, behold, our holy things and our beauty and our glory are laid waste, and the Gentiles have profaned them.
2	13	Wherefore should we live any longer?
2	14	And Mattathias and his sons tore their clothes, and put on sackcloth, and mourned exceedingly.
2	15	And the king’s officers, that were enforcing the apostasy, came into the city Modin to sacrifice.
2	16	And many of Israel came to them, and Mattathias and his sons were gathered together.
2	17	And the king’s officers answered and spoke to Mattathias, saying, You are a ruler and an honorable and great man in this city, and strengthened with sons and kindred:
2	18	now therefore come you first and do the commandment of the king, as all the nations have done, and the men of Judah, and those who remain in Jerusalem: and you and your house shall be in the number of the king’s Friends, and you and your sons shall be honored with silver and gold and many gifts.
2	19	And Mattathias answered and said with a loud voice, If all the nations that are in the house of the king’s dominion hearken to him, to fall away each one from the worship of his fathers, and have made choice to follow his commandments,
2	20	yet will I and my sons and my kindred walk in the covenant of our fathers.
2	21	Heaven forbid that we should forsake the law and the ordinances.
2	22	We will not hearken to the king’s words, to go aside from our worship, on the right hand, or on the left.
2	23	And when he had left speaking these words, there came a Jew in the sight of all to sacrifice on the altar which was at Modin, according to the king’s commandment.
2	24	And Mattathias saw it, and his zeal was kindled, and his reins trembled, and he showed forth his wrath according to judgement, and ran, and killed him upon the altar.
2	25	And the king’s officer, who compelled men to sacrifice, he killed at that time, and pulled down the altar.
2	26	And he was zealous for the law, even as Phinehas did to Zimri the son of Salu.
2	27	And Mattathias cried out in the city with a loud voice, saying, Whosoever is zealous for the law, and maintains the covenant, let him come forth after me.
2	28	And he and his sons fled into the mountains, and forsook all that they had in the city.
2	29	Then many that sought after justice and judgement went down into the wilderness, to dwell there,
2	30	they, and their sons, and their wives, and their cattle; because evils were multiplied upon them.
2	31	And it was told the king’s officers, and the forces that were in Jerusalem, the city of David, that certain men, who had broken the king’s commandment, were gone down into the secret places in the wilderness;
2	32	and many pursued after them, and having overtaken them, they encamped against them, and set the battle in array against them on the Sabbath day.
2	33	And they said to them, Thus far. Come forth, and do according to the word of the king, and you shall live.
2	34	And they said, We will not come forth, neither will we do the word of the king, to profane the Sabbath day.
2	35	And they hurried to give them battle.
2	36	And they answered them not, neither cast they a stone at them, nor stopped up the secret places,
2	37	saying, Let us die all in our innocency: heaven and earth witness over us, that you put us to death without trial.
2	38	And they rose up against them in battle on the Sabbath, and they died, they and their wives and their children, and their cattle, to the number of a thousand souls.
2	39	And Mattathias and his friends knew it, and they mourned over them exceedingly.
2	40	And one said to another, If we all do as our kindred have done, and fight not against the Gentiles for our lives and our ordinances, they will now quickly destroy us from off the earth.
2	41	And they took counsel on that day, saying, whoever shall come against us to battle on the Sabbath day, let us fight against him, and we shall in no wise all die, as our kindred died in the secret places.
2	42	Then were gathered together to them a company of Hasidaeans, mighty men of Israel, every one that offered himself willingly for the law.
2	43	And all those who fled from the evils were added to them, and became a stay to them.
2	44	And they mustered an army, and struck sinners in their anger, and lawless men in their wrath: and the rest fled to the Gentiles for safety.
2	45	And Mattathias and his friends went round about, and pulled down the altars;
2	46	and they circumcised by force the children that were uncircumcised, as many as they found in the coasts of Israel.
2	47	And they pursued after the sons of pride, and the work prospered in their hand.
2	48	And they rescued the law out of the hand of the Gentiles, and out of the hand of the kings, neither suffered they the sinner to triumph.
2	49	And the days of Mattathias drew near that he should die, and he said to his sons, Now have pride and rebuke gotten strength, and a season of overthrow, and wrath of indignation.
2	50	And now, my children, be you zealous for the law, and give your lives for the covenant of your fathers.
2	51	And call to remembrance the deeds of our fathers which they did in their generations; and receive great glory and an everlasting name.
2	52	Was not Abraham found faithful in temptation, and it was reckoned to him for righteousness?
