chapter	verse	text
1	1	The second book of the prophet Esdras, Saraias, the son of Azaraias, the son of Helkias, the son of Salemas, the son of Sadoc, the son of Ahitob,
1	2	the son of Achias, the son of Phinees, the son of Heli, the son of Amarias, the son of Aziei, the son of Marimoth, the son of Arna, the son of Ozias, the son of Borith, the son of Abissei, the son of Phinees, the son of Eleazar,
1	3	the son of Aaron, of the tribe of Levi; which was captive in the land of the Medes, in the reign of Artaxerxes king of the Persians.
1	4	And the word of the Lord came to me, saying,
1	5	Go your way, and show my people their sinful deeds, and their children their wickedness which they have done against me; that they may tell their children’s children:
1	6	because the sins of their fathers are increased in them: for they have forgotten me, and have done sacrifice to strange gods.
1	7	Did I not bring them out of the land of Egypt, out of the house of bondage? but they have provoked me to wrath, and have despised my counsels.
1	8	Shake you then the hair of your head, and cast all evils upon them, for they have not been obedient to my law, but it is a rebellious people.
1	9	How long shall I forbear them, to whom I have done so much good?
1	10	I have overthrown many kings for their sakes; I have struck down Pharoah with his servants and all his army.
1	11	I have destroyed all the nations before them, and in the east I have scattered the people of two provinces, even of Tyre and Sidon, and have slain all their adversaries.
1	12	Speak therefore to them, saying,
1	13	Thus says the Lord, of a truth I brought you through the sea, and where there was no path I made for you highways; I gave you Moses for a leader, and Aaron for a priest.
1	14	I gave you light in a pillar of fire, and great wonders have I done among you; yet have you forgotten me, says the Lord.
1	15	Thus says the Lord Almighty, The quails were for a token to you; I gave you a camp for your safeguard, nevertheless you murmured there:
1	16	and you triumphed not in my name for the destruction of your enemies, but ever to this day do you yet murmur.
1	17	Where are the benefits that I have done for you? when you were hungry and thirsty in the wilderness, did you not cry to me,
1	18	saying, Why have you brought us into this wilderness to kill us? it had been better for us to have served the Egyptians, than to die in this wilderness.
1	19	I had pity upon your mournings, and gave you manna for food; you did eat angels’ bread.
1	20	Wnen you were thirsty, did I not cleave the rock, and waters flowed out to your fill? for the heat I covered you with the leaves of the trees.
1	21	I divided among you fruitful lands; I cast out the Canaanites, the Pherezites, and the Philistines, before you: what shall I yet do more for you? says the Lord.
1	22	Thus says the Lord Almighty, When you were in the wilderness, at the bitter river, being thirsty, and blaspheming my name,
1	23	I gave you not fire for your blasphemies, but cast a tree in the water, and made the river sweet.
1	24	What shall I do to you, O Jacob? you, Judah, would not obey me: I will turn me to other nations, and to them will I give my name, that they may keep my statutes.
1	25	Seeing you have forsaken me, I also will forsake you; when you ask me to be merciful to you, I will have no mercy upon you.
1	26	Whenever you shall call upon me, I will not hear you: for you have defiled your hands with blood, and your feet are swift to commit manslaughter.
1	27	You have not as it were forsaken me, but your own selves, says the Lord.
1	28	Thus says the Lord Almighty, Have I not prayed you as a father his sons, as a mother her daughters, and a nurse her young babes,
1	29	that you would be my people, and I should be your God; that you would be my children, and I should be your father?
1	30	I gathered you together, as a hen gathers her chickens under her wings: but now, what shall I do to you? I will cast you out from my presence.
1	31	When you offer oblations to me, I will turn my face from you: for your solemn feast days, your new moons, and your circumcisions of the flesh, have I rejected.
1	32	I sent to you my servants the prophets, whom you have taken and slain, and torn their bodies in pieces, whose blood I will require of your hands, says the Lord.
1	33	Thus says the Lord Almighty, Your house is desolate, I will cast you out as the wind does stubble.
1	34	And your children shall not be fruitful; for they have neglected my commandment to you, and done that which is evil before me.
1	35	Your houses will I give to a people that shall come; which not having heard of me yet believe me; they to whom I have showed no signs shall do that which I have commanded.
1	36	They have seen no prophets, yet they shall call their former estate to remembrance.
1	37	I take to witness the grace of the people that shall come, whose little ones rejoice with gladness: and though they see me not with bodily eyes, yet in spirit they shall believe the thing that I say.
1	38	And now, O father, behold with glory; and see the people that come from the east:
1	39	to whom I will give for leaders, Abraham, Isaac, and Jacob, Oseas, Amos, and Micheas, Joel, Abdias, and Jonas,
1	40	Nahum, and Abacuc, Sophonias, Aggaeus, Zachary, and Malachy, which is called also the angel of the Lord.
2	1	Thus says the Lord, I brought this people out of bondage, and I gave them my commandments by my servants the prophets; whom they would not hear, but set my counsels at nothing.
2	2	The mother that bare them says to them, go your way, O my children; for I am a widow and forsaken.
2	3	I brought you up with gladness, and with sorrow and heaviness have I lost you: for you have sinned before the Lord God, and done that which is evil before me.
2	4	But what shall I now do to you? for I am a widow and forsaken: go your way, O my children, and ask mercy of the Lord.
2	5	As for me, O father, I call upon you for a witness over the mother of these children, because they would not keep my covenant,
2	6	that you bring them to confusion, and their mother to a plunder, that there may be no offspring of them.
2	7	Let them be scattered abroad among the heathen, let their names be blotted out of the earth: for they have despised my covenant.
2	8	Woe to you, Assur, you that hide the unrighteous with you! O you wicked nation, remember what I did to Sodom and Gomorrah;
2	9	whose land lies in clods of pitch and heaps of ashes: even so also will I do to those who have not hearkened to me, says the Lord Almighty.
2	10	Thus says the Lord to Esdras, Tell my people that I will give them the kingdom of Jerusalem, which I would have given to Israel.
2	11	Their glory also will I take to me, and give these the everlasting tabernacles, which I had prepared for them.
2	12	They shall have the tree of life for an ointment of sweet savor; they shall neither labor, nor be weary.
2	13	Ask, and you shall receive: pray for few days to you, that they may be shortened: the kingdom is already prepared for you: watch.
2	14	Take heaven and earth to witness, take them to witness; for I have given up the evil, and created the good: for I live, says the Lord.
2	15	Mother, embrace your children; I will bring them out with gladness like a dove; establish their feet; for I have chosen you, says the Lord.
2	16	And those that be dead will I raise up again from their places, and bring them out from their tombs: for I have known my name in them.
2	17	Don’t be afraid, you mother of the children: for I have chosen you, says the Lord.
2	18	For your help will I send my servants Esaias and Jeremy, after whose counsel I have sanctified and prepared for you twelve trees laden with various fruits,
2	19	and as many springs flowing with milk and honey, and seven mighty mountains, whereupon there grow roses and lilies, whereby I will fill your children with joy.
2	20	Do right to the widow, judge the fatherless, give to the poor, defend the orphan, clothe the naked,
2	21	heal the broken and the weak, laugh not a lame man to scorn, defend the maimed, and let the blind man come to the sight of my glory.
2	22	Keep the old and young within your walls.
2	23	Wherever you find the dead, set a sign upon them and commit them to the grave, and I will give you the first place in my resurrection.
2	24	Abide still, O my people, and take your rest, for your quietness shall come.
2	25	Nourish your children, O you good nurse, and establish their feet.
2	26	As for the servants whom I have given you, there shall not one of them perish; for I will require them from among your number.
2	27	Be not careful overmuch: for when the day of tribulation and anguish comes, others shall weep and be sorrowful, but you shall be merry and have abundance.
2	28	The nations shall envy you, but they shall be able to do nothing against you, says the Lord.
2	29	My hands shall cover you, so that your children see not hell.
2	30	Be joyful, O you mother, with your children; for I will deliver you, says the Lord.
2	31	Remember your children that sleep, for I shall bring them out of the secret places of the earth, and show mercy to them: for I am merciful, says the Lord Almighty.
2	32	Embrace your children until I come, and proclaim mercy to them: for my wells run over, and my grace shall not fail.
2	33	I Esdras received a charge from the Lord upon the mount Horeb, that I should go to Israel; but when I came to them, they would none of me, and rejected the commandment of the Lord.
2	34	And therefore I say to you, O you nations, that hear and understand, look for your shepherd, he shall give you everlasting rest; for he is near at hand, that shall come in the end of the world.
2	35	Be ready to the rewards of the kingdom, for the everlasting light shall shine upon you for evermore.
2	36	Flee the shadow of this world, receive the joyfulness of your glory: I call to witness my savior openly.
2	37	O receive that which is given you of the Lord, and be joyful, giving thanks to him that has called you to heavenly kingdoms.
2	38	Arise up and stand, and behold the number of those that be sealed in the feast of the Lord;
2	39	those who withdrew them from the shadow of the world have received glorious garments of the Lord.
2	40	Look upon your number, O Sion, and make up the reckoning of those of your that are clothed in white, which have fulfilled the law of the Lord.
2	41	The number of your children, whom you long for, is fulfilled: beseech the power of the Lord, that your people, which have been called from the beginning, may be hallowed.
2	42	I Esdras saw upon the mount Sion a great multitude, whom I could not number, and they all praised the Lord with songs.
2	43	And in the midst of them there was a young man of a high stature, taller than all the rest, and upon every one of their heads he set crowns, and was more exalted; whereat I marveled greatly.
2	44	So I asked the angel, and said, What are these, my Lord?
2	45	He answered and said to me, These be those who have put off the mortal clothing, and put on the immortal, and have confessed the name of God: now are they crowned, and receive palms.
2	46	Then said I to the angel, What young man is he that sets crowns upon them, and gives them palms in their hands?
2	47	So he answered and said to me, It is the Son of God, whom they have confessed in the world. Then began I greatly to commend those who stood so stiffly for the name of the Lord.
2	48	Then the angel said to me, Go your way, and tell my people what manner of things, and how great wonders of the Lord God you have seen.
3	1	In the thirties year after the ruin of the city, I Salathiel (the same is Esdras) was in Babylon, and lay troubled upon my bed, and my thoughts came up over my heart:
3	2	for I saw the desolation of Sion, and the wealth of those who lived at Babylon.
3	3	And my spirit was sore moved, so that I began to speak words full of fear to the Most High, and said,
3	4	O Lord that bear rule, did you not not speak at the beginning, when you did fashion the earth, and that yourself alone, and command the dust.
3	5	and it gave you Adam, a body without a soul? yet it was the workmanship of your hands, and you did breathe into him the breath of life, and he was made living before you.
3	6	And you led him into paradise, which your right hand did plant, before ever the earth came forward.
3	7	And to him you gave your one commandment: which he transgressed, and immediately you appointed death for him and in his generations; and there were born of him nations and tribes, peoples and kindred, out of number.
