chapter	verse	text
1	1	These are the words of the book, which Baruch the son of Nerias, the son of Maaseas, the son of Sedekias, the son of Asadias, the son of Helkias, wrote in Babylon,
1	2	in the fifth year, and in the seventh day of the month, what time as the Chaldeans took Jerusalem, and burned it with fire.
1	3	And Baruch did read the words of this book in the hearing of Jechonias the son of Joakim king of Judah, and in the hearing of all the people that came to hear the book,
1	4	and in the hearing of the mighty men, and of the kings’ sons, and in the hearing of the elders, and in the hearing of all the people, from the least to the greatest, even of all those who lived at Babylon by the river Sud.
1	5	And they wept, and fasted, and prayed before the Lord;
1	6	they made also a collection of money according to every man’s power:
1	7	and they sent it to Jerusalem to Joakim the high priest, the son of Helkias, the son of Salom, and to the priests, and to all the people which were found with him at Jerusalem,
1	8	at the same time when he took the vessels of the house of the Lord, that had been carried out of the temple, to return them into the land of Judah, the tenth day of the month Sivan, namely, silver vessels, which Sedekias the son of Josias king of Judah had made,
1	9	after that Nabuchodonosor king of Babylon had carried away Jechonias, and the princes, and the captives, and the mighty men, and the people of the land, from Jerusalem, and brought them to Babylon.
1	10	And they said, Behold, we have sent you money; buy you therefore with the money burnt offerings, and sin offerings, and incense, and prepare an oblation, and offer upon the altar of the Lord our God;
1	11	and pray for the life of Nabuchodonosor king of Babylon, and for the life of Baltasar his son, that their days may be as the days of heaven above the earth:
1	12	and the Lord will give us strength, and lighten our eyes, and we shall live under the shadow of Nabuchodonosor king of Babylon, and under the shadow of Baltasar his son, and we shall serve them many days, and find favor in their sight.
1	13	Pray for us also to the Lord our God, for we have sinned against the Lord our God; and to this day the wrath of the Lord and his indignation is not turned from us.
1	14	And you shall read this book which we have sent to you, to make confession in the house of the Lord, upon the day of the feast and on the days of the solemn assembly.
1	15	And you shall say, To the Lord our God belongs righteousness, but to us confusion of face, as at this day, to the men of Judah, and to the inhabitants of Jerusalem,
1	16	and to our kings, and to our princes, and to our priests, and to our prophets, and to our fathers:
1	17	for that we have sinned before the Lord,
1	18	and disobeyed him, and have not hearkened to the voice of the Lord our God, to walk in the commandments of the Lord that he has set before us:
1	19	since the day that the Lord brought our fathers out of the land of Egypt, to this present day, we have been disobedient to the Lord our God, and we have dealt unadvisedly in not hearkening to his voice.
1	20	Wherefore the plagues clave to us, and the curse, which the Lord commanded Moses his servant to pronounce in the day that he brought our fathers out of the land of Egypt, to give us a land that flows with milk and honey, as at this day.
1	21	Nevertheless we didn’t listen to the voice of the Lord our God, according to all the words of the prophets, whom he sent to us:
1	22	but we walked every man in the imagination of his own wicked heart, to serve strange gods, and to do that which is evil in the sight of the Lord our God.
2	1	Therefore the Lord has made good his word, which he pronounced against us, and against our judges that judged Israel, and against our kings, and against our princes, and against the men of Israel and Judah,
2	2	to bring upon us great plagues, such as never happened under the whole heaven, as it came to pass in Jerusalem, according to the things that are written in the law of Moses;
2	3	That we should eat every man the flesh of his own son, and every man the flesh of his own daughter.
2	4	Moreover he has given them to be in subjection to all the kingdoms that are round about us, to be a reproach and a desolation among all the people round about, where the Lord has scattered them.
2	5	Thus were they cast down, and not exalted, because we sinned against the Lord our God, in not hearkening to his voice.
2	6	To the Lord our God belongs righteousness: but to us and to our fathers confusion of face, as at this day.
2	7	For all these plagues are come upon us, which the Lord has pronounced against us.
2	8	Yet have we not entreated the favor of the Lord, in turning every one from the thoughts of his wicked heart.
2	9	Therefore has the Lord kept watch over the plagues, and the Lord has brought them upon us; for the Lord is righteous in all his works which he has commanded us.
2	10	Yet we have not hearkened to his voice, to walk in the commandments of the Lord that he has set before us.
