chapter	verse	text
1	1	[In the second year of the reign of Ahasuerus the great king, on the first day of Nisan, Mordecai the son of Jair, the son of Shimei, the son of Kish, of the tribe of Benjamin, a Jew dwelling in the city Susa, a great man, serving in the king’s palace, saw a vision. Now he was of the captivity which Nebuchadnezzar king of Babylon had carried captive from Jerusalem, with Jeconiah the king of Judea. This was his dream: Behold, voices and a noise, thunders and earthquake, tumult upon the earth. And, behold, two great serpents came out, both ready for conflict. A great voice came from them. Every nation was prepared for battle by their voice, even to fight against the nation of the just. Behold, a day of darkness and blackness, tribulation and anguish, affection and tumult upon the earth. And all the righteous nation was troubled, fearing their own afflictions. They prepared to die, and cried to God. Something like a great river from a little spring with much water, came from their cry. Light and the sun arose, and the lowly were exalted, and devoured the honorable. Mordecai, who had seen this vision and what God desired to do, having arisen, kept it in his heart, and desired by all means to interpret it, even until night. Mordecai rested quietly in the palace with Gabatha and Tharrha the king’s two chamberlains, eunuchs who guarded the palace. He heard their conversation and searched out their plans. He learned that they were preparing to lay hands on king Ahasuerus; and he informed the king concerning them. The king examined the two chamberlains. They confessed, and were led away and executed. The king wrote these things for a record. Mordecai also wrote concerning these matters. The king commanded Mordecai to serve in the palace, and gave gifts for this service. But Haman the son of Hammedatha the Bougean was honored in the sight of the king, and he endeavored to harm Mordecai and his people, because of the king’s two chamberlains.] And it came to pass after these things in the days of Ahasuerus, —(this Ahasuerus ruled over one hundred twenty-seven provinces from India)—
1	2	in those days, when king Ahasuerus was on the throne in the city of Susa.
1	3	In the third year of his reign, he made a feast for his friends, and the other nations, and for the nobles of the Persians and Medes, and the chief of the satraps.
1	4	After this, after he had shown them the wealth of his kingdom and the abundant glory of his wealth during one hundred eighty days,
1	5	when the days of the marriage feast were completed, the king made a banquet for the people of the nations who were present in the city for six days, in the court of the king’s house,
1	6	which was adorned with fine linen and flax on cords of fine linen and purple, fastened to golden and silver studs, on pillars of white marble and stone. There were golden and silver couches on a pavement of emerald stone, and of pearl, and of white marble, with transparent coverings variously flowered, having roses worked around it.
1	7	There were gold and silver cups, and a small cup of carbuncle set out of the value of thirty thousand talents, with abundant and sweet wine, which the king himself drank.
1	8	This banquet was not according to the appointed law; but as the king desired to have it. He charged the stewards to perform his will and that of the company.
1	9	Also Vashti the queen made a banquet for the women in the palace where king Ahasuerus lived.
1	10	Now on the seventh day, the king, being merry, told Haman, Bazan, Tharrha, Baraze, Zatholtha, Abataza, and Tharaba, the seven chamberlains, servants of king Ahasuerus,
