chapter	verse	text
1	1	O LORD Almighty, that are in heaven, you God of our fathers, of Abraham, and Isaac, and Jacob, and of their righteous seed;
1	2	who have made heaven and earth, with all the ornament thereof;
1	3	who have bound the sea by the word of your commandment; who have shut up the deep, and sealed it by your terrible and glorious name;
1	4	whom all things fear, yes, tremble before your power;
1	5	for the majesty of your glory can’t be borne, and the anger of your threatening toward sinners is importable:
1	6	your merciful promise is unmeasurable and unsearchable;
1	7	for you are the Lord Most High, of great compassion, longsuffering and abundant in mercy, and repent of bringing evils upon men.
1	8	You, O Lord, according to your great goodness have promised repentance and forgiveness to those who have sinned against you: and of your infinite mercies have appointed repentance to sinners, that they may be saved. You therefore, O Lord, that are the God of the just, have not appointed repentance to the just, to Abraham, and Isaac, and Jacob, which have not sinned against you; but you have appointed repentance to me that am a sinner:
1	9	for I have sinned above the number of the sands of the sea. My transgressions are multiplied, O Lord: my transgressions are multiplied, and I am not worthy to behold and see the height of heaven for the multitude of my iniquities.
1	10	I am bowed down with many iron bands, that I can’t lift up my head by reason of my sins, neither have I any respite: for I have provoked your wrath, and done that which is evil before you: I did not your will, neither kept I your commandments: I have set up abominations, and have multiplied detestable things.
1	11	Now therefore I bow the knee of my heart, beseeching you of grace.
1	12	I have sinned, O Lord, I have sinned, and I acknowledge my iniquities:
1	13	but, I humbly beseech you, forgive me, O Lord, forgive me, and destroy me not with my iniquities. Be not angry with me forever, by reserving evil for me; neither condemn me into the lower parts of the earth. For you, O Lord, are the God of those who repent;
1	14	and in me you will show all your goodness: for you will save me, that am unworthy, according to your great mercy.
1	15	And I will praise the forever all the days of my life: for all the army of heaven does sing your praise, and your is the glory forever and ever. Amen.
