chapter	verse	text
1	1	They walked in the midst of the fire, praising God, and blessing the Lord.
1	2	Then Azarias stood, and prayed on this manner; and opening his mouth in the midst of the fire said,
1	3	Blessed are you, O Lord, you God of our fathers, and worthy to be praised; and your name is glorified for evermore:
1	4	For you are righteous in all the things that you have done: yes, true are all your works, and your ways are right, and all your judgements truth.
1	5	In all the things that you have brought upon us, and upon the holy city of our fathers, even Jerusalem, you have executed true judgements: for according to truth and justice have you brought all these things upon us because of our sins.
1	6	For we have sinned and committed iniquity, in departing from you.
1	7	In all things have we trespassed, and not obeyed your commandments, nor kept them, neither done as you have commanded us, that it might go well with us.
1	8	Wherefore all that you have brought upon us, and everything that you have done to us, you have done in true judgement.
1	9	And you did deliver us into the hands of lawless enemies, and most hateful forsakers of God, and to an unjust king, and the most wicked in all the world.
1	10	And now we can’t open our mouth; shame and reproach have befallen your servants, and those who worship you.
1	11	Deliver us not up utterly, for your name’s sake, neither disannul you your covenant:
1	12	and cause not your mercy to depart from us, for the sake of Abraham that is beloved of you, and for the sake of Isaac your servant, and Israel your holy one;
1	13	to whom you did promise, that you would multiply their seed as the stars of heaven, and as the sand that is upon the sea shore.
1	14	For we, O Lord, are become less than any nation, and be kept under this day in all the world because of our sins.
1	15	Neither is there at this time prince, or prophet, or leader, or burned offering, or sacrifice, or oblation, or incense, or place to offer before you, and to find mercy.
1	16	Nevertheless in a contrite heart and a humble spirit let us be accepted;
1	17	like as in the burnt offerings of rams and bullocks, and like as in ten thousands of fat lambs; so let our sacrifice be in your sight this day, and grant that we may wholly go after you, for they shall not be ashamed that put their trust in you.
1	18	And now we follow you with all our heart, we fear you, and seek your face. Put us not to shame: but deal with us after your kindness, and according to the multitude of your mercy.
1	20	Deliver us also according to your marvelous works, and give glory to your name, O Lord: and let all those who do your servants hurt be confounded;
1	21	and let them be ashamed of all their power and might, and let their strength be broken;
1	22	and let them know that you are the Lord, the only God, and glorious over the whole world.
1	23	And the king’s servants, that put them in, ceased not to make the furnace hot with naphtha, pitch, tow, and small wood;
1	24	so that the flame streamed forth above the furnace forty and nine cubits.
1	25	And it spread, and burned those Chaldeans whom it found about the furnace.
1	26	But the angel of the Lord came down into the furnace together with Azarias and his fellows, and he struck the flame of the fire out of the furnace;
1	27	and made the midst of the furnace as it had been a moist whistling wind, so that the fire touched them not at all, neither hurt nor troubled them.
1	28	Then the three, as out of one mouth, praised, and glorified, and blessed God in the furnace, saying,
1	29	Blessed are you, O Lord, you God of our fathers: and to be praised and exalted above all forever.
1	30	And blessed is your glorious and holy name: and to be praised and exalted above all forever.
1	31	Blessed are you in the temple of your holy glory: and to be praised and glorified above all forever.
1	32	Blessed are you that behold the depths, and sit upon the cherubim: and to be praised and exalted above all forever.
1	33	Blessed are you on the throne of your kingdom: and to be praised and extolled above all forever.
1	34	Blessed are you in the firmament of heaven: and to be praised and glorified forever.
1	35	O all you works of the Lord, bless you the Lord: praise and exalt him above all forever.
1	36	O you heavens, bless you the Lord: praise and exalt him above all for ever.
1	37	O you angels of the Lord, bless you the Lord: praise and exalt him above all forever.
1	38	O all you waters that be above the heaven, bless you the Lord: praise and exalt him above all forever.
1	39	O all you powers of the Lord, bless you the Lord: praise and exalt him above all forever.
1	40	O you sun and moon, bless you the Lord: praise and exalt him above all forever.
1	41	O you stars of heaven, bless you the Lord: praise and exalt him above all forever.
1	42	O every shower and dew, bless you the Lord: praise and exalt him above all forever
1	43	O all you winds, bless you the Lord: praise and exalt him above all forever.
1	44	O you fire and heat, bless you the Lord: praise and exalt him above all forever.
1	47	O you nights and days, bless you the Lord: praise and exalt him above all forever.
1	48	O you light and darkness, bless you the Lord: praise and exalt him above all forever. O you cold and heat, bless you the Lord: praise and exalt him above all forever.
1	50	O you frost and snow, bless you the Lord: praise and exalt him above all forever.
1	51	O you lightnings and clouds, bless you the Lord: praise and exalt him above all forever.
1	52	O let the earth bless the Lord: let it praise and exalt him above all forever.
1	53	O you mountains and hills, bless you the Lord: praise and exalt him above all forever.
1	54	O all you things that grow on the earth, bless you the Lord: praise and exalt him above all forever.
1	55	O sea and rivers, bless you the Lord: praise and exalt him above all forever.
1	56	O you springs, bless you the Lord: praise and exalt him above all forever.
1	57	O you whales, and all that move in the waters, bless you the Lord: praise and exalt him above all forever.
1	58	O all you fowls of the air, bless you the Lord: praise and exalt him above all forever.
1	59	O all you beasts and cattle, bless you the Lord: praise and exalt him above all forever.
1	60	O you children of men, bless you the Lord: praise and exalt him above all forever.
1	61	O let Israel bless the Lord: praise and exalt him above all forever.
1	62	O you priests of the Lord, bless you the Lord: praise and exalt him above all forever.
1	63	O you servants of the Lord, bless you the Lord: praise and exalt him above all forever.
1	64	O you spirits and souls of the righteous, bless you the Lord: praise and exalt him above all forever.
1	65	O you that are holy and humble of heart, bless you the Lord: praise and exalt him above all forever.
1	66	O Ananias, Azarias, and Misael, bless you the Lord: praise and exalt him above all forever: for he has rescued us from hell, and saved us from the hand of death: he has delivered us out of the midst of the furnace and burning flame, even out of the midst of the fire has he delivered us.
1	67	O give thanks to the Lord, for he is good: for his mercy endures forever.
1	68	O all you that worship the Lord, bless the God of gods, praise him, and give him thanks: for his mercy endures forever.
