chapter	verse	text
1	1	All wisdom comes from the Lord, And is with him forever.
1	2	The sand of the seas, and the drops of rain, And the days of eternity, who shall count?
1	3	The height of the heaven, and the breadth of the earth, And the deep, and wisdom, who shall search them out?
1	4	Wisdom has been created before all things, And the understanding of prudence from everlasting.
1	5	
1	6	To whom has the root of wisdom been revealed? And who has known her shrewd counsels?
1	7	
1	8	There is one wise, greatly to be feared, The Lord sitting upon his throne:
1	9	He created her, And saw, and counted her, And poured her out upon all his works.
1	10	She is with all flesh according to his gift; And he gave her freely to those who love him.
1	11	The fear of the Lord is glory, and exultation, And gladness, and a crown of rejoicing.
1	12	The fear of the Lord will delight the heart, And will give gladness, and joy, and length of days.
1	13	Whoso fears the Lord, it will go well with him at the last, And in the day of his death he will be blessed.
1	14	To fear the Lord is the beginning of wisdom; And it was created together with the faithful in the womb.
1	15	With men she laid an eternal foundation; And with their seed will she be had in trust.
1	16	To fear the Lord is the fulness of wisdom; And she satiateth men with her fruits.
1	17	She will fill all her house with desirable things, And her garners with her produce.
1	18	The fear of the Lord is the crown of wisdom, Making peace and perfect health to flourish.
1	19	He both saw and counted her; He rained down skill and knowledge of understanding, And exalted the honor of those who hold her fast.
1	20	To fear the Lord is the root of wisdom; And her branches are length of days.
1	21	
1	22	Unjust wrath can never be justified; For the sway of his wrath is his downfall.
1	23	A man that is longsuffering will bear for a season, And afterward gladness will spring up to him;
1	24	He will hide his words for a season, And the lips of many will tell forth his understanding.
1	25	A parable of knowledge is in the treasures of wisdom; But godliness is an abomination to a sinner.
1	26	If you desire wisdom, keep the commandments, And the Lord will give her to you freely:
1	27	For the fear of the Lord is wisdom and instruction; And in faith and meekness is his good pleasure.
1	28	Disobey not the fear of the Lord; And come not to him with a double heart.
1	29	Be not a hypocrite in the mouths of men; And take good heed to your lips.
1	30	Exalt not yourself, lest you fall, And bring dishonor upon your soul; And so the Lord will reveal your secrets, And will cast you down in the midst of the congregation; Because you came not to the fear of the Lord, And your heart was full of deceit.
2	1	My son, if you come to serve the Lord, Prepare your soul for temptation.
2	2	Set your heart aright, and constantly endure, And make not haste in time of calamity.
2	3	Cleave to him, and depart not, That you may be increased at your latter end.
2	4	Accept whatever is brought upon you, And be longsuffering when you passest into humiliation.
2	5	For gold is tried in the fire, And acceptable men in the furnace of humiliation.
2	6	Put your trust in him, and he will help you: Order your ways aright, and set your hope on him.
2	7	You that fear the Lord, wait for his mercy; And turn not aside, lest you fall.
2	8	You that fear the Lord, put your trust in him; And your reward will not fail.
2	9	You that fear the Lord, hope for good things, And for eternal gladness and mercy.
2	10	Look at the generations of old, and see: Who did ever put his trust in the Lord, and was ashamed? Or who did abide in his fear, and was forsaken? Or who did call upon him, and he despised him?
2	11	For the Lord is full of compassion and mercy; And he forgives sins, and saves in time of affliction.
2	12	Woe to fearful hearts, and to faint hands, And to the sinner that goes two ways!
2	13	Woe to the faint heart! for it believes not; Therefore will it not be defended.
2	14	Woe to you that have lost your patience! And what will you do when the Lord shall visit you?
2	15	They that fear the Lord will not disobey his words; And those who love him will keep his ways.
